name,slug,value,date_of_information,ranking,region
"Germany","germany","$280,238,000,000","2019 est.","1","Europe"
"Japan","japan","$185,644,000,000","2019 est.","2","East Asia/Southeast Asia"
"China","china","$141,335,000,000","2019 est.","3","East Asia/Southeast Asia"
"Netherlands","netherlands","$90,207,000,000","2019 est.","4","Europe"
"Switzerland","switzerland","$79,937,000,000","2019 est.","5","Europe"
"Russia","russia","$65,311,000,000","2019 est.","6","Central Asia"
"Taiwan","taiwan","$65,173,000,000","2019 est.","7","East Asia/Southeast Asia"
"Singapore","singapore","$63,109,000,000","2019 est.","8","East Asia/Southeast Asia"
"Korea, South","korea-south","$59,971,000,000","2019 est.","9","East Asia/Southeast Asia"
"Italy","italy","$59,517,000,000","2019 est.","10","Europe"
"Thailand","thailand","$37,033,000,000","2019 est.","11","East Asia/Southeast Asia"
"Denmark","denmark","$30,935,000,000","2019 est.","12","Europe"
"Spain","spain","$29,603,000,000","2019 est.","13","Europe"
"United Arab Emirates","united-arab-emirates","$26,470,000,000","2017 est.","14","Middle East"
"Hong Kong","hong-kong","$22,469,000,000","2019 est.","15","East Asia/Southeast Asia"
"Sweden","sweden","$22,339,000,000","2019 est.","16","Europe"
"Macau","macau","$16,750,000,000","2017 est.","17","East Asia/Southeast Asia"
"Norway","norway","$16,656,000,000","2019 est.","18","Europe"
"Saudi Arabia","saudi-arabia","$15,230,000,000","2017 est.","19","Middle East"
"Israel","israel","$13,411,000,000","2019 est.","20","Middle East"
"Austria","austria","$12,667,000,000","2019 est.","21","Europe"
"Vietnam","vietnam","$12,478,000,000","2019 est.","22","East Asia/Southeast Asia"
"Malaysia","malaysia","$12,295,000,000","2019 est.","23","East Asia/Southeast Asia"
"Nigeria","nigeria","$10,380,000,000","2017 est.","24","Africa"
"Iran","iran","$9,491,000,000","2017 est.","25","Middle East"
"Turkey","turkey","$8,561,000,000","2019 est.","26","Middle East"
"Australia","australia","$8,146,000,000","2019 est.","27","Australia - Oceania"
"Kuwait","kuwait","$7,127,000,000","2017 est.","28","Middle East"
"Qatar","qatar","$6,426,000,000","2017 est.","29","Middle East"
"Papua New Guinea","papua-new-guinea","$4,859,000,000","2017 est.","30","East Asia/Southeast Asia"
"Iraq","iraq","$4,344,000,000","2017 est.","31","Middle East"
