name,slug,value,date_of_information,ranking,region
"United States","united-states","13,513","2013","1","North America"
"Brazil","brazil","4,093","2013","2","South America"
"Mexico","mexico","1,714","2013","3","North America"
"Canada","canada","1,467","2013","4","North America"
"Russia","russia","1,218","2013","5","Central Asia"
"Argentina","argentina","916","2020","6","South America"
"Bolivia","bolivia","855","2013","7","South America"
"Colombia","colombia","836","2013","8","South America"
"Paraguay","paraguay","799","2013","9","South America"
"Indonesia","indonesia","673","2013","10","East Asia/Southeast Asia"
"Papua New Guinea","papua-new-guinea","561","2013","11","East Asia/Southeast Asia"
"Germany","germany","539","2013","12","Europe"
"China","china","507","2013","13","East Asia/Southeast Asia"
"Chile","chile","481","2013","14","South America"
"France","france","464","2013","15","Europe"
"United Kingdom","united-kingdom","460","2013","16","Europe"
"Venezuela","venezuela","444","2013","17","South America"
"Ecuador","ecuador","432","2013","18","South America"
"Australia","australia","418","2020","19","Australia - Oceania"
"South Africa","south-africa","407","2020","20","Africa"
"India","india","346","2013","21","South Asia"
"Iran","iran","319","2013","22","Middle East"
"Guatemala","guatemala","291","2013","23","Central America"
"Philippines","philippines","247","2013","24","East Asia/Southeast Asia"
"Sweden","sweden","231","2013","25","Europe"
"Saudi Arabia","saudi-arabia","214","2013","26","Middle East"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","198","2013","27","Africa"
"Kenya","kenya","197","2013","28","Africa"
"Zimbabwe","zimbabwe","196","2013","29","Africa"
"Peru","peru","191","2013","30","South America"
"Ukraine","ukraine","187","2013","31","Europe"
"Japan","japan","175","2013","32","East Asia/Southeast Asia"
"Tanzania","tanzania","166","2013","33","Africa"
"Costa Rica","costa-rica","161","2013","34","Central America"
"Pakistan","pakistan","151","2013","35","South Asia"
"Algeria","algeria","149","2020","36","Africa"
"Finland","finland","148","2013","37","Europe"
"Nicaragua","nicaragua","147","2013","38","Central America"
"Libya","libya","146","2013","39","Africa"
"Spain","spain","135","2020","40","Europe"
"Cuba","cuba","133","2017","41","Central America"
"Uruguay","uruguay","133","2013","42","South America"
"Oman","oman","132","2013","43","Middle East"
"Italy","italy","129","2013","44","Europe"
"Czechia","czechia","128","2013","45","Europe"
"Poland","poland","126","2013","46","Europe"
"New Zealand","new-zealand","123","2013","47","Australia - Oceania"
"Guyana","guyana","117","2013","48","South America"
"Panama","panama","117","2013","49","Central America"
"Malaysia","malaysia","114","2013","50","East Asia/Southeast Asia"
"Namibia","namibia","112","2013","51","Africa"
"Korea, South","korea-south","111","2013","52","East Asia/Southeast Asia"
"Honduras","honduras","103","2013","53","Central America"
"Angola","angola","102","2020","54","Africa"
"Iraq","iraq","102","2013","55","Middle East"
"Thailand","thailand","101","2013","56","East Asia/Southeast Asia"
"Mozambique","mozambique","98","2013","57","Africa"
"Turkey","turkey","98","2013","58","Middle East"
"Iceland","iceland","96","2013","59","Europe"
"Kazakhstan","kazakhstan","96","2013","60","Central Asia"
"Norway","norway","95","2013","61","Europe"
"Syria","syria","90","2013","62","Middle East"
"South Sudan","south-sudan","89","2020","63","Africa"
"Zambia","zambia","88","2013","64","Africa"
"Egypt","egypt","83","2013","65","Africa"
"Madagascar","madagascar","83","2013","66","Africa"
"Korea, North","korea-north","82","2013","67","East Asia/Southeast Asia"
"Denmark","denmark","80","2013","68","Europe"
"Greece","greece","77","2013","69","Europe"
"Botswana","botswana","74","2013","70","Africa"
"Croatia","croatia","69","2013","71","Europe"
"Bulgaria","bulgaria","68","2013","72","Europe"
"El Salvador","el-salvador","68","2013","73","Central America"
"Sudan","sudan","67","2020","74","Africa"
"Belarus","belarus","65","2013","75","Europe"
"Burma","burma","64","2013","76","East Asia/Southeast Asia"
"Portugal","portugal","64","2013","77","Europe"
"Switzerland","switzerland","63","2013","78","Europe"
"Morocco","morocco","62","2020","79","Africa"
"Lithuania","lithuania","61","2013","80","Europe"
"Chad","chad","59","2013","81","Africa"
"Ethiopia","ethiopia","57","2013","82","Africa"
"Yemen","yemen","57","2013","83","Middle East"
"Suriname","suriname","55","2013","84","South America"
"Bahamas, The","bahamas-the","54","2020","85","Central America"
"French Polynesia","french-polynesia","54","2013","86","Australia - Oceania"
"Nigeria","nigeria","54","2013","87","Africa"
"Uzbekistan","uzbekistan","53","2013","88","Central Asia"
"Somalia","somalia","52","2020","89","Africa"
"Austria","austria","50","2020","90","Europe"
"Belize","belize","47","2013","91","Central America"
"Nepal","nepal","47","2013","92","South Asia"
"Uganda","uganda","47","2013","93","Africa"
"Afghanistan","afghanistan","46","2020","94","South Asia"
"Romania","romania","45","2013","95","Europe"
"Vietnam","vietnam","45","2013","96","East Asia/Southeast Asia"
"Gabon","gabon","44","2013","97","Africa"
"Mongolia","mongolia","44","2013","98","East Asia/Southeast Asia"
"United Arab Emirates","united-arab-emirates","43","2013","99","Middle East"
"Israel","israel","42","2020","100","Middle East"
"Latvia","latvia","42","2013","101","Europe"
"Belgium","belgium","41","2013","102","Europe"
"Hungary","hungary","41","2013","103","Europe"
"Laos","laos","41","2013","104","East Asia/Southeast Asia"
"Ireland","ireland","40","2013","105","Europe"
"Central African Republic","central-african-republic","39","2013","106","Africa"
"Taiwan","taiwan","37","2013","107","East Asia/Southeast Asia"
"Dominican Republic","dominican-republic","36","2013","108","Central America"
"Solomon Islands","solomon-islands","36","2013","109","Australia - Oceania"
"Slovakia","slovakia","35","2013","110","Europe"
"Cameroon","cameroon","33","2013","111","Africa"
"Malawi","malawi","32","2013","112","Africa"
"Vanuatu","vanuatu","31","2013","113","Australia - Oceania"
"Mauritania","mauritania","30","2013","114","Africa"
"Niger","niger","30","2013","115","Africa"
"Liberia","liberia","29","2013","116","Africa"
"Netherlands","netherlands","29","2013","117","Europe"
"Puerto Rico","puerto-rico","29","2013","118","Central America"
"Tunisia","tunisia","29","2013","119","Africa"
"Fiji","fiji","28","2013","120","Australia - Oceania"
"Jamaica","jamaica","28","2013","121","Central America"
"Kyrgyzstan","kyrgyzstan","28","2013","122","Central Asia"
"Congo, Republic of the","congo-republic-of-the","27","2013","123","Africa"
"Cote d'Ivoire","cote-divoire","27","2013","124","Africa"
"Serbia","serbia","26","2013","125","Europe"
