name,slug,value,date_of_information,ranking,region
"China","china","449,279,000","","1","East Asia/Southeast Asia"
"United States","united-states","114,259,000","","2","North America"
"Japan","japan","42,502,489","","3","East Asia/Southeast Asia"
"Germany","germany","35,071,539","","4","Europe"
"Brazil","brazil","32,914,496","","5","South America"
"Russia","russia","32,857,614","","6","Central Asia"
"France","france","29,760,000","","7","Europe"
"United Kingdom","united-kingdom","26,786,963","","8","Europe"
"Korea, South","korea-south","21,906,172","","9","East Asia/Southeast Asia"
"Mexico","mexico","19,354,980","","10","North America"
"India","india","19,156,559","","11","South Asia"
"Italy","italy","17,470,489","","12","Europe"
"Spain","spain","15,616,585","","13","Europe"
"Canada","canada","15,273,496","","14","North America"
"Vietnam","vietnam","14,802,380","","15","East Asia/Southeast Asia"
"Turkey","turkey","14,231,978","","16","Middle East"
"Indonesia","indonesia","10,284,364","","17","East Asia/Southeast Asia"
"Thailand","thailand","10,108,819","","18","East Asia/Southeast Asia"
"Argentina","argentina","8,793,181","","19","South America"
"Iran","iran","8,771,251","","20","Middle East"
"Australia","australia","8,752,830","","21","Australia - Oceania"
"Bangladesh","bangladesh","8,085,500","","22","South Asia"
"Poland","poland","7,783,887","","23","Europe"
"Egypt","egypt","7,598,941","","24","Africa"
"Netherlands","netherlands","7,459,000","","25","Europe"
"Colombia","colombia","6,949,852","","26","South America"
"Saudi Arabia","saudi-arabia","6,801,949","","27","Middle East"
"Ukraine","ukraine","6,784,185","","28","Europe"
"Philippines","philippines","5,920,087","","29","East Asia/Southeast Asia"
"Taiwan","taiwan","5,831,467","","30","East Asia/Southeast Asia"
"Romania","romania","5,277,700","","31","Europe"
"Uzbekistan","uzbekistan","4,597,265","","32","Central Asia"
"Belgium","belgium","4,590,707","","33","Europe"
"Iraq","iraq","4,559,053","","34","Middle East"
"Greece","greece","4,149,146","","35","Europe"
"Sweden","sweden","4,038,725","","36","Europe"
"Switzerland","switzerland","4,029,445","","37","Europe"
"Portugal","portugal","3,967,699","","38","Europe"
"Czechia","czechia","3,739,614","","39","Europe"
"Algeria","algeria","3,582,739","","40","Africa"
"Chile","chile","3,429,305","","41","South America"
"Belarus","belarus","3,214,869","","42","Europe"
"Hungary","hungary","3,189,689","","43","Europe"
"United Arab Emirates","united-arab-emirates","3,045,957","","44","Middle East"
"Malaysia","malaysia","2,964,500","","45","East Asia/Southeast Asia"
"Hong Kong","hong-kong","2,804,790","","46","East Asia/Southeast Asia"
"Venezuela","venezuela","2,560,994","","47","South America"
"Denmark","denmark","2,536,508","","48","Europe"
"Austria","austria","2,519,000","","49","Europe"
"Kazakhstan","kazakhstan","2,511,100","","50","Central Asia"
"Israel","israel","2,481,000","","51","Middle East"
"Peru","peru","2,310,217"," est.","52","South America"
"Norway","norway","2,260,605","","53","Europe"
"Ecuador","ecuador","2,092,458","","54","South America"
"Bulgaria","bulgaria","2,014,772","","55","Europe"
"Azerbaijan","azerbaijan","1,943,013","","56","Middle East"
"Finland","finland","1,797,000","","57","Europe"
"Pakistan","pakistan","1,760,870","","58","South Asia"
"Morocco","morocco","1,751,341","","59","Africa"
"Sri Lanka","sri-lanka","1,666,317","","60","South Asia"
"New Zealand","new-zealand","1,647,000","","61","Australia - Oceania"
"Serbia","serbia","1,623,790","","62","Europe"
"Slovakia","slovakia","1,585,092","","63","Europe"
