name,slug,value,date_of_information,ranking,region
"Tuvalu","tuvalu","25.60","2013 est.","1","Australia - Oceania"
"Macau","macau","10.00","2017 est.","2","East Asia/Southeast Asia"
"Palau","palau","8.80","2016 est.","3","Australia - Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","6.60","FY12/13 est.","4","Australia - Oceania"
"Greenland","greenland","5.60","2016 est.","5","North America"
"Hong Kong","hong-kong","5.20","2017 est.","6","East Asia/Southeast Asia"
"Cayman Islands","cayman-islands","4.80","2017 est.","7","Central America"
"Norway","norway","4.40","2017 est.","8","Europe"
"Malta","malta","3.90","2017 est.","9","Europe"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","3.80","1996 est.","10","North America"
"Northern Mariana Islands","northern-mariana-islands","3.70","2016 est.","11","Australia - Oceania"
"Grenada","grenada","3.20","2017 est.","12","Central America"
"Cook Islands","cook-islands","3.00","2010 est.","13","Australia - Oceania"
"Belarus","belarus","2.90","2017 est.","14","Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","2.10","2017 est.","15","Europe"
"Bulgaria","bulgaria","1.80","2017 est.","16","Europe"
"Cyprus","cyprus","1.80","2017 est.","17","Europe"
"Saint Kitts and Nevis","saint-kitts-and-nevis","1.70","2017 est.","18","Central America"
"Czechia","czechia","1.60","2017 est.","19","Europe"
"Liechtenstein","liechtenstein","1.60","2012 est.","20","Europe"
"New Zealand","new-zealand","1.60","2017 est.","21","Australia - Oceania"
"Iceland","iceland","1.50","2017 est.","22","Europe"
"Luxembourg","luxembourg","1.50","2017 est.","23","Europe"
"Korea, South","korea-south","1.40","2017 est.","24","East Asia/Southeast Asia"
"Germany","germany","1.30","2017 est.","25","Europe"
"Marshall Islands","marshall-islands","1.30","2013 est.","26","Australia - Oceania"
"Sweden","sweden","1.30","2017 est.","27","Europe"
"French Polynesia","french-polynesia","1.20","2012","28","Australia - Oceania"
"Guernsey","guernsey","1.20","2005","29","Europe"
"Denmark","denmark","1.10","2017 est.","30","Europe"
"Gibraltar","gibraltar","1.10","2008 est.","31","Europe"
"Netherlands","netherlands","1.10","2017 est.","32","Europe"
"Switzerland","switzerland","1.10","2017 est.","33","Europe"
"Anguilla","anguilla","0.90","2017 est.","34","Central America"
"Croatia","croatia","0.80","2017 est.","35","Europe"
"Greece","greece","0.80","2017 est.","36","Europe"
"Jamaica","jamaica","0.50","2017 est.","37","Central America"
"Lithuania","lithuania","0.50","2017 est.","38","Europe"
"West Bank","west-bank","0.40","2017 est.","39","Middle East"
"Isle of Man","isle-of-man","0.30","FY05/06 est.","40","Europe"
"Saint Lucia","saint-lucia","0.30","2017 est.","41","Central America"
"Uzbekistan","uzbekistan","0.30","2017 est.","42","Central Asia"
"Serbia","serbia","0.20","2017 est.","43","Europe"
"British Virgin Islands","british-virgin-islands","0.00","2017 est.","44","Central America"
"New Caledonia","new-caledonia","0.00","2015 est.","45","Australia - Oceania"
"Slovenia","slovenia","0.00","2017 est.","46","Europe"
"Tonga","tonga","0.00","2017 est.","47","Australia - Oceania"
"Nepal","nepal","-0.10","2017 est.","48","South Asia"
"Somalia","somalia","-0.10","2014 est.","49","Africa"
"Taiwan","taiwan","-0.10","2017 est.","50","East Asia/Southeast Asia"
"United Arab Emirates","united-arab-emirates","-0.20","2017 est.","51","Middle East"
"Estonia","estonia","-0.30","2017 est.","52","Europe"
"Ireland","ireland","-0.30","2017 est.","53","Europe"
"Mauritius","mauritius","-0.30","2017 est.","54","Africa"
"Singapore","singapore","-0.30","2017 est.","55","East Asia/Southeast Asia"
"Curacao","curacao","-0.40","2012 est.","56","Central America"
"Jersey","jersey","-0.40","2005","57","Europe"
"Korea, North","korea-north","-0.40","2007 est.","58","East Asia/Southeast Asia"
"Virgin Islands","virgin-islands","-0.40","2016 est.","59","Central America"
"Australia","australia","-0.50","2017 est.","60","Australia - Oceania"
"Guinea","guinea","-0.50","2017 est.","61","Africa"
"Latvia","latvia","-0.50","2017 est.","62","Europe"
"Seychelles","seychelles","-0.50","2017 est.","63","Africa"
"Finland","finland","-0.60","2017 est.","64","Europe"
"Moldova","moldova","-0.60","2017 est.","65","Europe"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","-0.60","2017 est.","66","Central America"
"Austria","austria","-0.70","2017 est.","67","Europe"
"Puerto Rico","puerto-rico","-0.70","2017 est.","68","Central America"
"Mauritania","mauritania","-0.80","2017 est.","69","Africa"
"Wallis and Futuna","wallis-and-futuna","-0.80","2015 est.","70","Australia - Oceania"
"Central African Republic","central-african-republic","-0.90","2017 est.","71","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","-0.90","2017 est.","72","Africa"
"Vanuatu","vanuatu","-0.90","2017 est.","73","Australia - Oceania"
"Belgium","belgium","-1.00","2017 est.","74","Europe"
"Belize","belize","-1.00","2017 est.","75","Central America"
"Botswana","botswana","-1.00","2017 est.","76","Africa"
"Canada","canada","-1.00","2017 est.","77","North America"
"Guam","guam","-1.00","2016 est.","78","Australia - Oceania"
"Haiti","haiti","-1.00","2017 est.","79","Central America"
"Monaco","monaco","-1.00","2011 est.","80","Europe"
"Slovakia","slovakia","-1.00","2017 est.","81","Europe"
"Brazil","brazil","-1.10","2017 est.","82","South America"
"Mexico","mexico","-1.10","2017 est.","83","North America"
"Paraguay","paraguay","-1.10","2017 est.","84","South America"
"Guatemala","guatemala","-1.30","2017 est.","85","Central America"
"Guinea-Bissau","guinea-bissau","-1.30","2017 est.","86","Africa"
"South Sudan","south-sudan","-1.30","FY2017/18 est.","87","Africa"
"Russia","russia","-1.40","2017 est.","88","Central Asia"
"Chad","chad","-1.50","2017 est.","89","Africa"
"Tajikistan","tajikistan","-1.50","2017 est.","90","Central Asia"
"Turkey","turkey","-1.50","2017 est.","91","Middle East"
"Ukraine","ukraine","-1.50","2017 est.","92","Europe"
"Azerbaijan","azerbaijan","-1.60","2017 est.","93","Middle East"
"Panama","panama","-1.60","2017 est.","94","Central America"
"Faroe Islands","faroe-islands","-1.70","2014 est.","95","Europe"
"Poland","poland","-1.70","2017 est.","96","Europe"
"Cambodia","cambodia","-1.80","2017 est.","97","East Asia/Southeast Asia"
"Kazakhstan","kazakhstan","-1.80","2017 est.","98","Central Asia"
"Nigeria","nigeria","-1.80","2017 est.","99","Africa"
"Tanzania","tanzania","-1.80","2017 est.","100","Africa"
"Gabon","gabon","-1.90","2017 est.","101","Africa"
"United Kingdom","united-kingdom","-1.90","2017 est.","102","Europe"
"Albania","albania","-2.00","2017 est.","103","Europe"
"Hungary","hungary","-2.00","2017 est.","104","Europe"
"Israel","israel","-2.00","2017 est.","105","Middle East"
"Nicaragua","nicaragua","-2.00","2017 est.","106","Central America"
"American Samoa","american-samoa","-2.10","2016 est.","107","Australia - Oceania"
"Kosovo","kosovo","-2.10","2017 est.","108","Europe"
"Philippines","philippines","-2.20","2017 est.","109","East Asia/Southeast Asia"
"Iran","iran","-2.30","2017 est.","110","Middle East"
"Italy","italy","-2.30","2017 est.","111","Europe"
"Antigua and Barbuda","antigua-and-barbuda","-2.40","2017 est.","112","Central America"
"Sao Tome and Principe","sao-tome-and-principe","-2.40","2017 est.","113","Africa"
"El Salvador","el-salvador","-2.50","2017 est.","114","Central America"
"Bahamas, The","bahamas-the","-2.60","2017 est.","115","Central America"
"France","france","-2.60","2017 est.","116","Europe"
"Gambia, The","gambia-the","-2.60","2017 est.","117","Africa"
"Aruba","aruba","-2.70","2017 est.","118","Central America"
"Colombia","colombia","-2.70","2017 est.","119","South America"
"Honduras","honduras","-2.70","2017 est.","120","Central America"
"Indonesia","indonesia","-2.70","2017 est.","121","East Asia/Southeast Asia"
"Madagascar","madagascar","-2.70","2017 est.","123","Africa"
"Chile","chile","-2.80","2017 est.","124","South America"
"Romania","romania","-2.80","2017 est.","125","Europe"
"Turkmenistan","turkmenistan","-2.80","2017 est.","126","Central Asia"
"Bermuda","bermuda","-2.90","2017 est.","127","North America"
"Mali","mali","-2.90","2017 est.","128","Africa"
"San Marino","san-marino","-2.90","2011 est.","129","Europe"
"Solomon Islands","solomon-islands","-2.90","2017 est.","130","Australia - Oceania"
"Cabo Verde","cabo-verde","-3.00","2017 est.","131","Africa"
"Dominican Republic","dominican-republic","-3.00","2017 est.","132","Central America"
"Malaysia","malaysia","-3.00","2017 est.","133","East Asia/Southeast Asia"
"Portugal","portugal","-3.00","2017 est.","134","Europe"
"Peru","peru","-3.10","2017 est.","135","South America"
"Spain","spain","-3.10","2017 est.","136","Europe"
"Bangladesh","bangladesh","-3.20","2017 est.","137","South Asia"
"Burma","burma","-3.20","2017 est.","138","East Asia/Southeast Asia"
"Ethiopia","ethiopia","-3.20","2017 est.","139","Africa"
"Kyrgyzstan","kyrgyzstan","-3.20","2017 est.","140","Central Asia"
"Equatorial Guinea","equatorial-guinea","-3.30","2017 est.","141","Africa"
"Bhutan","bhutan","-3.40","2017 est.","142","South Asia"
"Cameroon","cameroon","-3.40","2017 est.","143","Africa"
"Malawi","malawi","-3.40","2017 est.","144","Africa"
"United States","united-states","-3.40","2017 est.","145","North America"
"India","india","-3.50","2017 est.","146","South Asia"
"Japan","japan","-3.50","2017 est.","147","East Asia/Southeast Asia"
"Thailand","thailand","-3.50","2017 est.","148","East Asia/Southeast Asia"
"Uruguay","uruguay","-3.50","2017 est.","149","South America"
"Morocco","morocco","-3.60","2017 est.","150","Africa"
"Senegal","senegal","-3.60","2017 est.","151","Africa"
"China","china","-3.80","2017 est.","152","East Asia/Southeast Asia"
"Georgia","georgia","-3.80","2017 est.","153","Middle East"
"Togo","togo","-3.80","2017 est.","154","Africa"
"Barbados","barbados","-4.00","2017 est.","155","Central America"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","-4.00","FY09/10","156","South America"
"Fiji","fiji","-4.00","2017 est.","157","Australia - Oceania"
"Uganda","uganda","-4.10","2017 est.","158","Africa"
"Cote d'Ivoire","cote-divoire","-4.20","2017 est.","159","Africa"
"Iraq","iraq","-4.20","2017 est.","160","Middle East"
"Liberia","liberia","-4.30","2017 est.","161","Africa"
"Rwanda","rwanda","-4.30","2017 est.","162","Africa"
"South Africa","south-africa","-4.40","2017 est.","163","Africa"
"Ecuador","ecuador","-4.50","2017 est.","164","South America"
"Guyana","guyana","-4.50","2017 est.","165","South America"
"Samoa","samoa","-4.70","2017 est.","166","Australia - Oceania"
"Armenia","armenia","-4.80","2017 est.","167","Middle East"
"Papua New Guinea","papua-new-guinea","-4.80","2017 est.","168","East Asia/Southeast Asia"
"Niger","niger","-5.00","2017 est.","169","Africa"
"Jordan","jordan","-5.10","2017 est.","170","Middle East"
"Yemen","yemen","-5.20","2017 est.","171","Middle East"
"Laos","laos","-5.50","2017 est.","172","East Asia/Southeast Asia"
"Namibia","namibia","-5.50","2017 est.","173","Africa"
"Sri Lanka","sri-lanka","-5.50","2017 est.","174","South Asia"
"Montenegro","montenegro","-5.60","2017 est.","175","Europe"
"Mozambique","mozambique","-5.60","2017 est.","176","Africa"
"Burundi","burundi","-5.70","2017 est.","177","Africa"
"Pakistan","pakistan","-5.80","2017 est.","178","South Asia"
"Qatar","qatar","-5.80","2017 est.","179","Middle East"
"Tunisia","tunisia","-5.80","2017 est.","180","Africa"
"Dominica","dominica","-5.90","2017 est.","181","Central America"
"Argentina","argentina","-6.00","2017 est.","182","South America"
"Ghana","ghana","-6.00","2017 est.","183","Africa"
"Lesotho","lesotho","-6.00","2017 est.","184","Africa"
"Costa Rica","costa-rica","-6.10","2017 est.","185","Central America"
"Benin","benin","-6.20","2017 est.","186","Africa"
"Mongolia","mongolia","-6.40","2017 est.","187","East Asia/Southeast Asia"
"Comoros","comoros","-6.50","2017 est.","188","Africa"
"Angola","angola","-6.70","2017 est.","189","Africa"
"Kenya","kenya","-6.70","2017 est.","190","Africa"
"Vietnam","vietnam","-6.70","2017 est.","191","East Asia/Southeast Asia"
"Andorra","andorra","-6.90","2016","192","Europe"
"Lebanon","lebanon","-6.90","2017 est.","193","Middle East"
"Congo, Republic of the","congo-republic-of-the","-7.00","2017 est.","194","Africa"
"Zambia","zambia","-7.30","2017 est.","195","Africa"
"Bolivia","bolivia","-7.80","2017 est.","196","South America"
"Suriname","suriname","-7.80","2017 est.","197","South America"
"Burkina Faso","burkina-faso","-7.90","2017 est.","198","Africa"
"Sierra Leone","sierra-leone","-7.90","2017 est.","199","Africa"
"Trinidad and Tobago","trinidad-and-tobago","-8.20","2017 est.","200","Central America"
"Eswatini","eswatini","-8.50","2017 est.","201","Africa"
"Egypt","egypt","-8.60","2017 est.","202","Africa"
"Syria","syria","-8.70","2017 est.","203","Middle East"
"Saudi Arabia","saudi-arabia","-8.90","2017 est.","204","Middle East"
"Djibouti","djibouti","-9.00","2017 est.","205","Africa"
"Nauru","nauru","-9.20","2017 est.","206","Australia - Oceania"
"Algeria","algeria","-9.60","2017 est.","207","Africa"
"Zimbabwe","zimbabwe","-9.60","2017 est.","208","Africa"
"Eritrea","eritrea","-9.80","2017 est.","209","Africa"
"Kuwait","kuwait","-10.00","2017 est.","210","Middle East"
"Bahrain","bahrain","-10.10","2017 est.","211","Middle East"
"Maldives","maldives","-10.10","2016 est.","212","South Asia"
"Sudan","sudan","-10.60","2017 est.","213","Africa"
"Cuba","cuba","-10.80","2017 est.","214","Central America"
"Niue","niue","-12.60","FY04/05","215","Australia - Oceania"
"Oman","oman","-13.80","2017 est.","216","Middle East"
"Afghanistan","afghanistan","-15.10","2017 est.","217","South Asia"
"Brunei","brunei","-17.30","2017 est.","218","East Asia/Southeast Asia"
"Libya","libya","-25.10","2017 est.","219","Africa"
"Venezuela","venezuela","-46.10","2017 est.","220","South America"
"Kiribati","kiribati","-64.10","2017 est.","221","Australia - Oceania"
"Timor-Leste","timor-leste","-75.70","2017 est.","222","East Asia/Southeast Asia"
