name,slug,value,date_of_information,ranking,region
"United States","united-states","10,962,000","2018 est.","1","North America"
"Russia","russia","10,759,000","2018 est.","2","Central Asia"
"Saudi Arabia","saudi-arabia","10,425,000","2018 est.","3","Middle East"
"Iraq","iraq","4,613,000","2018 est.","4","Middle East"
"Canada","canada","4,264,000","2018 est.","5","North America"
"Iran","iran","4,251,000","2018 est.","6","Middle East"
"China","china","3,773,000","2018 est.","7","East Asia/Southeast Asia"
"United Arab Emirates","united-arab-emirates","3,216,000","2018 est.","8","Middle East"
"Kuwait","kuwait","2,807,000","2018 est.","9","Middle East"
"Brazil","brazil","2,587,000","2018 est.","10","South America"
"Nigeria","nigeria","1,989,000","2018 est.","11","Africa"
"Kazakhstan","kazakhstan","1,856,000","2018 est.","12","Central Asia"
"Mexico","mexico","1,852,000","2018 est.","13","North America"
"Angola","angola","1,593,000","2018 est.","14","Africa"
"Norway","norway","1,517,000","2018 est.","15","Europe"
"Venezuela","venezuela","1,484,000","2018 est.","16","South America"
"Qatar","qatar","1,464,000","2018 est.","17","Middle East"
"Algeria","algeria","1,259,000","2018 est.","18","Africa"
"Libya","libya","1,039,000","2018 est.","19","Africa"
"United Kingdom","united-kingdom","1,000,000","2018 est.","20","Europe"
"Oman","oman","979,000","2018 est.","21","Middle East"
"Colombia","colombia","863,000","2018 est.","22","South America"
"Azerbaijan","azerbaijan","798,000","2018 est.","23","Middle East"
"Indonesia","indonesia","772,000","2018 est.","24","East Asia/Southeast Asia"
"India","india","709,000","2018 est.","25","South Asia"
"Malaysia","malaysia","647,000","2018 est.","26","East Asia/Southeast Asia"
"Egypt","egypt","639,000","2018 est.","27","Africa"
"Ecuador","ecuador","517,000","2018 est.","28","South America"
"Argentina","argentina","489,000","2018 est.","29","South America"
"Congo, Republic of the","congo-republic-of-the","340,000","2018 est.","30","Africa"
"Australia","australia","284,000","2018 est.","31","Australia - Oceania"
"Turkmenistan","turkmenistan","244,000","2018 est.","32","Central Asia"
"Vietnam","vietnam","242,000","2018 est.","33","East Asia/Southeast Asia"
"Thailand","thailand","228,000","2018 est.","34","East Asia/Southeast Asia"
"Gabon","gabon","196,000","2018 est.","35","Africa"
"Svalbard","svalbard","194,300","2014 est.","36","Europe"
"Ghana","ghana","173,000","2018 est.","37","Africa"
"Equatorial Guinea","equatorial-guinea","172,000","2018 est.","38","Africa"
"South Sudan","south-sudan","150,200","2017 est.","39","Africa"
"Chad","chad","132,000","2018 est.","40","Africa"
"Denmark","denmark","115,000","2018 est.","41","Europe"
"Brunei","brunei","100,000","2018 est.","42","East Asia/Southeast Asia"
"Sudan","sudan","95,000","2018 est.","43","Africa"
"Italy","italy","90,000","2018 est.","44","Europe"
"Pakistan","pakistan","90,000","2018 est.","45","South Asia"
"Romania","romania","70,000","2018 est.","46","Europe"
"Cameroon","cameroon","69,000","2018 est.","47","Africa"
"Trinidad and Tobago","trinidad-and-tobago","63,000","2018 est.","48","Central America"
"Yemen","yemen","61,000","2018 est.","49","Middle East"
"Bolivia","bolivia","60,000","2018 est.","50","South America"
"Turkey","turkey","55,000","2018 est.","51","Middle East"
"Cote d'Ivoire","cote-divoire","52,000","2018 est.","52","Africa"
"Cuba","cuba","50,000","2018 est.","53","Central America"
"Peru","peru","49,000","2018 est.","54","South America"
"Papua New Guinea","papua-new-guinea","45,000","2018 est.","55","East Asia/Southeast Asia"
"Germany","germany","41,000","2018 est.","56","Europe"
"Uzbekistan","uzbekistan","41,000","2018 est.","57","Central Asia"
"Bahrain","bahrain","40,000","2018 est.","58","Middle East"
"Tunisia","tunisia","39,000","2018 est.","59","Africa"
"Timor-Leste","timor-leste","33,000","2018 est.","60","East Asia/Southeast Asia"
"Ukraine","ukraine","32,000","2018 est.","61","Europe"
"Belarus","belarus","31,000","2018 est.","62","Europe"
"Syria","syria","25,000","2018 est.","63","Middle East"
"New Zealand","new-zealand","24,000","2018 est.","64","Australia - Oceania"
"Poland","poland","21,000","2018 est.","65","Europe"
"Mongolia","mongolia","20,000","2018 est.","66","East Asia/Southeast Asia"
"Netherlands","netherlands","18,000","2018 est.","67","Europe"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","17,000","2018 est.","68","Africa"
"Serbia","serbia","17,000","2018 est.","69","Europe"
"Suriname","suriname","17,000","2018 est.","70","South America"
"France","france","16,000","2018 est.","71","Europe"
"Hungary","hungary","16,000","2018 est.","72","Europe"
"Albania","albania","14,000","2018 est.","73","Europe"
"Croatia","croatia","14,000","2018 est.","74","Europe"
"Austria","austria","13,000","2018 est.","75","Europe"
"Philippines","philippines","13,000","2018 est.","76","East Asia/Southeast Asia"
"Burma","burma","11,000","2018 est.","77","East Asia/Southeast Asia"
"Guatemala","guatemala","9,600","2018 est.","78","Central America"
"Niger","niger","9,000","2018 est.","79","Africa"
"Greece","greece","4,100","2018 est.","80","Europe"
"Mauritania","mauritania","4,000","2018 est.","81","Africa"
"Japan","japan","3,200","2018 est.","82","East Asia/Southeast Asia"
"Bangladesh","bangladesh","3,000","2018 est.","83","South Asia"
"Chile","chile","3,000","2018 est.","84","South America"
"Belize","belize","2,000","2018 est.","85","Central America"
"Czechia","czechia","2,000","2018 est.","86","Europe"
"Lithuania","lithuania","2,000","2018 est.","87","Europe"
"Spain","spain","1,700","2018 est.","88","Europe"
"South Africa","south-africa","1,600","2018 est.","89","Africa"
"Barbados","barbados","1,000","2018 est.","90","Central America"
"Bulgaria","bulgaria","1,000","2018 est.","91","Europe"
"Kyrgyzstan","kyrgyzstan","1,000","2018 est.","92","Central Asia"
"Georgia","georgia","400","2018 est.","93","Middle East"
"Israel","israel","390","2018 est.","94","Middle East"
"Slovakia","slovakia","200","2018 est.","95","Europe"
"Taiwan","taiwan","196","2018 est.","96","East Asia/Southeast Asia"
"Tajikistan","tajikistan","180","2018 est.","97","Central Asia"
"Morocco","morocco","160","2018 est.","98","Africa"
"Jordan","jordan","22","2018 est.","99","Middle East"
"Slovenia","slovenia","5","2018 est.","100","Europe"
"Afghanistan","afghanistan","0","2018 est.","101","South Asia"
"American Samoa","american-samoa","0","2018 est.","102","Australia - Oceania"
"Andorra","andorra","0","2016","103","Europe"
"Antarctica","antarctica","0","2018 est.","104","Antarctica"
"Antigua and Barbuda","antigua-and-barbuda","0","2018 est.","105","Central America"
"Armenia","armenia","0","2018 est.","106","Middle East"
"Aruba","aruba","0","2018 est.","107","Central America"
"Bahamas, The","bahamas-the","0","2018 est.","108","Central America"
"Belgium","belgium","0","2018 est.","109","Europe"
"Benin","benin","0","2018 est.","110","Africa"
"Bermuda","bermuda","0","2018 est.","111","North America"
"Bhutan","bhutan","0","2018 est.","112","South Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","0","2018 est.","113","Europe"
"Botswana","botswana","0","2018 est.","114","Africa"
"British Virgin Islands","british-virgin-islands","0","2018 est.","115","Central America"
"Burkina Faso","burkina-faso","0","2018 est.","116","Africa"
"Burundi","burundi","0","2018 est.","117","Africa"
"Cabo Verde","cabo-verde","0","2018 est.","118","Africa"
"Cambodia","cambodia","0","2018 est.","119","East Asia/Southeast Asia"
"Cayman Islands","cayman-islands","0","2018 est.","120","Central America"
"Central African Republic","central-african-republic","0","2018 est.","121","Africa"
"Comoros","comoros","0","2018 est.","122","Africa"
"Cook Islands","cook-islands","0","2018 est.","123","Australia - Oceania"
"Costa Rica","costa-rica","0","2018 est.","124","Central America"
"Curacao","curacao","0","2017 est.","125","Central America"
"Cyprus","cyprus","0","2018 est.","126","Europe"
"Djibouti","djibouti","0","2018 est.","127","Africa"
"Dominica","dominica","0","2018 est.","128","Central America"
"Dominican Republic","dominican-republic","0","2018 est.","129","Central America"
"El Salvador","el-salvador","0","2018 est.","130","Central America"
"Eritrea","eritrea","0","2018 est.","131","Africa"
"Estonia","estonia","0","2018 est.","132","Europe"
"Eswatini","eswatini","0","2018 est.","133","Africa"
"Ethiopia","ethiopia","0","2018 est.","134","Africa"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","0","2018 est.","135","South America"
"Faroe Islands","faroe-islands","0","2018 est.","136","Europe"
"Fiji","fiji","0","2018 est.","137","Australia - Oceania"
"Finland","finland","0","2018 est.","138","Europe"
"French Polynesia","french-polynesia","0","2018 est.","139","Australia - Oceania"
"Gambia, The","gambia-the","0","2018 est.","140","Africa"
"Gibraltar","gibraltar","0","2018 est.","141","Europe"
"Greenland","greenland","0","2018 est.","142","North America"
"Grenada","grenada","0","2018 est.","143","Central America"
"Guam","guam","0","2018 est.","144","Australia - Oceania"
"Guinea","guinea","0","2018 est.","145","Africa"
"Guinea-Bissau","guinea-bissau","0","2018 est.","146","Africa"
"Guyana","guyana","0","2018 est.","147","South America"
"Haiti","haiti","0","2018 est.","148","Central America"
"Honduras","honduras","0","2018 est.","149","Central America"
"Hong Kong","hong-kong","0","2018 est.","150","East Asia/Southeast Asia"
"Iceland","iceland","0","2018 est.","151","Europe"
"Ireland","ireland","0","2018 est.","152","Europe"
"Jamaica","jamaica","0","2018 est.","153","Central America"
"Kenya","kenya","0","2018 est.","154","Africa"
"Kiribati","kiribati","0","2018 est.","155","Australia - Oceania"
"Korea, North","korea-north","0","2018 est.","156","East Asia/Southeast Asia"
"Korea, South","korea-south","0","2018 est.","157","East Asia/Southeast Asia"
"Kosovo","kosovo","0","2017 est.","158","Europe"
"Laos","laos","0","2018 est.","159","East Asia/Southeast Asia"
"Latvia","latvia","0","2018 est.","160","Europe"
"Lebanon","lebanon","0","2018 est.","161","Middle East"
"Lesotho","lesotho","0","2018 est.","162","Africa"
"Liberia","liberia","0","2018 est.","163","Africa"
"Luxembourg","luxembourg","0","2018 est.","164","Europe"
"Macau","macau","0","2018 est.","165","East Asia/Southeast Asia"
"Madagascar","madagascar","0","2018 est.","167","Africa"
"Malawi","malawi","0","2018 est.","168","Africa"
"Maldives","maldives","0","2018 est.","169","South Asia"
"Mali","mali","0","2018 est.","170","Africa"
"Malta","malta","0","2018 est.","171","Europe"
"Marshall Islands","marshall-islands","0","2017 est.","172","Australia - Oceania"
"Mauritius","mauritius","0","2018 est.","173","Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","0","2014","174","Australia - Oceania"
"Moldova","moldova","0","2018 est.","175","Europe"
"Montenegro","montenegro","0","2018 est.","176","Europe"
"Montserrat","montserrat","0","2018 est.","177","Central America"
"Mozambique","mozambique","0","2018 est.","178","Africa"
"Namibia","namibia","0","2018 est.","179","Africa"
"Nauru","nauru","0","2018 est.","180","Australia - Oceania"
"Nepal","nepal","0","2018 est.","181","South Asia"
"New Caledonia","new-caledonia","0","2018 est.","182","Australia - Oceania"
"Nicaragua","nicaragua","0","2018 est.","183","Central America"
"Niue","niue","0","2018 est.","184","Australia - Oceania"
"Panama","panama","0","2018 est.","185","Central America"
"Paraguay","paraguay","0","2018 est.","186","South America"
"Portugal","portugal","0","2018 est.","187","Europe"
"Puerto Rico","puerto-rico","0","2018 est.","188","Central America"
"Rwanda","rwanda","0","2018 est.","189","Africa"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","0","2018 est.","190","Africa"
"Saint Kitts and Nevis","saint-kitts-and-nevis","0","2018 est.","191","Central America"
"Saint Lucia","saint-lucia","0","2018 est.","192","Central America"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","0","2018 est.","193","North America"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","0","2018 est.","194","Central America"
"Samoa","samoa","0","2018 est.","195","Australia - Oceania"
"Sao Tome and Principe","sao-tome-and-principe","0","2018 est.","196","Africa"
"Senegal","senegal","0","2018 est.","197","Africa"
"Seychelles","seychelles","0","2018 est.","198","Africa"
"Sierra Leone","sierra-leone","0","2018 est.","199","Africa"
"Singapore","singapore","0","2018 est.","200","East Asia/Southeast Asia"
"Solomon Islands","solomon-islands","0","2018 est.","201","Australia - Oceania"
"Somalia","somalia","0","2018 est.","202","Africa"
"Sri Lanka","sri-lanka","0","2018 est.","203","South Asia"
"Sweden","sweden","0","2018 est.","204","Europe"
"Switzerland","switzerland","0","2018 est.","205","Europe"
"Tanzania","tanzania","0","2018 est.","206","Africa"
"Togo","togo","0","2018 est.","207","Africa"
"Tonga","tonga","0","2018 est.","208","Australia - Oceania"
"Turks and Caicos Islands","turks-and-caicos-islands","0","2018 est.","209","Central America"
"Tuvalu","tuvalu","0","2014 est.","210","Australia - Oceania"
"Uganda","uganda","0","2018 est.","211","Africa"
"United States Pacific Island Wildlife Refuges","united-states-pacific-island-wildlife-refuges","0","2018 est.","212","Australia - Oceania"
"Uruguay","uruguay","0","2018 est.","213","South America"
"Vanuatu","vanuatu","0","2018 est.","214","Australia - Oceania"
"Virgin Islands","virgin-islands","0","2018 est.","215","Central America"
"Wake Island","wake-island","0","2018 est.","216","Australia - Oceania"
"West Bank","west-bank","0","2018 est.","217","Middle East"
"Zambia","zambia","0","2018 est.","218","Africa"
"Zimbabwe","zimbabwe","0","2018 est.","219","Africa"
