name,slug,value,date_of_information,ranking,region
"United States","united-states","$20,275,951,000,000","2019 est.","1","North America"
"United Kingdom","united-kingdom","$8,721,590,000,000","2019 est.","2","Europe"
"France","france","$6,356,459,000,000","2019 est.","3","Europe"
"Germany","germany","$5,671,463,000,000","2019 est.","4","Europe"
"Netherlands","netherlands","$4,345,413,000,000","2019 est.","5","Europe"
"Luxembourg","luxembourg","$4,266,792,000,000","2019 est.","6","Europe"
"Japan","japan","$4,254,271,000,000","2019 est.","7","East Asia/Southeast Asia"
"Australia","australia","$3,115,913,000,000","2019 est.","8","Australia - Oceania"
"Ireland","ireland","$2,829,303,000,000","2019 est.","9","Europe"
"Italy","italy","$2,463,208,000,000","2019 est.","10","Europe"
"Spain","spain","$2,338,853,000,000","2019 est.","11","Europe"
"Canada","canada","$2,124,887,000,000","2019 est.","12","North America"
"China","china","$2,027,950,000,000","2019 est.","13","East Asia/Southeast Asia"
"Switzerland","switzerland","$1,909,446,000,000","2019 est.","14","Europe"
"Hong Kong","hong-kong","$1,648,409,000,000","2019 est.","15","East Asia/Southeast Asia"
"Singapore","singapore","$1,557,646,000,000","2019 est.","16","East Asia/Southeast Asia"
"Belgium","belgium","$1,317,513,000,000","2019 est.","17","Europe"
"Sweden","sweden","$911,317,000,000","2019 est.","18","Europe"
"Austria","austria","$688,434,000,000","2019 est.","19","Europe"
"Brazil","brazil","$681,336,000,000","2019 est.","20","South America"
"Norway","norway","$651,040,000,000","2019 est.","21","Europe"
"Finland","finland","$631,549,000,000","2019 est.","22","Europe"
"India","india","$555,388,000,000","2019 est.","23","South Asia"
"Denmark","denmark","$504,808,000,000","2019 est.","24","Europe"
"Greece","greece","$484,888,000,000","2019 est.","25","Europe"
"Russia","russia","$479,844,000,000","2019 est.","26","Central Asia"
"Portugal","portugal","$462,431,000,000","2019 est.","27","Europe"
"Korea, South","korea-south","$457,745,000,000","2019 est.","28","East Asia/Southeast Asia"
"Mexico","mexico","$456,713,000,000","2019 est.","29","North America"
"Turkey","turkey","$438,677,000,000","2019 est.","30","Middle East"
"Indonesia","indonesia","$393,252,000,000","2019 est.","31","East Asia/Southeast Asia"
"Poland","poland","$351,770,000,000","2019 est.","32","Europe"
"Argentina","argentina","$278,524,000,000","2019 est.","33","South America"
"United Arab Emirates","united-arab-emirates","$237,600,000,000","31 December 2017 est.","34","Middle East"
"Mauritius","mauritius","$226,799,000,000","2019 est.","35","Africa"
"Malaysia","malaysia","$224,596,000,000","2019 est.","36","East Asia/Southeast Asia"
"Cyprus","cyprus","$213,190,000,000","2019 est.","37","Europe"
"Saudi Arabia","saudi-arabia","$205,100,000,000","31 December 2017 est.","38","Middle East"
"Chile","chile","$193,298,000,000","2019 est.","39","South America"
"Czechia","czechia","$191,871,000,000","2019 est.","40","Europe"
"New Zealand","new-zealand","$190,621,000,000","2019 est.","41","Australia - Oceania"
"Taiwan","taiwan","$189,684,000,000","2019 est.","42","East Asia/Southeast Asia"
"South Africa","south-africa","$179,871,000,000","2019 est.","43","Africa"
"Thailand","thailand","$167,890,000,000","2019 est.","44","East Asia/Southeast Asia"
"Qatar","qatar","$167,800,000,000","31 December 2017 est.","45","Middle East"
"Kazakhstan","kazakhstan","$159,351,000,000","2019 est.","46","Central Asia"
"Colombia","colombia","$135,644,000,000","2019 est.","47","South America"
"Hungary","hungary","$123,256,000,000","2019 est.","48","Europe"
"Romania","romania","$117,829,000,000","2019 est.","49","Europe"
"Ukraine","ukraine","$117,410,000,000","2019 est.","50","Europe"
"Slovakia","slovakia","$115,853,000,000","2019 est.","51","Europe"
"Egypt","egypt","$109,238,000,000","2019 est.","52","Africa"
"Pakistan","pakistan","$107,527,000,000","2019 est.","53","South Asia"
"Panama","panama","$101,393,000,000","2019 est.","54","Central America"
"Venezuela","venezuela","$100,300,000,000","31 December 2017 est.","55","South America"
"Israel","israel","$99,886,000,000","2019 est.","56","Middle East"
"Malta","malta","$98,179,000,000","2019 est.","57","Europe"
"Vietnam","vietnam","$96,580,000,000","31 December 2017 est.","58","East Asia/Southeast Asia"
"Philippines","philippines","$81,995,000,000","2019 est.","59","East Asia/Southeast Asia"
"Peru","peru","$81,333,000,000","2019 est.","60","South America"
"Iraq","iraq","$73,020,000,000","31 December 2017 est.","61","Middle East"
"Puerto Rico","puerto-rico","$56,820,000,000","31 December 2010 est.","62","Central America"
"Sudan","sudan","$56,050,000,000","31 December 2017 est.","63","Africa"
"Sri Lanka","sri-lanka","$55,332,000,000","2019 est.","64","South Asia"
"Morocco","morocco","$52,957,000,000","2019 est.","65","Africa"
"Bahrain","bahrain","$52,150,000,000","31 December 2017 est.","66","Middle East"
"Ecuador","ecuador","$50,667,000,000","2019 est.","67","South America"
"Bangladesh","bangladesh","$50,260,000,000","31 December 2017 est.","68","South Asia"
"Slovenia","slovenia","$48,656,000,000","2019 est.","69","Europe"
"Croatia","croatia","$48,263,000,000","2019 est.","70","Europe"
