name,slug,value,date_of_information,ranking,region
"Cuba","cuba","12.80","2010","1","Central America"
"Micronesia, Federated States of","micronesia-federated-states-of","12.50","2015","2","Australia - Oceania"
"Solomon Islands","solomon-islands","9.90","2010","3","Australia - Oceania"
"Montserrat","montserrat","8.80","2019","4","Central America"
"Norway","norway","7.90","2017","5","Europe"
"Denmark","denmark","7.80","2017","6","Europe"
"Iceland","iceland","7.70","2017","7","Europe"
"Sierra Leone","sierra-leone","7.70","2019","8","Africa"
"Belize","belize","7.60","2018","9","Central America"
"Sweden","sweden","7.60","2017","10","Europe"
"Bolivia","bolivia","7.30","2014","11","South America"
"Eswatini","eswatini","7.10","2014","12","Africa"
"Costa Rica","costa-rica","7.00","2019","13","Central America"
"Lesotho","lesotho","7.00","2018","14","Africa"
"Bhutan","bhutan","6.90","2018","15","South Asia"
"Oman","oman","6.80","2017","16","Middle East"
"Timor-Leste","timor-leste","6.80","2018","17","East Asia/Southeast Asia"
"Tunisia","tunisia","6.60","2015","18","Africa"
"South Africa","south-africa","6.50","2019","19","Africa"
"Belgium","belgium","6.40","2017","20","Europe"
"Finland","finland","6.40","2017","21","Europe"
"Brazil","brazil","6.30","2017","22","South America"
"New Zealand","new-zealand","6.30","2017","23","Australia - Oceania"
"Honduras","honduras","6.10","2018","24","Central America"
"Israel","israel","6.10","2017","25","Middle East"
"Puerto Rico","puerto-rico","6.10","2014","26","Central America"
"Kyrgyzstan","kyrgyzstan","6.00","2017","27","Central Asia"
"Zimbabwe","zimbabwe","5.90","2018","28","Africa"
"Cyprus","cyprus","5.80","2017","29","Europe"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","5.70","2018","30","Central America"
"Dominica","dominica","5.60","2019","31","Central America"
"Argentina","argentina","5.50","2017","32","South America"
"Aruba","aruba","5.50","2016","33","Central America"
"France","france","5.50","2017","34","Europe"
"Guyana","guyana","5.50","2018","35","South America"
"Mozambique","mozambique","5.50","2018","36","Africa"
"Austria","austria","5.40","2017","37","Europe"
"Burkina Faso","burkina-faso","5.40","2018","38","Africa"
"Chile","chile","5.40","2017","39","South America"
"Moldova","moldova","5.40","2018","40","Europe"
"Togo","togo","5.40","2018","41","Africa"
"Ukraine","ukraine","5.40","2017","42","Europe"
"United Kingdom","united-kingdom","5.40","2017","43","Europe"
"Canada","canada","5.30","2011","44","North America"
"Gaza Strip","gaza-strip","5.30","2017","45","Middle East"
