name,slug,value,date_of_information,ranking,region
"China","china","5,883,000,000,000","2016 est.","1","East Asia/Southeast Asia"
"United States","united-states","4,095,000,000,000","2016 est.","2","North America"
"India","india","1,386,000,000,000","2016 est.","3","South Asia"
"Russia","russia","1,031,000,000,000","2016 est.","4","Central Asia"
"Japan","japan","989,300,000,000","2016 est.","5","East Asia/Southeast Asia"
"Canada","canada","649,600,000,000","2016 est.","6","North America"
"Germany","germany","612,800,000,000","2016 est.","7","Europe"
"Brazil","brazil","567,900,000,000","2016 est.","8","South America"
"France","france","529,100,000,000","2016 est.","9","Europe"
"Korea, South","korea-south","526,000,000,000","2016 est.","10","East Asia/Southeast Asia"
"Saudi Arabia","saudi-arabia","324,100,000,000","2016 est.","11","Middle East"
"United Kingdom","united-kingdom","318,200,000,000","2016 est.","12","Europe"
"Mexico","mexico","302,700,000,000","2016 est.","13","North America"
"Italy","italy","275,300,000,000","2016 est.","14","Europe"
"Iran","iran","272,300,000,000","2016 est.","15","Middle East"
"Turkey","turkey","261,900,000,000","2016 est.","16","Middle East"
"Spain","spain","258,600,000,000","2016 est.","17","Europe"
"Taiwan","taiwan","246,100,000,000","2016 est.","18","East Asia/Southeast Asia"
"Australia","australia","243,000,000,000","2016 est.","19","Australia - Oceania"
"Indonesia","indonesia","235,400,000,000","2016 est.","20","East Asia/Southeast Asia"
"South Africa","south-africa","234,500,000,000","2016 est.","21","Africa"
"Egypt","egypt","183,500,000,000","2016 est.","22","Africa"
"Thailand","thailand","181,500,000,000","2016 est.","23","East Asia/Southeast Asia"
"Vietnam","vietnam","158,200,000,000","2016 est.","24","East Asia/Southeast Asia"
"Poland","poland","156,900,000,000","2016 est.","25","Europe"
"Ukraine","ukraine","153,600,000,000","2016 est.","26","Europe"
"Sweden","sweden","152,900,000,000","2016 est.","27","Europe"
"Malaysia","malaysia","148,300,000,000","2016 est.","28","East Asia/Southeast Asia"
"Norway","norway","147,700,000,000","2016 est.","29","Europe"
"Argentina","argentina","131,900,000,000","2016 est.","30","South America"
"United Arab Emirates","united-arab-emirates","121,800,000,000","2016 est.","31","Middle East"
"Pakistan","pakistan","109,700,000,000","2016 est.","32","South Asia"
"Netherlands","netherlands","109,300,000,000","2016 est.","33","Europe"
"Venezuela","venezuela","109,300,000,000","2016 est.","34","South America"
"Kazakhstan","kazakhstan","100,800,000,000","2016 est.","35","Central Asia"
"Philippines","philippines","86,590,000,000","2016 est.","36","East Asia/Southeast Asia"
"Belgium","belgium","79,830,000,000","2016 est.","37","Europe"
"Czechia","czechia","77,390,000,000","2016 est.","38","Europe"
"Chile","chile","76,090,000,000","2016 est.","39","South America"
"Iraq","iraq","75,450,000,000","2016 est.","40","Middle East"
"Colombia","colombia","74,920,000,000","2016 est.","41","South America"
"Algeria","algeria","66,890,000,000","2016 est.","42","Africa"
"Finland","finland","66,540,000,000","2016 est.","43","Europe"
"Kuwait","kuwait","65,950,000,000","2016 est.","44","Middle East"
"Paraguay","paraguay","63,130,000,000","2016 est.","45","South America"
"Israel","israel","63,090,000,000","2016 est.","46","Middle East"
"Romania","romania","61,780,000,000","2016 est.","47","Europe"
"Austria","austria","60,780,000,000","2016 est.","48","Europe"
"Bangladesh","bangladesh","60,510,000,000","2016 est.","49","South Asia"
"Switzerland","switzerland","59,010,000,000","2016 est.","50","Europe"
"Portugal","portugal","56,900,000,000","2016 est.","51","Europe"
"Uzbekistan","uzbekistan","55,550,000,000","2016 est.","52","Central Asia"
"Greece","greece","52,050,000,000","2016 est.","53","Europe"
"Peru","peru","50,130,000,000","2016 est.","54","South America"
"Singapore","singapore","48,660,000,000","2016 est.","55","East Asia/Southeast Asia"
"New Zealand","new-zealand","42,530,000,000","2016 est.","56","Australia - Oceania"
"Bulgaria","bulgaria","42,290,000,000","2016 est.","57","Europe"
"Qatar","qatar","39,780,000,000","2016 est.","58","Middle East"
"Serbia","serbia","36,540,000,000","2016 est.","59","Europe"
"Hong Kong","hong-kong","35,970,000,000","2016 est.","60","East Asia/Southeast Asia"
"Libya","libya","34,240,000,000","2016 est.","61","Africa"
"Oman","oman","32,160,000,000","2016 est.","62","Middle East"
"Belarus","belarus","31,580,000,000","2016 est.","63","Europe"
"Hungary","hungary","30,220,000,000","2016 est.","64","Europe"
"Denmark","denmark","29,840,000,000","2016 est.","65","Europe"
"Laos","laos","29,740,000,000","2016 est.","66","East Asia/Southeast Asia"
"Nigeria","nigeria","29,350,000,000","2016 est.","67","Africa"
"Morocco","morocco","28,750,000,000","2016 est.","68","Africa"
"Ireland","ireland","28,530,000,000","2016 est.","69","Europe"
"Bahrain","bahrain","26,810,000,000","2016 est.","70","Middle East"
"Ecuador","ecuador","26,500,000,000","2016 est.","71","South America"
"Slovakia","slovakia","25,320,000,000","2016 est.","72","Europe"
"Azerbaijan","azerbaijan","23,570,000,000","2016 est.","73","Middle East"
"Turkmenistan","turkmenistan","21,180,000,000","2016 est.","74","Central Asia"
"Puerto Rico","puerto-rico","20,950,000,000","2016 est.","75","Central America"
"Cuba","cuba","19,280,000,000","2016 est.","76","Central America"
"Jordan","jordan","18,600,000,000","2016 est.","77","Middle East"
"Tunisia","tunisia","18,440,000,000","2016 est.","78","Africa"
"Mozambique","mozambique","18,390,000,000","2016 est.","79","Africa"
"Iceland","iceland","18,170,000,000","2016 est.","80","Europe"
"Dominican Republic","dominican-republic","18,030,000,000","2016 est.","81","Central America"
"Lebanon","lebanon","17,590,000,000","2016 est.","82","Middle East"
"Burma","burma","17,320,000,000","2016 est.","83","East Asia/Southeast Asia"
"Syria","syria","17,070,000,000","2016 est.","84","Middle East"
"Tajikistan","tajikistan","17,030,000,000","2016 est.","85","Central Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","16,990,000,000","2016 est.","86","Europe"
"Korea, North","korea-north","16,570,000,000","2016 est.","87","East Asia/Southeast Asia"
"Slovenia","slovenia","15,460,000,000","2016 est.","88","Europe"
"Sudan","sudan","13,990,000,000","2016 est.","89","Africa"
"Sri Lanka","sri-lanka","13,660,000,000","2016 est.","90","South Asia"
"Georgia","georgia","13,240,000,000","2016 est.","91","Middle East"
"Uruguay","uruguay","13,130,000,000","2016 est.","92","South America"
"Kyrgyzstan","kyrgyzstan","13,040,000,000","2016 est.","93","Central Asia"
"Ghana","ghana","12,520,000,000","2016 est.","94","Africa"
"Croatia","croatia","12,200,000,000","2016 est.","95","Europe"
"Guatemala","guatemala","12,120,000,000","2016 est.","96","Central America"
"Estonia","estonia","11,550,000,000","2016 est.","97","Europe"
"Zambia","zambia","11,550,000,000","2016 est.","98","Africa"
"Ethiopia","ethiopia","11,150,000,000","2016 est.","99","Africa"
"Costa Rica","costa-rica","10,790,000,000","2016 est.","100","Central America"
"Panama","panama","10,600,000,000","2016 est.","101","Central America"
"Angola","angola","10,200,000,000","2016 est.","102","Africa"
"Trinidad and Tobago","trinidad-and-tobago","10,070,000,000","2016 est.","103","Central America"
"Cote d'Ivoire","cote-divoire","9,730,000,000","2016 est.","104","Africa"
"Kenya","kenya","9,634,000,000","2016 est.","105","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","9,046,000,000","2016 est.","106","Africa"
"Bolivia","bolivia","8,951,000,000","2016 est.","107","South America"
"Honduras","honduras","8,501,000,000","2016 est.","108","Central America"
"Cameroon","cameroon","8,108,000,000","2016 est.","109","Africa"
"Bhutan","bhutan","7,883,000,000","2016 est.","110","South Asia"
"Albania","albania","7,138,000,000","2016 est.","111","Europe"
"Armenia","armenia","6,951,000,000","2016 est.","112","Middle East"
"Zimbabwe","zimbabwe","6,800,000,000","2016 est.","113","Africa"
"Tanzania","tanzania","6,699,000,000","2016 est.","114","Africa"
"Latvia","latvia","6,241,000,000","2016 est.","115","Europe"
"El Salvador","el-salvador","5,830,000,000","2016 est.","116","Central America"
"Kosovo","kosovo","5,638,000,000","2016 est.","117","Europe"
"Moldova","moldova","5,490,000,000","2016 est.","118","Europe"
"Mongolia","mongolia","5,339,000,000","2016 est.","120","East Asia/Southeast Asia"
"Cambodia","cambodia","5,210,000,000","2016 est.","121","East Asia/Southeast Asia"
"Yemen","yemen","4,784,000,000","2016 est.","122","Middle East"
"Cyprus","cyprus","4,618,000,000","2016 est.","123","Europe"
"Nicaragua","nicaragua","4,454,000,000","2016 est.","124","Central America"
"Nepal","nepal","4,244,000,000","2016 est.","125","South Asia"
"Senegal","senegal","4,167,000,000","2016 est.","126","Africa"
"Brunei","brunei","4,014,000,000","2016 est.","127","East Asia/Southeast Asia"
"Jamaica","jamaica","4,007,000,000","2016 est.","128","Central America"
"Papua New Guinea","papua-new-guinea","3,481,000,000","2016 est.","129","East Asia/Southeast Asia"
"Uganda","uganda","3,463,000,000","2016 est.","130","Africa"
"Lithuania","lithuania","3,131,000,000","2016 est.","131","Europe"
