name,slug,value,date_of_information,ranking,region
"Germany","germany","78,860,000,000","2016 est.","1","Europe"
"Canada","canada","73,350,000,000","2016 est.","2","North America"
"France","france","61,410,000,000","2016 est.","3","Europe"
"Paraguay","paraguay","41,130,000,000","2015 est.","4","South America"
"Switzerland","switzerland","30,170,000,000","2016 est.","5","Europe"
"Sweden","sweden","26,020,000,000","2016 est.","6","Europe"
"Czechia","czechia","24,790,000,000","2016 est.","7","Europe"
"Netherlands","netherlands","19,340,000,000","2016 est.","8","Europe"
"Austria","austria","19,210,000,000","2016 est.","9","Europe"
"China","china","18,910,000,000","2016 est.","10","East Asia/Southeast Asia"
"South Africa","south-africa","16,550,000,000","2016 est.","11","Africa"
"Norway","norway","15,530,000,000","2016 est.","12","Europe"
"Spain","spain","14,180,000,000","2016 est.","13","Europe"
"Russia","russia","13,130,000,000","2016 est.","14","Central Asia"
"Uzbekistan","uzbekistan","13,000,000,000","2014 est.","15","Central Asia"
"Mozambique","mozambique","12,880,000,000","2015 est.","16","Africa"
"Poland","poland","12,020,000,000","2016","17","Europe"
"Romania","romania","11,220,000,000","2015 est.","18","Europe"
"Slovakia","slovakia","10,600,000,000","2016 est.","19","Europe"
"Denmark","denmark","9,919,000,000","2016 est.","20","Europe"
"Portugal","portugal","9,701,000,000","2016 est.","21","Europe"
"United States","united-states","9,695,000,000","2016 est.","22","North America"
"Bulgaria","bulgaria","9,187,000,000","2017 est.","23","Europe"
"Laos","laos","8,469,000,000","2015 est.","24","East Asia/Southeast Asia"
"Belgium","belgium","8,465,000,000","2016 est.","25","Europe"
"Slovenia","slovenia","7,972,000,000","2017 est.","26","Europe"
"Mexico","mexico","7,308,000,000","2016 est.","27","North America"
"Iran","iran","6,822,000,000","2015 est.","28","Middle East"
"Serbia","serbia","6,428,000,000","2016 est.","29","Europe"
"Italy","italy","6,155,000,000","2016 est.","30","Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","6,007,000,000","2015 est.","31","Europe"
"Bhutan","bhutan","5,763,000,000","2016 est.","32","South Asia"
"Estonia","estonia","5,613,000,000","2016 est.","33","Europe"
"Hungary","hungary","5,240,000,000","2016 est.","34","Europe"
"Israel","israel","5,200,000,000","2016 est.","35","Middle East"
"India","india","5,150,000,000","2015 est.","36","South Asia"
"Kazakhstan","kazakhstan","5,100,000,000","2017 est.","37","Central Asia"
"Latvia","latvia","3,795,000,000","2016 est.","38","Europe"
"Ukraine","ukraine","3,591,000,000","2015 est.","39","Europe"
"Belarus","belarus","3,482,000,000","2015 est.","40","Europe"
"Turkmenistan","turkmenistan","3,201,000,000","2015 est.","41","Central Asia"
"Croatia","croatia","3,200,000,000","2016 est.","42","Europe"
"Finland","finland","3,159,000,000","2016 est.","43","Europe"
"Thailand","thailand","2,267,000,000","2015 est.","44","East Asia/Southeast Asia"
"United Kingdom","united-kingdom","2,153,000,000","2016 est.","45","Europe"
"Albania","albania","1,869,000,000","2016 est.","46","Europe"
"Guatemala","guatemala","1,858,000,000","2017 est.","47","Central America"
"Ireland","ireland","1,583,000,000","2016 est.","48","Europe"
"Turkey","turkey","1,442,000,000","2016 est.","49","Middle East"
"Armenia","armenia","1,424,000,000","2015 est.","50","Middle East"
"Luxembourg","luxembourg","1,420,000,000","2016 est.","51","Europe"
"Tajikistan","tajikistan","1,400,000,000","2015 est.","52","Central Asia"
"Uruguay","uruguay","1,321,000,000","2015 est.","53","South America"
"Zimbabwe","zimbabwe","1,239,000,000","2015 est.","54","Africa"
"Hong Kong","hong-kong","1,205,000,000","2016 est.","55","East Asia/Southeast Asia"
"Zambia","zambia","1,176,000,000","2015 est.","56","Africa"
"Egypt","egypt","1,158,000,000","2015 est.","57","Africa"
"Greece","greece","1,037,000,000","2016 est.","58","Europe"
"Montenegro","montenegro","914,000,000","2016 est.","59","Europe"
"Kosovo","kosovo","885,700,000","2017 est.","60","Europe"
"Cote d'Ivoire","cote-divoire","872,000,000","2015 est.","61","Africa"
"Lithuania","lithuania","730,000,000","2015 est.","62","Europe"
"Vietnam","vietnam","713,000,000","2017 est.","63","East Asia/Southeast Asia"
"Costa Rica","costa-rica","643,000,000","2015 est.","64","Central America"
"Algeria","algeria","641,000,000","2015 est.","65","Africa"
"Georgia","georgia","560,000,000","2016 est.","66","Middle East"
"Honduras","honduras","536,000,000","2015 est.","67","Central America"
"Tunisia","tunisia","500,000,000","2015 est.","68","Africa"
"Colombia","colombia","460,000,000","2015 est.","69","South America"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","422,000,000","2015 est.","70","Africa"
"Azerbaijan","azerbaijan","265,000,000","2015 est.","71","Middle East"
"Syria","syria","262,000,000","2015 est.","72","Middle East"
"Brazil","brazil","219,000,000","2015 est.","73","South America"
"Bahrain","bahrain","213,000,000","2015 est.","74","Middle East"
"Ecuador","ecuador","211,000,000","2015 est.","75","South America"
"Ghana","ghana","187,000,000","2016 est.","76","Africa"
"Kyrgyzstan","kyrgyzstan","184,000,000","2015 est.","77","Central Asia"
"Ethiopia","ethiopia","166,000,000","2015 est.","78","Africa"
"Morocco","morocco","165,000,000","2015 est.","79","Africa"
"Panama","panama","139,000,000","2015 est.","80","Central America"
"Uganda","uganda","121,000,000","2015 est.","81","Africa"
"El Salvador","el-salvador","89,600,000","2017 est.","82","Central America"
"Namibia","namibia","88,000,000","2015 est.","83","Africa"
"Argentina","argentina","55,000,000","2015 est.","85","South America"
"Peru","peru","55,000,000","2015 est.","86","South America"
"Mongolia","mongolia","51,000,000","2015 est.","87","East Asia/Southeast Asia"
"Jordan","jordan","50,000,000","2015 est.","88","Middle East"
"Kenya","kenya","39,100,000","2016 est.","89","Africa"
"Congo, Republic of the","congo-republic-of-the","22,000,000","2015 est.","90","Africa"
"Nicaragua","nicaragua","17,870,000","2016 est.","91","Central America"
"Rwanda","rwanda","4,000,000","2015 est.","92","Africa"
"Malaysia","malaysia","3,000,000","2015 est.","93","East Asia/Southeast Asia"
"Nepal","nepal","2,690,000","FY 2017 est.","94","South Asia"
"Andorra","andorra","6,000","2015 est.","95","Europe"
"Afghanistan","afghanistan","0","2016 est.","96","South Asia"
"American Samoa","american-samoa","0","2016 est.","97","Australia - Oceania"
"Angola","angola","0","2016 est.","98","Africa"
"Antigua and Barbuda","antigua-and-barbuda","0","2016 est.","99","Central America"
"Aruba","aruba","0","2016 est.","100","Central America"
"Australia","australia","0","2016 est.","101","Australia - Oceania"
"Bahamas, The","bahamas-the","0","2016 est.","102","Central America"
"Bangladesh","bangladesh","0","2016 est.","103","South Asia"
"Barbados","barbados","0","2017 est.","104","Central America"
"Belize","belize","0","2016 est.","105","Central America"
"Benin","benin","0","2016 est.","106","Africa"
"Bermuda","bermuda","0","2016 est.","107","North America"
"Bolivia","bolivia","0","2017 est.","108","South America"
"Botswana","botswana","0","2016 est.","109","Africa"
"British Virgin Islands","british-virgin-islands","0","2016 est.","110","Central America"
"Brunei","brunei","0","2016 est.","111","East Asia/Southeast Asia"
"Burkina Faso","burkina-faso","0","2016 est.","112","Africa"
"Burma","burma","0","2016 est.","113","East Asia/Southeast Asia"
"Burundi","burundi","0","2016 est.","114","Africa"
"Cabo Verde","cabo-verde","0","2016 est.","115","Africa"
"Cambodia","cambodia","0","2016 est.","116","East Asia/Southeast Asia"
"Cameroon","cameroon","0","2016 est.","117","Africa"
"Cayman Islands","cayman-islands","0","2016 est.","118","Central America"
"Central African Republic","central-african-republic","0","2016 est.","119","Africa"
"Chad","chad","0","2016 est.","120","Africa"
"Chile","chile","0","2016 est.","121","South America"
"Comoros","comoros","0","2016 est.","122","Africa"
"Cook Islands","cook-islands","0","2016 est.","123","Australia - Oceania"
"Cuba","cuba","0","2016 est.","124","Central America"
"Curacao","curacao","0","2009 est.","125","Central America"
"Cyprus","cyprus","0","2016 est.","126","Europe"
"Djibouti","djibouti","0","2016 est.","127","Africa"
"Dominica","dominica","0","2016 est.","128","Central America"
"Dominican Republic","dominican-republic","0","2016 est.","129","Central America"
"Equatorial Guinea","equatorial-guinea","0","2016 est.","130","Africa"
"Eritrea","eritrea","0","2016 est.","131","Africa"
"Eswatini","eswatini","0","2016","132","Africa"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","0","2016 est.","133","South America"
"Faroe Islands","faroe-islands","0","2016 est.","134","Europe"
"Fiji","fiji","0","2016 est.","135","Australia - Oceania"
"French Polynesia","french-polynesia","0","2016 est.","136","Australia - Oceania"
"Gabon","gabon","0","2016 est.","137","Africa"
"Gambia, The","gambia-the","0","2016 est.","138","Africa"
"Gaza Strip","gaza-strip","0","2011 est.","139","Middle East"
"Gibraltar","gibraltar","0","2016 est.","140","Europe"
"Greenland","greenland","0","2016 est.","141","North America"
"Grenada","grenada","0","2016 est.","142","Central America"
