name,slug,value,date_of_information,ranking,region
"Bahamas, The","bahamas-the","100.0","2016 est.","1","Central America"
"Bahrain","bahrain","100.0","2016 est.","2","Middle East"
"Bermuda","bermuda","100.0","2016 est.","3","North America"
"Botswana","botswana","100.0","2016 est.","4","Africa"
"Brunei","brunei","100.0","2016 est.","5","East Asia/Southeast Asia"
"Cayman Islands","cayman-islands","100.0","2016 est.","6","Central America"
"Djibouti","djibouti","100.0","2016 est.","7","Africa"
"Gibraltar","gibraltar","100.0","2016 est.","8","Europe"
"Hong Kong","hong-kong","100.0","2016 est.","9","East Asia/Southeast Asia"
"Kuwait","kuwait","100.0","2016 est.","10","Middle East"
"Libya","libya","100.0","2016 est.","11","Africa"
"Macau","macau","100.0","2016 est.","12","East Asia/Southeast Asia"
"Montserrat","montserrat","100.0","2016 est.","13","Central America"
"Oman","oman","100.0","2016 est.","14","Middle East"
"Qatar","qatar","100.0","2016 est.","15","Middle East"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","100.0","2016 est.","16","Africa"
"Saudi Arabia","saudi-arabia","100.0","2016 est.","17","Middle East"
"South Sudan","south-sudan","100.0","2016 est.","18","Africa"
"Timor-Leste","timor-leste","100.0","2018 est.","19","East Asia/Southeast Asia"
"Trinidad and Tobago","trinidad-and-tobago","100.0","2016 est.","20","Central America"
"Turkmenistan","turkmenistan","100.0","2016 est.","21","Central Asia"
"Turks and Caicos Islands","turks-and-caicos-islands","100.0","2016 est.","22","Central America"
"Eritrea","eritrea","99.0","2016 est.","23","Africa"
"Guinea-Bissau","guinea-bissau","99.0","2016 est.","24","Africa"
"Saint Lucia","saint-lucia","99.0","2016 est.","25","Central America"
"United Arab Emirates","united-arab-emirates","99.0","2016 est.","26","Middle East"
"American Samoa","american-samoa","98.0","2016 est.","27","Australia - Oceania"
"Chad","chad","98.0","2016 est.","28","Africa"
"Singapore","singapore","98.0","2016 est.","29","East Asia/Southeast Asia"
"Virgin Islands","virgin-islands","98.0","2016 est.","30","Central America"
"Antigua and Barbuda","antigua-and-barbuda","97.0","2016 est.","31","Central America"
"Bangladesh","bangladesh","97.0","2016 est.","32","South Asia"
"British Virgin Islands","british-virgin-islands","97.0","2016 est.","33","Central America"
"Gambia, The","gambia-the","97.0","2016 est.","34","Africa"
"Kosovo","kosovo","97.0","2016 est.","35","Europe"
"Algeria","algeria","96.0","2016 est.","36","Africa"
