name,slug,value,date_of_information,ranking,region
"Lesotho","lesotho","100.0","2017 est.","1","Africa"
"Bhutan","bhutan","99.0","2017 est.","2","South Asia"
"Paraguay","paraguay","99.0","2017 est.","3","South America"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","98.0","2017 est.","4","Africa"
"Albania","albania","95.0","2017 est.","5","Europe"
"Tajikistan","tajikistan","94.0","2017 est.","6","Central Asia"
"Malawi","malawi","93.0","2017 est.","7","Africa"
"Norway","norway","93.0","2017 est.","8","Europe"
"Zambia","zambia","93.0","2017 est.","9","Africa"
"Nepal","nepal","92.0","2017 est.","10","South Asia"
"Ethiopia","ethiopia","86.0","2017 est.","11","Africa"
"Mozambique","mozambique","83.0","2017 est.","12","Africa"
"Kyrgyzstan","kyrgyzstan","76.0","2017 est.","13","Central Asia"
"Burundi","burundi","73.0","2017 est.","14","Africa"
"Laos","laos","72.0","2017 est.","15","East Asia/Southeast Asia"
"Iceland","iceland","71.0","2017 est.","16","Europe"
"Colombia","colombia","69.0","2017 est.","17","South America"
"Montenegro","montenegro","69.0","2017 est.","18","Europe"
"Uganda","uganda","68.0","2017 est.","19","Africa"
"Guinea","guinea","67.0","2017 est.","20","Africa"
"Switzerland","switzerland","67.0","2017 est.","21","Europe"
"Georgia","georgia","65.0","2017 est.","22","Middle East"
"Angola","angola","64.0","2017 est.","23","Africa"
"Brazil","brazil","64.0","2017 est.","24","South America"
"Costa Rica","costa-rica","64.0","2017 est.","25","Central America"
"Namibia","namibia","64.0","2017 est.","26","Africa"
"Cambodia","cambodia","63.0","2017 est.","27","East Asia/Southeast Asia"
"Burma","burma","61.0","2017 est.","28","East Asia/Southeast Asia"
"New Zealand","new-zealand","58.0","2017 est.","29","Australia - Oceania"
"Canada","canada","56.0","2017 est.","30","North America"
"Korea, North","korea-north","55.0","2017 est.","31","East Asia/Southeast Asia"
"Ecuador","ecuador","54.0","2017 est.","32","South America"
"Latvia","latvia","53.0","2017 est.","33","Europe"
"Afghanistan","afghanistan","52.0","2017 est.","34","South Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","51.0","2017 est.","35","Europe"
"Panama","panama","51.0","2017 est.","36","Central America"
"Rwanda","rwanda","51.0","2017 est.","37","Africa"
"Sierra Leone","sierra-leone","51.0","2017 est.","38","Africa"
"Sudan","sudan","51.0","2017 est.","39","Africa"
"Central African Republic","central-african-republic","50.0","2017 est.","40","Africa"
"Gabon","gabon","49.0","2017 est.","41","Africa"
"Greenland","greenland","49.0","2017 est.","42","North America"
"Venezuela","venezuela","49.0","2017 est.","43","South America"
"Cameroon","cameroon","47.0","2017 est.","44","Africa"
"Austria","austria","43.0","2017 est.","45","Europe"
"Liberia","liberia","43.0","2017 est.","46","Africa"
"Vietnam","vietnam","43.0","2017 est.","47","East Asia/Southeast Asia"
"Ghana","ghana","42.0","2017 est.","48","Africa"
"Sri Lanka","sri-lanka","42.0","2017 est.","49","South Asia"
"Sweden","sweden","42.0","2017 est.","50","Europe"
"Cote d'Ivoire","cote-divoire","40.0","2017 est.","51","Africa"
"Croatia","croatia","40.0","2017 est.","52","Europe"
"Tanzania","tanzania","40.0","2017 est.","53","Africa"
"Equatorial Guinea","equatorial-guinea","38.0","2017 est.","54","Africa"
"Fiji","fiji","38.0","2017 est.","55","Australia - Oceania"
"Suriname","suriname","38.0","2017 est.","56","South America"
"Zimbabwe","zimbabwe","37.0","2017 est.","58","Africa"
"Congo, Republic of the","congo-republic-of-the","36.0","2017 est.","59","Africa"
"Peru","peru","35.0","2017 est.","60","South America"
"Serbia","serbia","35.0","2017 est.","61","Europe"
"Kenya","kenya","34.0","2017 est.","62","Africa"
"Slovenia","slovenia","34.0","2017 est.","63","Europe"
"Turkey","turkey","33.0","2017 est.","64","Middle East"
"Armenia","armenia","32.0","2017 est.","65","Middle East"
"Faroe Islands","faroe-islands","31.0","2017 est.","66","Europe"
"Guatemala","guatemala","31.0","2017 est.","67","Central America"
"Mali","mali","31.0","2017 est.","68","Africa"
"Papua New Guinea","papua-new-guinea","30.0","2017 est.","69","East Asia/Southeast Asia"
"Romania","romania","29.0","2017 est.","70","Europe"
"Togo","togo","29.0","2017 est.","71","Africa"
"Uruguay","uruguay","29.0","2017 est.","72","South America"
"Belize","belize","27.0","2017 est.","73","Central America"
"Pakistan","pakistan","27.0","2017 est.","74","South Asia"
"Chile","chile","26.0","2017 est.","75","South America"
"Dominica","dominica","25.0","2017 est.","76","Central America"
"Honduras","honduras","25.0","2017 est.","77","Central America"
"Portugal","portugal","25.0","2017 est.","78","Europe"
"Argentina","argentina","24.0","2017 est.","79","South America"
"Madagascar","madagascar","24.0","2017 est.","80","Africa"
"Slovakia","slovakia","24.0","2017 est.","81","Europe"
"Andorra","andorra","23.0","2010 est.","82","Europe"
"Bulgaria","bulgaria","23.0","2017 est.","83","Europe"
"El Salvador","el-salvador","23.0","2017 est.","84","Central America"
"Samoa","samoa","23.0","2017 est.","85","Australia - Oceania"
"Russia","russia","21.0","2017 est.","86","Central Asia"
"Eswatini","eswatini","20.0","2017 est.","87","Africa"
"Finland","finland","20.0","2017 est.","88","Europe"
"French Polynesia","french-polynesia","19.0","2017 est.","89","Australia - Oceania"
