name,slug,value,date_of_information,ranking,region
"France","france","50.0","2017 est.","1","Europe"
"Belgium","belgium","28.0","2017 est.","2","Europe"
"Slovakia","slovakia","27.0","2017 est.","3","Europe"
"Ukraine","ukraine","23.0","2017 est.","4","Europe"
"Hungary","hungary","22.0","2017 est.","5","Europe"
"Sweden","sweden","22.0","2017 est.","6","Europe"
"Korea, South","korea-south","21.0","2017 est.","7","East Asia/Southeast Asia"
"Bulgaria","bulgaria","20.0","2017 est.","8","Europe"
"Slovenia","slovenia","20.0","2017 est.","9","Europe"
"Czechia","czechia","19.0","2017 est.","10","Europe"
"Switzerland","switzerland","18.0","2017 est.","11","Europe"
"Finland","finland","17.0","2017 est.","12","Europe"
"Russia","russia","11.0","2017 est.","13","Central Asia"
"Taiwan","taiwan","11.0","2017 est.","14","East Asia/Southeast Asia"
"Armenia","armenia","9.0","2017 est.","15","Middle East"
"Canada","canada","9.0","2017 est.","16","North America"
"United Kingdom","united-kingdom","9.0","2017 est.","17","Europe"
"United States","united-states","9.0","2017 est.","18","North America"
"Spain","spain","7.0","2017 est.","19","Europe"
"Romania","romania","6.0","2017 est.","20","Europe"
"Germany","germany","5.0","2017 est.","21","Europe"
"Pakistan","pakistan","5.0","2017 est.","22","South Asia"
"Argentina","argentina","4.0","2017 est.","23","South America"
"South Africa","south-africa","4.0","2017 est.","24","Africa"
"China","china","2.0","2017 est.","25","East Asia/Southeast Asia"
"India","india","2.0","2017 est.","26","South Asia"
"Mexico","mexico","2.0","2017 est.","27","North America"
"Brazil","brazil","1.0","2017 est.","28","South America"
"Iran","iran","1.0","2017 est.","29","Middle East"
"Japan","japan","1.0","2017 est.","30","East Asia/Southeast Asia"
"Netherlands","netherlands","1.0","2017 est.","31","Europe"
"Afghanistan","afghanistan","0.0","2017 est.","32","South Asia"
"Albania","albania","0.0","2017 est.","33","Europe"
"Algeria","algeria","0.0","2017 est.","34","Africa"
"American Samoa","american-samoa","0.0","2017 est.","35","Australia - Oceania"
"Andorra","andorra","0.0","2016 est.","36","Europe"
"Angola","angola","0.0","2017 est.","37","Africa"
"Antigua and Barbuda","antigua-and-barbuda","0.0","2017 est.","38","Central America"
"Aruba","aruba","0.0","2017 est.","39","Central America"
