name,slug,value,date_of_information,ranking,region
"Luxembourg","luxembourg","67.0","2017 est.","1","Europe"
"Denmark","denmark","54.0","2017 est.","2","Europe"
"Germany","germany","52.0","2017 est.","3","Europe"
"Uruguay","uruguay","42.0","2017 est.","4","South America"
"Eswatini","eswatini","41.0","2017 est.","5","Africa"
"United Kingdom","united-kingdom","39.0","2017 est.","6","Europe"
"Belgium","belgium","36.0","2017 est.","7","Europe"
"Nicaragua","nicaragua","35.0","2017 est.","8","Central America"
"Portugal","portugal","35.0","2017 est.","9","Europe"
"Honduras","honduras","34.0","2017 est.","10","Central America"
"Ireland","ireland","33.0","2017 est.","11","Europe"
"Kenya","kenya","33.0","2017 est.","12","Africa"
"Italy","italy","32.0","2017 est.","13","Europe"
"Spain","spain","32.0","2017 est.","14","Europe"
"Sweden","sweden","32.0","2017 est.","15","Europe"
"Austria","austria","31.0","2017 est.","16","Europe"
"El Salvador","el-salvador","29.0","2017 est.","17","Central America"
"Greece","greece","29.0","2017 est.","18","Europe"
"Samoa","samoa","29.0","2017 est.","19","Australia - Oceania"
"Vanuatu","vanuatu","29.0","2017 est.","20","Australia - Oceania"
"Estonia","estonia","28.0","2017 est.","21","Europe"
"Guatemala","guatemala","28.0","2017 est.","22","Central America"
"Fiji","fiji","27.0","2017 est.","23","Australia - Oceania"
"Kiribati","kiribati","27.0","2017 est.","24","Australia - Oceania"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","26.0","2017 est.","25","South America"
"Sierra Leone","sierra-leone","26.0","2017 est.","26","Africa"
"Tonga","tonga","26.0","2017 est.","27","Australia - Oceania"
"Iceland","iceland","25.0","2017 est.","28","Europe"
"Finland","finland","23.0","2017 est.","29","Europe"
"Lithuania","lithuania","23.0","2017 est.","30","Europe"
"Netherlands","netherlands","23.0","2017 est.","31","Europe"
"Belize","belize","22.0","2017 est.","32","Central America"
"West Bank","west-bank","22.0","2017 est.","33","Middle East"
"Cabo Verde","cabo-verde","21.0","2017 est.","34","Africa"
"Cook Islands","cook-islands","21.0","2017 est.","35","Australia - Oceania"
"Yemen","yemen","21.0","2017 est.","36","Middle East"
"Japan","japan","20.0","2017 est.","37","East Asia/Southeast Asia"
"Mauritania","mauritania","20.0","2017 est.","38","Africa"
"New Zealand","new-zealand","20.0","2017 est.","39","Australia - Oceania"
"Bulgaria","bulgaria","19.0","2017 est.","40","Europe"
"France","france","19.0","2017 est.","41","Europe"
"Malta","malta","19.0","2017 est.","42","Europe"
"Poland","poland","19.0","2017 est.","43","Europe"
"Romania","romania","19.0","2017 est.","44","Europe"
"Brazil","brazil","18.0","2017 est.","45","South America"
"China","china","18.0","2017 est.","46","East Asia/Southeast Asia"
"Costa Rica","costa-rica","18.0","2017 est.","47","Central America"
"Australia","australia","17.0","2017 est.","48","Australia - Oceania"
"Croatia","croatia","16.0","2017 est.","49","Europe"
"Czechia","czechia","16.0","2017 est.","50","Europe"
"Faroe Islands","faroe-islands","16.0","2017 est.","51","Europe"
"India","india","16.0","2017 est.","52","South Asia"
"Philippines","philippines","16.0","2017 est.","53","East Asia/Southeast Asia"
"Thailand","thailand","16.0","2017 est.","54","East Asia/Southeast Asia"
"Andorra","andorra","15.0","2010 est.","55","Europe"
"Chile","chile","15.0","2017 est.","56","South America"
"Cyprus","cyprus","15.0","2017 est.","57","Europe"
"Jamaica","jamaica","15.0","2017 est.","58","Central America"
"Morocco","morocco","15.0","2017 est.","59","Africa"
"Burundi","burundi","14.0","2017 est.","60","Africa"
"Mauritius","mauritius","14.0","2017 est.","61","Africa"
"Nauru","nauru","14.0","2017 est.","62","Australia - Oceania"
"Turkey","turkey","14.0","2017 est.","63","Middle East"
"United States","united-states","14.0","2017 est.","64","North America"
"Aruba","aruba","13.0","2017 est.","65","Central America"
"Hungary","hungary","13.0","2017 est.","66","Europe"
"Niue","niue","13.0","2017 est.","67","Australia - Oceania"
"Panama","panama","13.0","2017 est.","68","Central America"
"Slovakia","slovakia","13.0","2017 est.","69","Europe"
"Switzerland","switzerland","13.0","2017 est.","70","Europe"
"Burkina Faso","burkina-faso","12.0","2017 est.","71","Africa"
"Canada","canada","12.0","2017 est.","72","North America"
"Jordan","jordan","12.0","2017 est.","73","Middle East"
"Uganda","uganda","12.0","2017 est.","74","Africa"
"Ethiopia","ethiopia","11.0","2017 est.","75","Africa"
"French Polynesia","french-polynesia","11.0","2017 est.","76","Australia - Oceania"
"Guyana","guyana","11.0","2017 est.","77","South America"
"Mongolia","mongolia","11.0","2017 est.","78","East Asia/Southeast Asia"
"Senegal","senegal","11.0","2017 est.","79","Africa"
"South Africa","south-africa","10.0","2017 est.","80","Africa"
"Mexico","mexico","9.0","2017 est.","81","North America"
"Seychelles","seychelles","9.0","2017 est.","82","Africa"
"Slovenia","slovenia","9.0","2017 est.","83","Europe"
"Cuba","cuba","8.0","2017 est.","84","Central America"
"Korea, South","korea-south","8.0","2017 est.","85","East Asia/Southeast Asia"
"Latvia","latvia","8.0","2017 est.","86","Europe"
"Montenegro","montenegro","8.0","2017 est.","87","Europe"
"Namibia","namibia","8.0","2017 est.","88","Africa"
"Solomon Islands","solomon-islands","8.0","2017 est.","89","Australia - Oceania"
"Barbados","barbados","7.0","2017 est.","90","Central America"
"Bolivia","bolivia","7.0","2017 est.","91","South America"
"Dominican Republic","dominican-republic","7.0","2017 est.","92","Central America"
"Pakistan","pakistan","7.0","2017 est.","93","South Asia"
"Papua New Guinea","papua-new-guinea","7.0","2017 est.","94","East Asia/Southeast Asia"
"Rwanda","rwanda","7.0","2017 est.","95","Africa"
"Somalia","somalia","7.0","2017 est.","96","Africa"
"Guam","guam","6.0","2017 est.","97","Australia - Oceania"
"Indonesia","indonesia","6.0","2017 est.","98","East Asia/Southeast Asia"
"Malawi","malawi","6.0","2017 est.","99","Africa"
"New Caledonia","new-caledonia","6.0","2017 est.","100","Australia - Oceania"
"Saint Kitts and Nevis","saint-kitts-and-nevis","6.0","2017 est.","101","Central America"
"Sri Lanka","sri-lanka","6.0","2017 est.","102","South Asia"
"Sudan","sudan","6.0","2017 est.","103","Africa"
"Taiwan","taiwan","6.0","2017 est.","104","East Asia/Southeast Asia"
"Tanzania","tanzania","6.0","2017 est.","105","Africa"
"Israel","israel","5.0","2017 est.","106","Middle East"
"Niger","niger","5.0","2017 est.","107","Africa"
"Tunisia","tunisia","5.0","2017 est.","108","Africa"
"Zimbabwe","zimbabwe","5.0","2017 est.","109","Africa"
"Afghanistan","afghanistan","4.0","2017 est.","110","South Asia"
"Grenada","grenada","4.0","2017 est.","111","Central America"
"Malaysia","malaysia","4.0","2017 est.","112","East Asia/Southeast Asia"
"Maldives","maldives","4.0","2017 est.","113","South Asia"
"Norway","norway","4.0","2017 est.","114","Europe"
"Peru","peru","4.0","2017 est.","115","South America"
"Puerto Rico","puerto-rico","4.0","2017 est.","116","Central America"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","4.0","2017 est.","117","North America"
"Antigua and Barbuda","antigua-and-barbuda","3.0","2017 est.","118","Central America"
"Argentina","argentina","3.0","2017 est.","119","South America"
"Belarus","belarus","3.0","2017 est.","120","Europe"
"British Virgin Islands","british-virgin-islands","3.0","2017 est.","121","Central America"
"Chad","chad","3.0","2017 est.","122","Africa"
"Dominica","dominica","3.0","2017 est.","123","Central America"
"Gambia, The","gambia-the","3.0","2017 est.","124","Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","3.0","2013 est.","126","Australia - Oceania"
"Nepal","nepal","3.0","2017 est.","127","South Asia"
"Ukraine","ukraine","3.0","2017 est.","128","Europe"
"Algeria","algeria","2.0","2017 est.","129","Africa"
"American Samoa","american-samoa","2.0","2017 est.","130","Australia - Oceania"
"Angola","angola","2.0","2017 est.","131","Africa"
"Azerbaijan","azerbaijan","2.0","2017 est.","132","Middle East"
"Bangladesh","bangladesh","2.0","2017 est.","133","South Asia"
"Benin","benin","2.0","2017 est.","134","Africa"
"Cambodia","cambodia","2.0","2017 est.","135","East Asia/Southeast Asia"
"Colombia","colombia","2.0","2017 est.","136","South America"
"Ecuador","ecuador","2.0","2017 est.","137","South America"
"Egypt","egypt","2.0","2017 est.","138","Africa"
"Equatorial Guinea","equatorial-guinea","2.0","2017 est.","139","Africa"
"Madagascar","madagascar","2.0","2017 est.","140","Africa"
"Moldova","moldova","2.0","2017 est.","141","Europe"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","2.0","2017 est.","142","Central America"
"Singapore","singapore","2.0","2017 est.","143","East Asia/Southeast Asia"
"Suriname","suriname","2.0","2017 est.","144","South America"
"Virgin Islands","virgin-islands","2.0","2017 est.","145","Central America"
"Zambia","zambia","2.0","2017 est.","146","Africa"
"Bosnia and Herzegovina","bosnia-and-herzegovina","1.0","2017 est.","147","Europe"
"Burma","burma","1.0","2017 est.","148","East Asia/Southeast Asia"
"Cameroon","cameroon","1.0","2017 est.","149","Africa"
"Central African Republic","central-african-republic","1.0","2017 est.","150","Africa"
"Eritrea","eritrea","1.0","2017 est.","151","Africa"
"Ghana","ghana","1.0","2017 est.","152","Africa"
"Guinea-Bissau","guinea-bissau","1.0","2017 est.","153","Africa"
"Kazakhstan","kazakhstan","1.0","2017 est.","154","Central Asia"
"Kosovo","kosovo","1.0","2017 est.","155","Europe"
"Laos","laos","1.0","2017 est.","156","East Asia/Southeast Asia"
"Lebanon","lebanon","1.0","2017 est.","157","Middle East"
"Lesotho","lesotho","1.0","2017 est.","158","Africa"
"Mali","mali","1.0","2017 est.","159","Africa"
"Mozambique","mozambique","1.0","2017 est.","160","Africa"
"Paraguay","paraguay","1.0","2017 est.","161","South America"
"Qatar","qatar","1.0","2017 est.","162","Middle East"
"Russia","russia","1.0","2017 est.","163","Central Asia"
"Saint Lucia","saint-lucia","1.0","2017 est.","164","Central America"
"Sao Tome and Principe","sao-tome-and-principe","1.0","2017 est.","165","Africa"
"Serbia","serbia","1.0","2017 est.","166","Europe"
"South Sudan","south-sudan","1.0","2017 est.","167","Africa"
"Togo","togo","1.0","2017 est.","168","Africa"
"United Arab Emirates","united-arab-emirates","1.0","2017 est.","169","Middle East"
"Vietnam","vietnam","1.0","2017 est.","170","East Asia/Southeast Asia"
"Albania","albania","0.0","2017 est.","171","Europe"
"Armenia","armenia","0.0","2017 est.","172","Middle East"
"Bahamas, The","bahamas-the","0.0","2017 est.","173","Central America"
"Bahrain","bahrain","0.0","2017 est.","174","Middle East"
"Bermuda","bermuda","0.0","2017 est.","175","North America"
"Bhutan","bhutan","0.0","2017 est.","176","South Asia"
"Botswana","botswana","0.0","2017 est.","177","Africa"
"Brunei","brunei","0.0","2017 est.","178","East Asia/Southeast Asia"
"Cayman Islands","cayman-islands","0.0","2017 est.","179","Central America"
"Comoros","comoros","0.0","2017 est.","180","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","0.0","2017 est.","181","Africa"
"Congo, Republic of the","congo-republic-of-the","0.0","2017 est.","182","Africa"
"Cote d'Ivoire","cote-divoire","0.0","2017 est.","183","Africa"
"Djibouti","djibouti","0.0","2017 est.","184","Africa"
"Gabon","gabon","0.0","2017 est.","185","Africa"
"Georgia","georgia","0.0","2017 est.","186","Middle East"
"Gibraltar","gibraltar","0.0","2017 est.","187","Europe"
"Greenland","greenland","0.0","2017 est.","188","North America"
"Guinea","guinea","0.0","2017 est.","189","Africa"
"Haiti","haiti","0.0","2017 est.","190","Central America"
"Hong Kong","hong-kong","0.0","2017 est.","191","East Asia/Southeast Asia"
"Iran","iran","0.0","2017 est.","192","Middle East"
"Iraq","iraq","0.0","2017 est.","193","Middle East"
"Korea, North","korea-north","0.0","2017 est.","194","East Asia/Southeast Asia"
"Kuwait","kuwait","0.0","2017 est.","195","Middle East"
"Kyrgyzstan","kyrgyzstan","0.0","2017 est.","196","Central Asia"
"Liberia","liberia","0.0","2017 est.","197","Africa"
"Libya","libya","0.0","2017 est.","198","Africa"
"Macau","macau","0.0","2017 est.","199","East Asia/Southeast Asia"
"Marshall Islands","marshall-islands","0.0","2017 est.","200","Australia - Oceania"
"Montserrat","montserrat","0.0","2017 est.","201","Central America"
"Nigeria","nigeria","0.0","2017 est.","202","Africa"
"Oman","oman","0.0","2017 est.","203","Middle East"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","0.0","2017 est.","204","Africa"
"Saudi Arabia","saudi-arabia","0.0","2017 est.","205","Middle East"
"Syria","syria","0.0","2017 est.","206","Middle East"
"Tajikistan","tajikistan","0.0","2017 est.","207","Central Asia"
"Timor-Leste","timor-leste","0.0","2018 est.","208","East Asia/Southeast Asia"
"Trinidad and Tobago","trinidad-and-tobago","0.0","2017 est.","209","Central America"
"Turkmenistan","turkmenistan","0.0","2017 est.","210","Central Asia"
"Turks and Caicos Islands","turks-and-caicos-islands","0.0","2017 est.","211","Central America"
"Uzbekistan","uzbekistan","0.0","2017 est.","212","Central Asia"
"Venezuela","venezuela","0.0","2017 est.","213","South America"
