name,slug,value,date_of_information,ranking,region
"United States","united-states","72,720,000,000","2016 est.","1","North America"
"Italy","italy","43,180,000,000","2016 est.","2","Europe"
"Brazil","brazil","41,310,000,000","2016 est.","3","South America"
"Switzerland","switzerland","34,100,000,000","2016 est.","4","Europe"
"Germany","germany","28,340,000,000","2016 est.","5","Europe"
"Austria","austria","26,370,000,000","2016 est.","6","Europe"
"Netherlands","netherlands","24,260,000,000","2016 est.","7","Europe"
"Finland","finland","22,110,000,000","2016 est.","8","Europe"
"Spain","spain","21,850,000,000","2016 est.","9","Europe"
"France","france","19,900,000,000","2016 est.","10","Europe"
"Thailand","thailand","19,830,000,000","2016 est.","11","East Asia/Southeast Asia"
"United Kingdom","united-kingdom","19,700,000,000","2016 est.","12","Europe"
"Hungary","hungary","17,950,000,000","2016 est.","13","Europe"
"Denmark","denmark","14,980,000,000","2016 est.","14","Europe"
"Belgium","belgium","14,650,000,000","2016 est.","15","Europe"
"Sweden","sweden","14,290,000,000","2016 est.","16","Europe"
"Poland","poland","14,020,000,000","2016 est.","17","Europe"
"Czechia","czechia","13,820,000,000","2016 est.","18","Europe"
"Slovakia","slovakia","13,250,000,000","2016 est.","19","Europe"
"Iraq","iraq","11,970,000,000","2016 est.","20","Middle East"
"Hong Kong","hong-kong","11,620,000,000","2016 est.","21","East Asia/Southeast Asia"
"Lithuania","lithuania","11,110,000,000","2016 est.","22","Europe"
"Uzbekistan","uzbekistan","10,840,000,000","2016 est.","23","Central Asia"
"South Africa","south-africa","10,560,000,000","2016 est.","24","Africa"
"Mozambique","mozambique","9,928,000,000","2016 est.","25","Africa"
"Argentina","argentina","9,851,000,000","2016 est.","26","South America"
"Greece","greece","9,833,000,000","2016 est.","27","Europe"
"Croatia","croatia","8,702,000,000","2016 est.","28","Europe"
"Slovenia","slovenia","8,359,000,000","2016 est.","29","Europe"
"Luxembourg","luxembourg","7,718,000,000","2016 est.","30","Europe"
"Turkey","turkey","6,330,000,000","2016 est.","31","Middle East"
"Belarus","belarus","6,319,000,000","2016 est.","32","Europe"
"China","china","6,185,000,000","2016 est.","33","East Asia/Southeast Asia"
"Norway","norway","5,741,000,000","2016 est.","34","Europe"
"India","india","5,617,000,000","2016 est.","35","South Asia"
"West Bank","west-bank","5,473,000,000","2016 est.","36","Middle East"
"Morocco","morocco","5,289,000,000","2016 est.","37","Africa"
"Serbia","serbia","5,068,000,000","2016 est.","38","Europe"
"Latvia","latvia","4,828,000,000","2016 est.","39","Europe"
