name,slug,value,date_of_information,ranking,region
"China","china","1,653,000,000.00","2016 est.","1","East Asia/Southeast Asia"
"United States","united-states","1,087,000,000.00","2016 est.","2","North America"
"India","india","367,800,000.00","2016 est.","3","South Asia"
"Japan","japan","295,900,000.00","2016 est.","4","East Asia/Southeast Asia"
"Russia","russia","244,900,000.00","2016 est.","5","Central Asia"
"Germany","germany","208,500,000.00","2016 est.","6","Europe"
"Brazil","brazil","150,800,000.00","2016 est.","7","South America"
"Canada","canada","143,500,000.00","2016 est.","8","North America"
"France","france","130,800,000.00","2016 est.","9","Europe"
"Italy","italy","114,200,000.00","2016 est.","10","Europe"
"Korea, South","korea-south","111,200,000.00","2016 est.","11","East Asia/Southeast Asia"
"Spain","spain","105,900,000.00","2016 est.","12","Europe"
"United Kingdom","united-kingdom","97,060,000.00","2016 est.","13","Europe"
"Saudi Arabia","saudi-arabia","82,940,000.00","2016 est.","14","Middle East"
"Turkey","turkey","78,500,000.00","2016 est.","15","Middle East"
"Iran","iran","77,600,000.00","2016 est.","16","Middle East"
"Mexico","mexico","72,560,000.00","2016 est.","17","North America"
"Australia","australia","65,560,000.00","2016 est.","18","Australia - Oceania"
"Indonesia","indonesia","61,430,000.00","2016 est.","19","East Asia/Southeast Asia"
"Ukraine","ukraine","57,280,000.00","2016 est.","20","Europe"
"South Africa","south-africa","50,020,000.00","2016 est.","21","Africa"
"Taiwan","taiwan","49,520,000.00","2016 est.","22","East Asia/Southeast Asia"
"Egypt","egypt","45,120,000.00","2016 est.","23","Africa"
"Thailand","thailand","44,890,000.00","2016 est.","24","East Asia/Southeast Asia"
"Vietnam","vietnam","40,770,000.00","2016 est.","25","East Asia/Southeast Asia"
"Sweden","sweden","40,290,000.00","2016 est.","26","Europe"
"Argentina","argentina","38,350,000.00","2016 est.","27","South America"
"Poland","poland","38,110,000.00","2016 est.","28","Europe"
"Netherlands","netherlands","34,170,000.00","2016 est.","29","Europe"
"Norway","norway","33,860,000.00","2016 est.","30","Europe"
"Malaysia","malaysia","33,000,000.00","2016 est.","31","East Asia/Southeast Asia"
"Venezuela","venezuela","31,000,000.00","2016 est.","32","South America"
"United Arab Emirates","united-arab-emirates","28,910,000.00","2016 est.","33","Middle East"
"Iraq","iraq","27,090,000.00","2016 est.","34","Middle East"
"Pakistan","pakistan","26,900,000.00","2016 est.","35","South Asia"
"Austria","austria","24,790,000.00","2016 est.","36","Europe"
"Chile","chile","24,530,000.00","2016 est.","37","South America"
"Romania","romania","23,940,000.00","2016 est.","38","Europe"
"Philippines","philippines","22,130,000.00","2016 est.","39","East Asia/Southeast Asia"
"Czechia","czechia","21,630,000.00","2016 est.","40","Europe"
"Belgium","belgium","21,560,000.00","2016 est.","41","Europe"
"Switzerland","switzerland","20,840,000.00","2016 est.","42","Europe"
"Portugal","portugal","20,560,000.00","2016 est.","43","Europe"
"Kazakhstan","kazakhstan","20,150,000.00","2016 est.","44","Central Asia"
"Algeria","algeria","19,270,000.00","2016 est.","45","Africa"
"Greece","greece","19,170,000.00","2016 est.","46","Europe"
"Kuwait","kuwait","18,890,000.00","2016 est.","47","Middle East"
"Israel","israel","17,590,000.00","2016 est.","48","Middle East"
"Colombia","colombia","16,890,000.00","2016 est.","49","South America"
"Finland","finland","16,270,000.00","2016 est.","50","Europe"
"Peru","peru","14,730,000.00","2016 est.","51","South America"
"Denmark","denmark","14,340,000.00","2016 est.","52","Europe"
"Singapore","singapore","13,350,000.00","2016 est.","53","East Asia/Southeast Asia"
"Uzbekistan","uzbekistan","12,960,000.00","2016 est.","54","Central Asia"
"Hong Kong","hong-kong","12,630,000.00","2016 est.","55","East Asia/Southeast Asia"
"Bangladesh","bangladesh","11,900,000.00","2016 est.","56","South Asia"
"Bulgaria","bulgaria","10,750,000.00","2016 est.","57","Europe"
"Nigeria","nigeria","10,520,000.00","2016 est.","58","Africa"
"Belarus","belarus","10,040,000.00","2016 est.","59","Europe"
"Korea, North","korea-north","10,010,000.00","2016 est.","60","East Asia/Southeast Asia"
"Ireland","ireland","9,945,000.00","2016 est.","61","Europe"
"Libya","libya","9,460,000.00","2016 est.","62","Africa"
"New Zealand","new-zealand","9,301,000.00","2016 est.","63","Australia - Oceania"
"Syria","syria","9,058,000.00","2016 est.","64","Middle East"
"Paraguay","paraguay","8,870,000.00","2016 est.","65","South America"
"Qatar","qatar","8,796,000.00","2016 est.","66","Middle East"
"Hungary","hungary","8,639,000.00","2016 est.","67","Europe"
"Morocco","morocco","8,303,000.00","2016 est.","68","Africa"
"Ecuador","ecuador","8,192,000.00","2016 est.","69","South America"
"Oman","oman","8,167,000.00","2016 est.","70","Middle East"
"Azerbaijan","azerbaijan","7,876,000.00","2016 est.","71","Middle East"
"Slovakia","slovakia","7,644,000.00","2016 est.","72","Europe"
"Serbia","serbia","7,342,000.00","2016 est.","73","Europe"
"Cuba","cuba","6,998,000.00","2016 est.","74","Central America"
"Laos","laos","6,940,000.00","2016 est.","75","East Asia/Southeast Asia"
"Puerto Rico","puerto-rico","6,294,000.00","2016 est.","76","Central America"
"Tunisia","tunisia","5,768,000.00","2016 est.","77","Africa"
"Tajikistan","tajikistan","5,508,000.00","2016 est.","78","Central Asia"
"Burma","burma","5,205,000.00","2016 est.","79","East Asia/Southeast Asia"
"Croatia","croatia","4,921,000.00","2016 est.","80","Europe"
"Uruguay","uruguay","4,808,000.00","2016 est.","81","South America"
"Jordan","jordan","4,764,000.00","2016 est.","82","Middle East"
"Bosnia and Herzegovina","bosnia-and-herzegovina","4,676,000.00","2016 est.","83","Europe"
"Georgia","georgia","4,641,000.00","2016 est.","84","Middle East"
"Guatemala","guatemala","4,605,000.00","2016 est.","85","Central America"
"Armenia","armenia","4,080,000.00","2016 est.","86","Middle East"
"Kyrgyzstan","kyrgyzstan","4,046,000.00","2016 est.","87","Central Asia"
"Turkmenistan","turkmenistan","4,001,000.00","2016 est.","88","Central Asia"
"Sri Lanka","sri-lanka","3,998,000.00","2016 est.","89","South Asia"
"Bahrain","bahrain","3,928,000.00","2016 est.","90","Middle East"
"Dominican Republic","dominican-republic","3,839,000.00","2016 est.","91","Central America"
"Ghana","ghana","3,801,000.00","2016 est.","92","Africa"
"Lithuania","lithuania","3,710,000.00","2016 est.","93","Europe"
"Costa Rica","costa-rica","3,584,000.00","2016 est.","94","Central America"
"Slovenia","slovenia","3,536,000.00","2016 est.","95","Europe"
"Sudan","sudan","3,437,000.00","2016 est.","96","Africa"
"Panama","panama","3,400,000.00","2016 est.","97","Central America"
"Latvia","latvia","2,932,000.00","2016 est.","98","Europe"
"Ethiopia","ethiopia","2,784,000.00","2016 est.","99","Africa"
"Iceland","iceland","2,772,000.00","2016 est.","100","Europe"
