name,slug,value,date_of_information,ranking,region
"China","china","$2,490,000,000,000","2018","1","East Asia/Southeast Asia"
"United States","united-states","$2,377,156,000,000","2019 est.","2","North America"
"Germany","germany","$2,004,158,000,000","2019 est.","3","Europe"
"Japan","japan","$1,084,146,000,000","2019 est.","4","East Asia/Southeast Asia"
"France","france","$969,077,000,000","2019 est.","5","Europe"
"United Kingdom","united-kingdom","$901,882,000,000","2019 est.","6","Europe"
"Netherlands","netherlands","$857,574,000,000","2019 est.","7","Europe"
"Italy","italy","$687,340,000,000","2019 est.","8","Europe"
"Korea, South","korea-south","$683,996,000,000","2019 est.","9","East Asia/Southeast Asia"
"Singapore","singapore","$626,680,000,000","2019 est.","10","East Asia/Southeast Asia"
"Canada","canada","$618,762,000,000","2019 est.","11","North America"
"India","india","$572,073,000,000","2019 est.","12","South Asia"
"Hong Kong","hong-kong","$568,877,000,000","2019 est.","13","East Asia/Southeast Asia"
"Russia","russia","$551,128,000,000","2019 est.","14","Central Asia"
"Ireland","ireland","$541,789,000,000","2019 est.","15","Europe"
"Spain","spain","$533,771,000,000","2019 est.","16","Europe"
"Mexico","mexico","$491,593,000,000","2019 est.","17","North America"
"Belgium","belgium","$474,278,000,000","2019 est.","18","Europe"
"Switzerland","switzerland","$443,997,000,000","2019 est.","19","Europe"
"Australia","australia","$404,562,000,000","2019 est.","20","Australia - Oceania"
"Poland","poland","$394,848,000,000","2019 est.","21","Europe"
"Taiwan","taiwan","$388,490,000,000","2019 est.","22","East Asia/Southeast Asia"
"Turkey","turkey","$310,671,000,000","2019 est.","23","Middle East"
"United Arab Emirates","united-arab-emirates","$308,500,000,000","2017 est.","24","Middle East"
"Sweden","sweden","$302,650,000,000","2019 est.","25","Europe"
"Brazil","brazil","$291,452,000,000","2019 est.","26","South America"
"Thailand","thailand","$291,169,000,000","2019 est.","27","East Asia/Southeast Asia"
"Austria","austria","$270,888,000,000","2019 est.","28","Europe"
"Malaysia","malaysia","$265,499,000,000","2019 est.","29","East Asia/Southeast Asia"
"Indonesia","indonesia","$249,628,000,000","2019 est.","30","East Asia/Southeast Asia"
"Vietnam","vietnam","$248,953,000,000","2019 est.","31","East Asia/Southeast Asia"
"Czechia","czechia","$229,578,000,000","2019 est.","32","Europe"
"Denmark","denmark","$226,589,000,000","2019 est.","33","Europe"
"Saudi Arabia","saudi-arabia","$221,100,000,000","2017 est.","34","Middle East"
"Norway","norway","$185,101,000,000","2019 est.","35","Europe"
"Hungary","hungary","$167,990,000,000","2019 est.","36","Europe"
"Ukraine","ukraine","$161,231,000,000","2019 est.","37","Europe"
"Luxembourg","luxembourg","$133,610,000,000","2019 est.","38","Europe"
"Philippines","philippines","$131,193,000,000","2019 est.","39","East Asia/Southeast Asia"
"South Africa","south-africa","$123,864,000,000","2019 est.","40","Africa"
