name,slug,value,date_of_information,ranking,region
"Liechtenstein","liechtenstein","$139,100","2009 est.","1","Europe"
"Macau","macau","$123,965","2019 est.","2","East Asia/Southeast Asia"
"Monaco","monaco","$115,700","2015 est.","3","Europe"
"Luxembourg","luxembourg","$114,482","2019 est.","4","Europe"
"Singapore","singapore","$97,341","2019 est.","5","East Asia/Southeast Asia"
"Qatar","qatar","$90,044","2019 est.","6","Middle East"
"Ireland","ireland","$86,781","2019 est.","7","Europe"
"Isle of Man","isle-of-man","$84,600","2014 est.","8","Europe"
"Bermuda","bermuda","$81,798","2019 est.","9","North America"
"Cayman Islands","cayman-islands","$71,549","2018 est.","10","Central America"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","$70,800","2015 est.","11","South America"
"Switzerland","switzerland","$68,628","2019 est.","12","Europe"
"United Arab Emirates","united-arab-emirates","$67,119","2019 est.","13","Middle East"
"Norway","norway","$63,633","2019 est.","14","Europe"
"United States","united-states","$62,530","2019 est.","15","North America"
"Brunei","brunei","$62,100","2019 est.","16","East Asia/Southeast Asia"
"Gibraltar","gibraltar","$61,700","2014 est.","17","Europe"
"Hong Kong","hong-kong","$59,848","2019 est.","18","East Asia/Southeast Asia"
"San Marino","san-marino","$59,439","2018 est.","19","Europe"
"Denmark","denmark","$57,804","2019 est.","20","Europe"
"Netherlands","netherlands","$56,935","2019 est.","21","Europe"
"Jersey","jersey","$56,600","2016 est.","22","Europe"
"Austria","austria","$56,188","2019 est.","23","Europe"
"Iceland","iceland","$55,874","2019 est.","24","Europe"
"Germany","germany","$53,919","2019 est.","25","Europe"
"Sweden","sweden","$53,240","2019 est.","26","Europe"
"Guernsey","guernsey","$52,500","2014 est.","27","Europe"
"Belgium","belgium","$51,934","2019 est.","28","Europe"
"Andorra","andorra","$49,900","2015 est.","29","Europe"
"Australia","australia","$49,854","2019 est.","30","Australia - Oceania"
"Kuwait","kuwait","$49,854","2019 est.","31","Middle East"
"Canada","canada","$49,031","2019 est.","32","North America"
"Finland","finland","$48,668","2019 est.","33","Europe"
