name,slug,value,date_of_information,ranking,region
"Kiribati","kiribati","64.10","2018 est.","1","Australia - Oceania"
"Brunei","brunei","53.60","2019 est.","2","East Asia/Southeast Asia"
"Macau","macau","53.20","2018 est.","3","East Asia/Southeast Asia"
"Nepal","nepal","48.90","2019 est.","4","South Asia"
"Suriname","suriname","46.60","2017 est.","5","South America"
"Qatar","qatar","45.00","2019 est.","6","Middle East"
"Sint Maarten","sint-maarten","44.60","2018 est.","7","Central America"
"China","china","44.20","2019 est.","8","East Asia/Southeast Asia"
"Sudan","sudan","43.70","2018 est.","9","Africa"
"Singapore","singapore","42.80","2019 est.","10","East Asia/Southeast Asia"
"Kuwait","kuwait","40.80","2018 est.","11","Middle East"
"Bermuda","bermuda","40.40","2018 est.","12","North America"
"Uzbekistan","uzbekistan","40.10","2019 est.","13","Central Asia"
"Zambia","zambia","39.70","2019 est.","14","Africa"
"Algeria","algeria","38.80","2017 est.","15","Africa"
"Iran","iran","37.90","2017 est.","16","Middle East"
"Papua New Guinea","papua-new-guinea","36.80","2017 est.","17","East Asia/Southeast Asia"
"Ireland","ireland","35.90","2019 est.","18","Europe"
"Bangladesh","bangladesh","35.70","2019 est.","19","South Asia"
"Switzerland","switzerland","35.30","2019 est.","20","Europe"
"Cabo Verde","cabo-verde","35.00","2019 est.","21","Africa"
"Taiwan","taiwan","34.90","2017 est.","22","East Asia/Southeast Asia"
"Korea, South","korea-south","34.80","2019 est.","23","East Asia/Southeast Asia"
"Saudi Arabia","saudi-arabia","33.60","2019 est.","24","Middle East"
"Mauritania","mauritania","33.50","2019 est.","25","Africa"
"Norway","norway","33.30","2019 est.","26","Europe"
"Ethiopia","ethiopia","33.20","2018 est.","27","Africa"
"Botswana","botswana","32.50","2018 est.","28","Africa"
"Philippines","philippines","31.60","2019 est.","29","East Asia/Southeast Asia"
"Denmark","denmark","31.50","2019 est.","30","Europe"
"Thailand","thailand","31.50","2019 est.","31","East Asia/Southeast Asia"
"Netherlands","netherlands","31.20","2019 est.","33","Europe"
"Indonesia","indonesia","31.00","2019 est.","34","East Asia/Southeast Asia"
"Tanzania","tanzania","30.50","2017 est.","35","Africa"
"Panama","panama","30.00","2019 est.","36","Central America"
"Bahrain","bahrain","29.90","2018 est.","37","Middle East"
"Burma","burma","29.40","2018 est.","38","East Asia/Southeast Asia"
"Sweden","sweden","29.40","2019 est.","39","Europe"
"Azerbaijan","azerbaijan","29.20","2019 est.","40","Middle East"
"Estonia","estonia","29.10","2019 est.","41","Europe"
"India","india","29.10","2019 est.","42","South Asia"
"Bahamas, The","bahamas-the","29.00","2019 est.","43","Central America"
"Timor-Leste","timor-leste","28.60","2019 est.","44","East Asia/Southeast Asia"
"Austria","austria","28.50","2019 est.","45","Europe"
"Germany","germany","28.50","2019 est.","46","Europe"
"United Arab Emirates","united-arab-emirates","28.50","2017 est.","47","Middle East"
"Belarus","belarus","27.80","2019 est.","48","Europe"
"Hungary","hungary","27.80","2019 est.","49","Europe"
"Japan","japan","27.80","2018 est.","50","East Asia/Southeast Asia"
"Morocco","morocco","27.80","2019 est.","51","Africa"
"Russia","russia","27.60","2019 est.","52","Central Asia"
"Malta","malta","27.50","2019 est.","53","Europe"
"Cambodia","cambodia","27.20","2019 est.","54","East Asia/Southeast Asia"
"Kazakhstan","kazakhstan","26.60","2019 est.","55","Central Asia"
"Slovenia","slovenia","26.50","2019 est.","56","Europe"
"Trinidad and Tobago","trinidad-and-tobago","26.40","2017 est.","57","Central America"
"Czechia","czechia","26.20","2019 est.","58","Europe"
"Malaysia","malaysia","26.20","2018 est.","59","East Asia/Southeast Asia"
"Bulgaria","bulgaria","26.10","2019 est.","60","Europe"
"Iceland","iceland","26.00","2019 est.","61","Europe"
"Turkey","turkey","26.00","2019 est.","62","Middle East"
"Lesotho","lesotho","25.80","2019 est.","63","Africa"
"Faroe Islands","faroe-islands","25.70","2012 est.","64","Europe"
"Djibouti","djibouti","25.60","2018 est.","65","Africa"
"Gabon","gabon","25.60","2017 est.","66","Africa"
"Belgium","belgium","25.30","2019 est.","67","Europe"
"Croatia","croatia","25.30","2019 est.","68","Europe"
"Sri Lanka","sri-lanka","25.30","2019 est.","69","South Asia"
"Hong Kong","hong-kong","25.00","2019 est.","70","East Asia/Southeast Asia"
"Tajikistan","tajikistan","24.90","2017 est.","71","Central Asia"
"Ecuador","ecuador","24.70","2019 est.","72","South America"
"Israel","israel","24.70","2019 est.","73","Middle East"
"Kosovo","kosovo","24.40","2019 est.","74","Europe"
"Finland","finland","24.10","2019 est.","75","Europe"
"Turkmenistan","turkmenistan","23.90","2017 est.","76","Central Asia"
"Dominican Republic","dominican-republic","23.80","2019 est.","77","Central America"
"Mexico","mexico","23.70","2019 est.","78","North America"
"Mongolia","mongolia","23.70","2019 est.","79","East Asia/Southeast Asia"
"France","france","23.40","2019 est.","80","Europe"
"Senegal","senegal","23.40","2018 est.","81","Africa"
"Angola","angola","23.30","2019 est.","82","Africa"
"Nigeria","nigeria","23.20","2019 est.","83","Africa"
"Vietnam","vietnam","23.10","2019 est.","84","East Asia/Southeast Asia"
"Spain","spain","22.90","2019 est.","85","Europe"
