name,slug,value,date_of_information,ranking,region
"South Africa","south-africa","83,000","2020 est.","1","Africa"
"India","india","69,000","2017 est.","2","South Asia"
"Nigeria","nigeria","49,000","2020 est.","3","Africa"
"Mozambique","mozambique","38,000","2020 est.","4","Africa"
"Tanzania","tanzania","32,000","2020 est.","5","Africa"
"Kenya","kenya","29,000","2020 est.","6","Africa"
"Indonesia","indonesia","24,000","2020 est.","7","East Asia/Southeast Asia"
"Zambia","zambia","24,000","2020 est.","8","Africa"
"Uganda","uganda","22,000","2020 est.","9","Africa"
"Zimbabwe","zimbabwe","22,000","2020 est.","10","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","17,000","2020 est.","11","Africa"
"Angola","angola","16,000","2020 est.","12","Africa"
"Cameroon","cameroon","14,000","2020 est.","13","Africa"
"Brazil","brazil","13,000","2020 est.","14","South America"
"Cote d'Ivoire","cote-divoire","13,000","2020 est.","15","Africa"
"Ethiopia","ethiopia","13,000","2020 est.","16","Africa"
"Ghana","ghana","13,000","2020 est.","17","Africa"
"Malawi","malawi","12,000","2020 est.","18","Africa"
"Thailand","thailand","12,000","2020 est.","19","East Asia/Southeast Asia"
"South Sudan","south-sudan","8,900","2020 est.","20","Africa"
"Pakistan","pakistan","8,200","2020 est.","21","South Asia"
"Burma","burma","7,700","2019 est.","22","East Asia/Southeast Asia"
"Congo, Republic of the","congo-republic-of-the","6,100","2020 est.","23","Africa"
"Botswana","botswana","5,100","2020 est.","24","Africa"
"Lesotho","lesotho","4,700","2020 est.","25","Africa"
"Mali","mali","4,600","2020 est.","26","Africa"
"Mexico","mexico","4,300","2020 est.","27","North America"
"Vietnam","vietnam","3,800","2020 est.","28","East Asia/Southeast Asia"
"Burkina Faso","burkina-faso","3,300","2020 est.","29","Africa"
"Guinea","guinea","3,300","2020 est.","30","Africa"
"Central African Republic","central-african-republic","3,200","2020 est.","31","Africa"
"Iran","iran","3,200","2020 est.","32","Middle East"
"Sierra Leone","sierra-leone","3,200","2020 est.","33","Africa"
"Ukraine","ukraine","3,100","2020 est.","34","Europe"
"Chad","chad","3,000","2020 est.","35","Africa"
"Colombia","colombia","3,000","2020 est.","36","South America"
"Namibia","namibia","3,000","2020 est.","37","Africa"
"Togo","togo","3,000","2020 est.","38","Africa"
"Rwanda","rwanda","2,500","2020 est.","39","Africa"
"Eswatini","eswatini","2,400","2020 est.","40","Africa"
"Equatorial Guinea","equatorial-guinea","2,300","2020 est.","41","Africa"
"Sudan","sudan","2,300","2020 est.","42","Africa"
"Haiti","haiti","2,200","2020 est.","43","Central America"
"Benin","benin","2,000","2020 est.","44","Africa"
"Malaysia","malaysia","2,000","2020 est.","45","East Asia/Southeast Asia"
"Dominican Republic","dominican-republic","1,900","2020 est.","46","Central America"
"Madagascar","madagascar","1,800","2020 est.","47","Africa"
"Burundi","burundi","1,700","2020 est.","48","Africa"
"Philippines","philippines","1,600","2020 est.","49","East Asia/Southeast Asia"
"Guinea-Bissau","guinea-bissau","1,500","2020 est.","50","Africa"
"Argentina","argentina","1,400","2020 est.","51","South America"
"Gambia, The","gambia-the","1,300","2020 est.","52","Africa"
"Liberia","liberia","1,300","2020 est.","53","Africa"
"Cambodia","cambodia","1,200","2020 est.","54","East Asia/Southeast Asia"
"Guatemala","guatemala","1,200","2020 est.","55","Central America"
"Gabon","gabon","1,100","2020 est.","56","Africa"
"Niger","niger","1,100","2020 est.","57","Africa"
"Senegal","senegal","1,100","2020 est.","58","Africa"
"Jamaica","jamaica","1,000","2020 est.","59","Central America"
"United Arab Emirates","united-arab-emirates","100","2020","61","Middle East"
