name,slug,value,date_of_information,ranking,region
"South Africa","south-africa","7,800,000","2020 est.","1","Africa"
"India","india","2,300,000","2020 est.","2","South Asia"
"Mozambique","mozambique","2,100,000","2020 est.","3","Africa"
"Nigeria","nigeria","1,700,000","2020 est.","4","Africa"
"Tanzania","tanzania","1,700,000","2020 est.","5","Africa"
"Zambia","zambia","1,500,000","2020 est.","6","Africa"
"Kenya","kenya","1,400,000","2020 est.","7","Africa"
"Uganda","uganda","1,400,000","2020 est.","8","Africa"
"Zimbabwe","zimbabwe","1,300,000","2020 est.","9","Africa"
"Russia","russia","1,000,000","2017 est.","10","Central Asia"
"Malawi","malawi","990,000","2020 est.","11","Africa"
"Brazil","brazil","930,000","2020 est.","12","South America"
"Ethiopia","ethiopia","620,000","2020 est.","13","Africa"
"Indonesia","indonesia","540,000","2020 est.","14","East Asia/Southeast Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","510,000","2020 est.","15","Africa"
"Cameroon","cameroon","500,000","2020 est.","16","Africa"
"Thailand","thailand","500,000","2020 est.","17","East Asia/Southeast Asia"
"Cote d'Ivoire","cote-divoire","380,000","2020 est.","18","Africa"
"Botswana","botswana","370,000","2020 est.","19","Africa"
"Ghana","ghana","350,000","2020 est.","20","Africa"
"Angola","angola","340,000","2020 est.","21","Africa"
"Mexico","mexico","340,000","2020 est.","22","North America"
"Lesotho","lesotho","280,000","2020 est.","23","Africa"
"Ukraine","ukraine","260,000","2020 est.","24","Europe"
"Vietnam","vietnam","250,000","2020 est.","25","East Asia/Southeast Asia"
"Burma","burma","240,000","2019 est.","26","East Asia/Southeast Asia"
"Rwanda","rwanda","220,000","2020 est.","27","Africa"
"Namibia","namibia","210,000","2020 est.","28","Africa"
"Eswatini","eswatini","200,000","2020 est.","29","Africa"
"Pakistan","pakistan","200,000","2020 est.","30","South Asia"
"France","france","190,000","2019 est.","31","Europe"
"Colombia","colombia","180,000","2020 est.","32","South America"
"South Sudan","south-sudan","180,000","2020 est.","33","Africa"
"Haiti","haiti","150,000","2020 est.","34","Central America"
"Spain","spain","150,000","2020 est.","35","Europe"
"Argentina","argentina","140,000","2020 est.","36","South America"
"Italy","italy","140,000","2020 est.","37","Europe"
"Philippines","philippines","120,000","2020 est.","38","East Asia/Southeast Asia"
"Chad","chad","110,000","2020 est.","39","Africa"
"Congo, Republic of the","congo-republic-of-the","110,000","2020 est.","40","Africa"
"Guinea","guinea","110,000","2020 est.","41","Africa"
"Mali","mali","110,000","2020 est.","42","Africa"
"Togo","togo","110,000","2020 est.","43","Africa"
"Venezuela","venezuela","100,000","2020 est.","44","South America"
"Burkina Faso","burkina-faso","97,000","2020 est.","45","Africa"
"Germany","germany","93,000","2020 est.","46","Europe"
"Malaysia","malaysia","92,000","2020 est.","47","East Asia/Southeast Asia"
"Peru","peru","91,000","2020 est.","48","South America"
"Central African Republic","central-african-republic","88,000","2020 est.","49","Africa"
"Burundi","burundi","83,000","2020 est.","50","Africa"
"Sierra Leone","sierra-leone","80,000","2020 est.","51","Africa"
"Chile","chile","77,000","2020 est.","52","South America"
"Benin","benin","75,000","2020 est.","53","Africa"
"Cambodia","cambodia","75,000","2020 est.","54","East Asia/Southeast Asia"
"Dominican Republic","dominican-republic","72,000","2020 est.","55","Central America"
"Equatorial Guinea","equatorial-guinea","68,000","2020 est.","56","Africa"
"Uzbekistan","uzbekistan","58,000","2020 est.","57","Central Asia"
"Papua New Guinea","papua-new-guinea","55,000","2020 est.","58","East Asia/Southeast Asia"
"Iran","iran","54,000","2020 est.","59","Middle East"
"Sudan","sudan","49,000","2020 est.","60","Africa"
"Gabon","gabon","46,000","2020 est.","61","Africa"
"Ecuador","ecuador","45,000","2020 est.","62","South America"
"Madagascar","madagascar","42,000","2020 est.","63","Africa"
"Portugal","portugal","42,000","2020 est.","64","Europe"
"Senegal","senegal","39,000","2020 est.","65","Africa"
"Guinea-Bissau","guinea-bissau","37,000","2020 est.","66","Africa"
"Kazakhstan","kazakhstan","35,000","2020 est.","67","Central Asia"
"Liberia","liberia","35,000","2020 est.","68","Africa"
"Cuba","cuba","33,000","2020 est.","69","Central America"
"Guatemala","guatemala","33,000","2020 est.","70","Central America"
"Jamaica","jamaica","32,000","2020 est.","71","Central America"
"Niger","niger","31,000","2020 est.","72","Africa"
"Panama","panama","31,000","2020 est.","73","Central America"
"Australia","australia","30,000","2020 est.","74","Australia - Oceania"
"Japan","japan","30,000","2020 est.","75","East Asia/Southeast Asia"
"Nepal","nepal","30,000","2020 est.","76","South Asia"
"Belarus","belarus","28,000","2020 est.","77","Europe"
"Gambia, The","gambia-the","27,000","2020 est.","78","Africa"
"El Salvador","el-salvador","25,000","2020 est.","79","Central America"
"Egypt","egypt","24,000","2020 est.","80","Africa"
"Netherlands","netherlands","24,000","2020 est.","81","Europe"
"Honduras","honduras","22,000","2020 est.","82","Central America"
"Morocco","morocco","22,000","2020 est.","83","Africa"
"Paraguay","paraguay","19,000","2020 est.","84","South America"
"Romania","romania","19,000","2020 est.","85","Europe"
"Algeria","algeria","18,000","2020 est.","86","Africa"
"Bolivia","bolivia","17,000","2020 est.","87","South America"
"Greece","greece","17,000","2020 est.","88","Europe"
"Switzerland","switzerland","17,000","2020","89","Europe"
"Costa Rica","costa-rica","16,000","2020 est.","90","Central America"
"Laos","laos","15,000","2020 est.","91","East Asia/Southeast Asia"
"Bangladesh","bangladesh","14,000","2018 est.","92","South Asia"
"Mauritius","mauritius","14,000","2020","93","Africa"
"Moldova","moldova","14,000","2020 est.","94","Europe"
"Tajikistan","tajikistan","14,000","2020 est.","95","Central Asia"
"Eritrea","eritrea","13,000","2020 est.","96","Africa"
"Afghanistan","afghanistan","12,000","2020 est.","97","South Asia"
"Nicaragua","nicaragua","12,000","2020 est.","98","Central America"
"Saudi Arabia","saudi-arabia","12,000","2020 est.","99","Middle East"
"Uruguay","uruguay","12,000","2020 est.","100","South America"
"Sweden","sweden","11,000","2016 est.","101","Europe"
"Yemen","yemen","11,000","2020 est.","102","Middle East"
"Trinidad and Tobago","trinidad-and-tobago","10,000","2020 est.","103","Central America"
"Azerbaijan","azerbaijan","9,900","2020 est.","104","Middle East"
"Libya","libya","9,500","2020","105","Africa"
"Kyrgyzstan","kyrgyzstan","9,200","2020 est.","106","Central Asia"
"Georgia","georgia","9,100","2020 est.","107","Middle East"
"Guyana","guyana","9,000","2020 est.","108","South America"
"Israel","israel","9,000","2018","109","Middle East"
"Somalia","somalia","8,700","2020 est.","110","Africa"
"Mauritania","mauritania","8,500","2020 est.","111","Africa"
"Singapore","singapore","8,000","2020 est.","112","East Asia/Southeast Asia"
"Ireland","ireland","7,800","2020 est.","113","Europe"
"Austria","austria","7,400","2017 est.","114","Europe"
"Estonia","estonia","7,100","2020 est.","115","Europe"
"Djibouti","djibouti","6,800","2020 est.","116","Africa"
"Denmark","denmark","6,700","2020 est.","117","Europe"
"Norway","norway","5,800","2018 est.","118","Europe"
