name,slug,value,date_of_information,ranking,region
"United States","united-states","$3,214,184,000,000","2019 est.","1","North America"
"China","china","$2,140,000,000,000","2018","2","East Asia/Southeast Asia"
"Germany","germany","$1,804,453,000,000","2019 est.","3","Europe"
"Japan","japan","$1,032,112,000,000","2019 est.","4","East Asia/Southeast Asia"
"France","france","$1,021,633,000,000","2019 est.","5","Europe"
"United Kingdom","united-kingdom","$987,018,000,000","2019 est.","6","Europe"
"Netherlands","netherlands","$755,650,000,000","2019 est.","7","Europe"
"Italy","italy","$647,058,000,000","2019 est.","8","Europe"
"Canada","canada","$629,402,000,000","2019 est.","9","North America"
"India","india","$624,314,000,000","2019 est.","10","South Asia"
"Korea, South","korea-south","$599,705,000,000","2019 est.","11","East Asia/Southeast Asia"
"Hong Kong","hong-kong","$565,253,000,000","2019 est.","12","East Asia/Southeast Asia"
"Curacao","curacao","$540,300,000,000","2018 est.","13","Central America"
"Singapore","singapore","$533,478,000,000","2019 est.","14","East Asia/Southeast Asia"
"Ireland","ireland","$489,957,000,000","2019 est.","15","Europe"
"Mexico","mexico","$480,886,000,000","2019 est.","16","North America"
"Belgium","belgium","$473,129,000,000","2019 est.","17","Europe"
"Spain","spain","$463,145,000,000","2019 est.","18","Europe"
"Russia","russia","$366,919,000,000","2019 est.","19","Central Asia"
"Poland","poland","$364,993,000,000","2019 est.","20","Europe"
"Switzerland","switzerland","$344,477,000,000","2019 est.","21","Europe"
"Australia","australia","$334,279,000,000","2019 est.","22","Australia - Oceania"
"Taiwan","taiwan","$308,744,000,000","2019 est.","23","East Asia/Southeast Asia"
"Sweden","sweden","$276,622,000,000","2019 est.","24","Europe"
"Brazil","brazil","$271,257,000,000","2019 est.","25","South America"
"Vietnam","vietnam","$266,066,000,000","2019 est.","26","East Asia/Southeast Asia"
"Turkey","turkey","$258,385,000,000","2019 est.","27","Middle East"
"Thailand","thailand","$257,873,000,000","2019 est.","28","East Asia/Southeast Asia"
"Austria","austria","$253,276,000,000","2019 est.","29","Europe"
"Malaysia","malaysia","$233,719,000,000","2019 est.","30","East Asia/Southeast Asia"
"United Arab Emirates","united-arab-emirates","$229,200,000,000","2017 est.","31","Middle East"
"Indonesia","indonesia","$223,440,000,000","2019 est.","32","East Asia/Southeast Asia"
"Czechia","czechia","$211,922,000,000","2019 est.","33","Europe"
"Ukraine","ukraine","$207,335,000,000","2019 est.","34","Europe"
"Denmark","denmark","$197,818,000,000","2019 est.","35","Europe"
"Hungary","hungary","$159,630,000,000","2019 est.","36","Europe"
"Philippines","philippines","$158,307,000,000","2019 est.","37","East Asia/Southeast Asia"
"Norway","norway","$158,037,000,000","2019 est.","38","Europe"
"Romania","romania","$136,091,000,000","2019 est.","39","Europe"
"South Africa","south-africa","$131,721,000,000","2019 est.","40","Africa"
"Finland","finland","$120,437,000,000","2019 est.","41","Europe"
"Portugal","portugal","$120,334,000,000","2019 est.","42","Europe"
"Saudi Arabia","saudi-arabia","$119,300,000,000","2017 est.","43","Middle East"
