name,slug,value,date_of_information,ranking,region
"Libya","libya","60.30","2017 est.","1","Africa"
"Ghana","ghana","16.70","2017 est.","2","Africa"
"Sierra Leone","sierra-leone","15.50","2017 est.","3","Africa"
"Maldives","maldives","14.00","2012 est.","4","South Asia"
"Cyprus","cyprus","13.40","2017 est.","5","Europe"
"Lesotho","lesotho","12.50","2017 est.","6","Africa"
"Nepal","nepal","12.40","2017 est.","7","South Asia"
"Tanzania","tanzania","12.00","2017 est.","8","Africa"
"Guinea","guinea","11.00","2017 est.","9","Africa"
"Kyrgyzstan","kyrgyzstan","10.90","2017 est.","10","Central Asia"
"Cambodia","cambodia","10.60","2017 est.","11","East Asia/Southeast Asia"
"Latvia","latvia","10.60","2017 est.","12","Europe"
"Ethiopia","ethiopia","10.50","2017 est.","13","Africa"
"Burkina Faso","burkina-faso","10.40","2017 est.","14","Africa"
"Bangladesh","bangladesh","10.20","2017 est.","15","South Asia"
"Grenada","grenada","10.00","2017 est.","16","Central America"
"Estonia","estonia","9.50","2017 est.","17","Europe"
"Turkey","turkey","9.10","2017 est.","18","Middle East"
"Liberia","liberia","9.00","2017 est.","19","Africa"
"Burma","burma","8.90","2017 est.","20","East Asia/Southeast Asia"
"Yemen","yemen","8.90","2017 est.","21","Middle East"
"Slovenia","slovenia","8.60","2017 est.","22","Europe"
"Laos","laos","8.00","2017 est.","23","East Asia/Southeast Asia"
"Vietnam","vietnam","8.00","2017 est.","24","East Asia/Southeast Asia"
"Ireland","ireland","7.80","2017 est.","25","Europe"
"Senegal","senegal","7.70","2017 est.","26","Africa"
"Czechia","czechia","7.50","2017 est.","27","Europe"
"Poland","poland","7.50","2017 est.","28","Europe"
"Hungary","hungary","7.40","2017 est.","29","Europe"
"Philippines","philippines","7.20","2017 est.","30","East Asia/Southeast Asia"
"Albania","albania","6.80","2017 est.","31","Europe"
"Antigua and Barbuda","antigua-and-barbuda","6.80","2017 est.","32","Central America"
"Monaco","monaco","6.80","2015","33","Europe"
"Georgia","georgia","6.70","2017 est.","34","Middle East"
"Austria","austria","6.50","2017 est.","35","Europe"
"Bhutan","bhutan","6.30","2017 est.","36","South Asia"
"Mali","mali","6.30","2017 est.","37","Africa"
"Panama","panama","6.30","2017 est.","38","Central America"
"Finland","finland","6.20","2017 est.","39","Europe"
"China","china","6.10","2017 est.","40","East Asia/Southeast Asia"
"Niger","niger","6.00","2017 est.","41","Africa"
"Saint Lucia","saint-lucia","6.00","2017 est.","42","Central America"
"Lithuania","lithuania","5.90","2017 est.","43","Europe"
"Bahamas, The","bahamas-the","5.80","2017 est.","44","Central America"
"Kazakhstan","kazakhstan","5.80","2017 est.","45","Central Asia"
"Singapore","singapore","5.70","2017 est.","46","East Asia/Southeast Asia"
"Belarus","belarus","5.60","2017 est.","47","Europe"
"Eswatini","eswatini","5.60","2017 est.","48","Africa"
"India","india","5.50","2017 est.","49","South Asia"
"Romania","romania","5.50","2017 est.","50","Europe"
"Armenia","armenia","5.40","2017 est.","51","Middle East"
"Eritrea","eritrea","5.40","2017 est.","52","Africa"
"Pakistan","pakistan","5.40","2017 est.","53","South Asia"
"Madagascar","madagascar","5.20","2017 est.","54","Africa"
"Malaysia","malaysia","5.00","2017 est.","55","East Asia/Southeast Asia"
"Saint Kitts and Nevis","saint-kitts-and-nevis","5.00","2017 est.","56","Central America"
"Sao Tome and Principe","sao-tome-and-principe","5.00","2017 est.","57","Africa"
"Togo","togo","5.00","2017 est.","58","Africa"
"Tonga","tonga","5.00","2017 est.","59","Australia - Oceania"
"Canada","canada","4.90","2017 est.","60","North America"
"Mozambique","mozambique","4.90","2017 est.","61","Africa"
"Zambia","zambia","4.70","2017 est.","62","Africa"
"Korea, South","korea-south","4.60","2017 est.","63","East Asia/Southeast Asia"
"Sri Lanka","sri-lanka","4.60","2017 est.","64","South Asia"
"Honduras","honduras","4.50","2017 est.","65","Central America"
"Sudan","sudan","4.50","2017 est.","66","Africa"
"Uzbekistan","uzbekistan","4.50","2017 est.","67","Central Asia"
"Vanuatu","vanuatu","4.50","2017 est.","68","Australia - Oceania"
"Uganda","uganda","4.40","2017 est.","69","Africa"
"Syria","syria","4.30","2017 est.","70","Middle East"
"Cote d'Ivoire","cote-divoire","4.20","2017 est.","71","Africa"
"Rwanda","rwanda","4.20","2017 est.","72","Africa"
"Indonesia","indonesia","4.10","2017 est.","73","East Asia/Southeast Asia"
"Sweden","sweden","4.10","2017 est.","74","Europe"
"Anguilla","anguilla","4.00","2017 est.","75","Central America"
"Spain","spain","4.00","2017 est.","76","Europe"
"Central African Republic","central-african-republic","3.90","2017 est.","77","Africa"
"Serbia","serbia","3.90","2017 est.","78","Europe"
"Taiwan","taiwan","3.90","2017 est.","79","East Asia/Southeast Asia"
"Bulgaria","bulgaria","3.60","2017 est.","80","Europe"
"El Salvador","el-salvador","3.60","2017 est.","81","Central America"
"Kenya","kenya","3.60","2017 est.","82","Africa"
"Solomon Islands","solomon-islands","3.60","2017 est.","83","Australia - Oceania"
"Egypt","egypt","3.50","2017 est.","84","Africa"
"Greece","greece","3.50","2017 est.","85","Europe"
"Israel","israel","3.50","2017 est.","86","Middle East"
"New Caledonia","new-caledonia","3.50","2017 est.","87","Australia - Oceania"
"Nicaragua","nicaragua","3.50","2017 est.","88","Central America"
