name,slug,value,date_of_information,ranking,region
"China","china","751,886,119","","1","East Asia/Southeast Asia"
"India","india","446,759,327","","2","South Asia"
"United States","united-states","285,519,020","","3","North America"
"Brazil","brazil","140,908,998","","4","South America"
"Russia","russia","114,920,477","","5","Central Asia"
"Japan","japan","106,725,643","","6","East Asia/Southeast Asia"
"Indonesia","indonesia","104,563,108","","7","East Asia/Southeast Asia"
"Nigeria","nigeria","85,450,052","","8","Africa"
"Mexico","mexico","82,843,369","","9","North America"
"Germany","germany","72,202,773","","10","Europe"
"Vietnam","vietnam","68,267,875","","11","East Asia/Southeast Asia"
"Philippines","philippines","63,588,975","","12","East Asia/Southeast Asia"
"United Kingdom","united-kingdom","61,784,878","","13","Europe"
"Iran","iran","58,117,322","","14","Middle East"
"Turkey","turkey","57,725,143","","15","Middle East"
"France","france","55,265,718","","16","Europe"
"Korea, South","korea-south","49,309,955","","17","East Asia/Southeast Asia"
"Egypt","egypt","46,644,728","","18","Africa"
"Italy","italy","46,305,301","","19","Europe"
"Spain","spain","42,478,990","","20","Europe"
"Thailand","thailand","38,987,531","","21","East Asia/Southeast Asia"
"Pakistan","pakistan","34,734,689","","22","South Asia"
"Canada","canada","33,743,954","","23","North America"
"Argentina","argentina","33,203,320","","24","South America"
"South Africa","south-africa","31,107,064","","25","Africa"
"Saudi Arabia","saudi-arabia","30,877,318","","26","Middle East"
"Colombia","colombia","29,990,017","","27","South America"
"Poland","poland","29,791,401","","28","Europe"
"Ukraine","ukraine","25,883,509","","29","Europe"
"Malaysia","malaysia","25,829,444","","30","East Asia/Southeast Asia"
"Algeria","algeria","24,819,531","","31","Africa"
"Bangladesh","bangladesh","23,917,950","","32","South Asia"
"Morocco","morocco","22,596,729","","33","Africa"
"Taiwan","taiwan","21,845,944","","34","East Asia/Southeast Asia"
"Australia","australia","21,419,302","","35","Australia - Oceania"
"Venezuela","venezuela","21,354,499","","36","South America"
"Ethiopia","ethiopia","19,118,470","","37","Africa"
"Iraq","iraq","18,364,390","","38","Middle East"
"Burma","burma","17,064,985","","39","East Asia/Southeast Asia"
"Peru","peru","16,461,427","","40","South America"
"Netherlands","netherlands","16,243,928","","41","Europe"
"Uzbekistan","uzbekistan","15,705,402","","42","Central Asia"
"Romania","romania","15,165,890","","43","Europe"
