name,slug,value,date_of_information,ranking,region
"Monaco","monaco","89.40","","1","Europe"
"Singapore","singapore","86.19","","2","East Asia/Southeast Asia"
"Macau","macau","84.81","","3","East Asia/Southeast Asia"
"Japan","japan","84.65","","4","East Asia/Southeast Asia"
"San Marino","san-marino","83.68","","5","Europe"
"Canada","canada","83.62","","6","North America"
"Iceland","iceland","83.45","","7","Europe"
"Hong Kong","hong-kong","83.41","","8","East Asia/Southeast Asia"
"Andorra","andorra","83.23","","9","Europe"
"Israel","israel","83.15","","10","Middle East"
"Guernsey","guernsey","83.03","","11","Europe"
"Switzerland","switzerland","83.03","","12","Europe"
"Malta","malta","83.00","","13","Europe"
"Australia","australia","82.89","","14","Australia - Oceania"
"Korea, South","korea-south","82.78","","15","East Asia/Southeast Asia"
"Luxembourg","luxembourg","82.78","","16","Europe"
"Italy","italy","82.67","","17","Europe"
"Sweden","sweden","82.60","","18","Europe"
"Jersey","jersey","82.43","","19","Europe"
"France","france","82.39","","20","Europe"
"Liechtenstein","liechtenstein","82.36","","21","Europe"
"Norway","norway","82.35","","22","Europe"
"New Zealand","new-zealand","82.33","","23","Australia - Oceania"
"Spain","spain","82.21","","24","Europe"
"Austria","austria","82.07","","25","Europe"
"Anguilla","anguilla","82.00","","26","Central America"
"Netherlands","netherlands","81.95","","27","Europe"
"Cayman Islands","cayman-islands","81.84","","28","Central America"
"Isle of Man","isle-of-man","81.84","","29","Europe"
"Bermuda","bermuda","81.83","","30","North America"
"Belgium","belgium","81.65","","31","Europe"
"Slovenia","slovenia","81.61","","32","Europe"
"Finland","finland","81.55","","33","Europe"
"Puerto Rico","puerto-rico","81.47","","34","Central America"
"Denmark","denmark","81.45","","35","Europe"
"Ireland","ireland","81.45","","36","Europe"
"Germany","germany","81.30","","37","Europe"
"United Kingdom","united-kingdom","81.30","","38","Europe"
"Portugal","portugal","81.29","","39","Europe"
"Greece","greece","81.28","","40","Europe"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","81.20","","41","North America"
"Faroe Islands","faroe-islands","81.04","","42","Europe"
"Taiwan","taiwan","80.95","","43","East Asia/Southeast Asia"
"Turks and Caicos Islands","turks-and-caicos-islands","80.60","","44","Central America"
