name,slug,value,date_of_information,ranking,region
"South Sudan","south-sudan","1,150","2017 est.","1","Africa"
"Chad","chad","1,140","2017 est.","2","Africa"
"Sierra Leone","sierra-leone","1,120","2017 est.","3","Africa"
"Nigeria","nigeria","917","2017 est.","4","Africa"
"Central African Republic","central-african-republic","829","2017 est.","5","Africa"
"Somalia","somalia","829","2017 est.","6","Africa"
"Mauritania","mauritania","766","2017 est.","7","Africa"
"Guinea-Bissau","guinea-bissau","667","2017 est.","8","Africa"
"Guyana","guyana","667","2017 est.","9","South America"
"Liberia","liberia","661","2017 est.","10","Africa"
"Afghanistan","afghanistan","638","2017 est.","11","South Asia"
"Cote d'Ivoire","cote-divoire","617","2017 est.","12","Africa"
"Gambia, The","gambia-the","597","2017 est.","13","Africa"
"Guinea","guinea","576","2017 est.","14","Africa"
"Mali","mali","562","2017 est.","15","Africa"
"Burundi","burundi","548","2017 est.","16","Africa"
"Lesotho","lesotho","544","2017 est.","17","Africa"
"Cameroon","cameroon","529","2017 est.","18","Africa"
"Tanzania","tanzania","524","2017 est.","19","Africa"
"Niger","niger","509","2017 est.","20","Africa"
"Eritrea","eritrea","480","2017 est.","21","Africa"
"Haiti","haiti","480","2017 est.","22","Central America"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","473","2017 est.","23","Africa"
"Zimbabwe","zimbabwe","458","2017 est.","24","Africa"
"Eswatini","eswatini","437","2017 est.","25","Africa"
"Ethiopia","ethiopia","401","2017 est.","26","Africa"
"Benin","benin","397","2017 est.","27","Africa"
"Togo","togo","396","2017 est.","28","Africa"
"Congo, Republic of the","congo-republic-of-the","378","2017 est.","29","Africa"
"Uganda","uganda","375","2017 est.","30","Africa"
"Malawi","malawi","349","2017 est.","31","Africa"
"Kenya","kenya","342","2017 est.","32","Africa"
"Madagascar","madagascar","335","2017 est.","33","Africa"
"Burkina Faso","burkina-faso","320","2017 est.","34","Africa"
"Senegal","senegal","315","2017 est.","35","Africa"
"Ghana","ghana","308","2017 est.","36","Africa"
"Equatorial Guinea","equatorial-guinea","301","2017 est.","37","Africa"
"Sudan","sudan","295","2017 est.","38","Africa"
"Mozambique","mozambique","289","2017 est.","39","Africa"
"Comoros","comoros","273","2017 est.","40","Africa"
"Gabon","gabon","252","2017 est.","41","Africa"
"Burma","burma","250","2017 est.","42","East Asia/Southeast Asia"
"Djibouti","djibouti","248","2017 est.","43","Africa"
"Rwanda","rwanda","248","2017 est.","44","Africa"
"Angola","angola","241","2017 est.","45","Africa"
"Zambia","zambia","213","2017 est.","46","Africa"
"Nicaragua","nicaragua","198","2017 est.","47","Central America"
"Namibia","namibia","195","2017 est.","48","Africa"
"Nepal","nepal","186","2017 est.","49","South Asia"
"Laos","laos","185","2017 est.","50","East Asia/Southeast Asia"
"Bhutan","bhutan","183","2017 est.","51","South Asia"
"Indonesia","indonesia","177","2017 est.","52","East Asia/Southeast Asia"
"Bangladesh","bangladesh","173","2017 est.","53","South Asia"
"Yemen","yemen","164","2017 est.","54","Middle East"
"Cambodia","cambodia","160","2017 est.","55","East Asia/Southeast Asia"
"Bolivia","bolivia","155","2017 est.","56","South America"
"India","india","145","2017 est.","57","South Asia"
"Papua New Guinea","papua-new-guinea","145","2017 est.","58","East Asia/Southeast Asia"
"Botswana","botswana","144","2017 est.","59","Africa"
"Timor-Leste","timor-leste","142","2017 est.","60","East Asia/Southeast Asia"
"Pakistan","pakistan","140","2017 est.","61","South Asia"
"Sao Tome and Principe","sao-tome-and-principe","130","2017 est.","62","Africa"
"Venezuela","venezuela","125","2017 est.","63","South America"
"Philippines","philippines","121","2017 est.","64","East Asia/Southeast Asia"
"Suriname","suriname","120","2017 est.","65","South America"
"South Africa","south-africa","119","2017 est.","66","Africa"
"Saint Lucia","saint-lucia","117","2017 est.","67","Central America"
"Algeria","algeria","112","2017 est.","68","Africa"
"Solomon Islands","solomon-islands","104","2017 est.","69","Australia - Oceania"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","98","2017 est.","70","Central America"
"Dominican Republic","dominican-republic","95","2017 est.","71","Central America"
"Guatemala","guatemala","95","2017 est.","72","Central America"
"Kiribati","kiribati","92","2017 est.","73","Australia - Oceania"
"Korea, North","korea-north","89","2017 est.","74","East Asia/Southeast Asia"
"Micronesia, Federated States of","micronesia-federated-states-of","88","2017 est.","75","Australia - Oceania"
"Peru","peru","88","2017 est.","76","South America"
"Paraguay","paraguay","84","2017 est.","77","South America"
"Colombia","colombia","83","2017 est.","78","South America"
"Jamaica","jamaica","80","2017 est.","79","Central America"
"Iraq","iraq","79","2017 est.","80","Middle East"
"Libya","libya","72","2017 est.","81","Africa"
"Vanuatu","vanuatu","72","2017 est.","82","Australia - Oceania"
"Bahamas, The","bahamas-the","70","2017 est.","83","Central America"
"Morocco","morocco","70","2017 est.","84","Africa"
"Trinidad and Tobago","trinidad-and-tobago","67","2017 est.","85","Central America"
"Honduras","honduras","65","2017 est.","86","Central America"
"Mauritius","mauritius","61","2017 est.","87","Africa"
