name,slug,value,date_of_information,ranking,region
"Indonesia","indonesia","10,137","","1","East Asia/Southeast Asia"
"Panama","panama","7,886","","2","Central America"
"China","china","6,197","","3","East Asia/Southeast Asia"
"Japan","japan","5,041","","4","East Asia/Southeast Asia"
"Liberia","liberia","3,716","","5","Africa"
"Marshall Islands","marshall-islands","3,683","","6","Australia - Oceania"
"United States","united-states","3,652","","7","North America"
"Singapore","singapore","3,420","","8","East Asia/Southeast Asia"
"Russia","russia","2,808","","9","Central Asia"
"Hong Kong","hong-kong","2,694","","10","East Asia/Southeast Asia"
"Malta","malta","2,207","","11","Europe"
"Vietnam","vietnam","1,909","","12","East Asia/Southeast Asia"
"Korea, South","korea-south","1,889","","13","East Asia/Southeast Asia"
"Virgin Islands","virgin-islands","1,868","","14","Central America"
"Malaysia","malaysia","1,772","","15","East Asia/Southeast Asia"
"India","india","1,768","","16","South Asia"
"Philippines","philippines","1,747","","17","East Asia/Southeast Asia"
"Norway","norway","1,619","","18","Europe"
"Bahamas, The","bahamas-the","1,381","","19","Central America"
"Italy","italy","1,310","","20","Europe"
"United Kingdom","united-kingdom","1,304","","21","Europe"
"Greece","greece","1,294","","22","Europe"
"Turkey","turkey","1,216","","23","Middle East"
"Netherlands","netherlands","1,200","","24","Europe"
"Cyprus","cyprus","1,065","","25","Europe"
"Iran","iran","877","","26","Middle East"
"Brazil","brazil","875","","27","South America"
"Thailand","thailand","840","","28","East Asia/Southeast Asia"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","813","","29","Central America"
"Belize","belize","790","","30","Central America"
"Nigeria","nigeria","728","","31","Africa"
"Antigua and Barbuda","antigua-and-barbuda","727","","32","Central America"
"Denmark","denmark","692","","33","Europe"
"Canada","canada","691","","34","North America"
"Portugal","portugal","673","","35","Europe"
"Mexico","mexico","668","","36","North America"
"United Arab Emirates","united-arab-emirates","640","","37","Middle East"
"Germany","germany","607","","38","Europe"
"Australia","australia","581","","39","Australia - Oceania"
"Sierra Leone","sierra-leone","557","","40","Africa"
"France","france","545","","41","Europe"
"Honduras","honduras","514","","42","Central America"
"Spain","spain","474","","43","Europe"
"Bangladesh","bangladesh","427","","44","South Asia"
"Togo","togo","415","","45","Africa"
"Ukraine","ukraine","409","","46","Europe"
"Taiwan","taiwan","407","","47","East Asia/Southeast Asia"
"Egypt","egypt","402","","48","Africa"
"Saudi Arabia","saudi-arabia","376","","49","Middle East"
"Sweden","sweden","368","","50","Europe"
"Vanuatu","vanuatu","345","","51","Australia - Oceania"
"Croatia","croatia","343","","52","Europe"
"Tanzania","tanzania","315","","53","Africa"
"Azerbaijan","azerbaijan","303","","54","Middle East"
"Mongolia","mongolia","294","","55","East Asia/Southeast Asia"
"Venezuela","venezuela","282","","56","South America"
"Finland","finland","274","","57","Europe"
"Korea, North","korea-north","261","","58","East Asia/Southeast Asia"
"Cambodia","cambodia","257","","59","East Asia/Southeast Asia"
"Tuvalu","tuvalu","246","","60","Australia - Oceania"
"Comoros","comoros","244","","61","Africa"
"Bahrain","bahrain","234","","62","Middle East"
"Palau","palau","232","","63","Australia - Oceania"
"Chile","chile","229","","64","South America"
"Saint Kitts and Nevis","saint-kitts-and-nevis","218","","65","Central America"
"Gibraltar","gibraltar","217","","66","Europe"
"Cook Islands","cook-islands","204","","67","Australia - Oceania"
"Belgium","belgium","203","","68","Europe"
"Argentina","argentina","199","","69","South America"
"Papua New Guinea","papua-new-guinea","175","","70","East Asia/Southeast Asia"
"Cayman Islands","cayman-islands","163","","71","Central America"
"Kuwait","kuwait","159","","72","Middle East"
"Luxembourg","luxembourg","150","","73","Europe"
"Ecuador","ecuador","147","","74","South America"
"Barbados","barbados","145","","75","Central America"
"Poland","poland","142","","76","Europe"
"Bermuda","bermuda","138","","77","North America"
"Qatar","qatar","131","","78","Middle East"
"Kazakhstan","kazakhstan","128","","79","Central Asia"
"Moldova","moldova","127","","80","Europe"
"Colombia","colombia","120","","81","South America"
"Romania","romania","120","","82","Europe"
"Algeria","algeria","114","","83","Africa"
"New Zealand","new-zealand","114","","84","Australia - Oceania"
"Paraguay","paraguay","110","","85","South America"
"South Africa","south-africa","103","","86","Africa"
"Trinidad and Tobago","trinidad-and-tobago","103","","87","Central America"
"Brunei","brunei","102","","88","East Asia/Southeast Asia"
"Faroe Islands","faroe-islands","100","","89","Europe"
"Dominica","dominica","98","","90","Central America"
"Peru","peru","97","","91","South America"
"Sri Lanka","sri-lanka","96","","92","South Asia"
"Ireland","ireland","95","","93","Europe"
"Libya","libya","94","","94","Africa"
"Burma","burma","93","","95","East Asia/Southeast Asia"
"Morocco","morocco","88","","96","Africa"
"Kiribati","kiribati","87","","97","Australia - Oceania"
"Bulgaria","bulgaria","81","","98","Europe"
"Georgia","georgia","81","","99","Middle East"
"Albania","albania","70","","100","Europe"
"Fiji","fiji","70","","101","Australia - Oceania"
"Tunisia","tunisia","69","","102","Africa"
"Iraq","iraq","68","","103","Middle East"
"Turkmenistan","turkmenistan","68","","104","Central Asia"
"Estonia","estonia","67","","105","Europe"
"Maldives","maldives","67","","106","South Asia"
"Niue","niue","67","","107","Australia - Oceania"
"Curacao","curacao","66","","108","Central America"
"Latvia","latvia","66","","109","Europe"
"Cameroon","cameroon","61","","110","Africa"
"Lithuania","lithuania","61","","111","Europe"
"Uruguay","uruguay","60","","112","South America"
"Guyana","guyana","58","","113","South America"
"Pakistan","pakistan","57","","114","South Asia"
"Cuba","cuba","55","","115","Central America"
"Oman","oman","55","","116","Middle East"
"Angola","angola","54","","117","Africa"
"Lebanon","lebanon","52","","118","Middle East"
"Ghana","ghana","50","","119","Africa"
"Jamaica","jamaica","46","","120","Central America"
"Cabo Verde","cabo-verde","43","","121","Africa"
"Bolivia","bolivia","42","","122","South America"
"Israel","israel","41","","123","Middle East"
"Equatorial Guinea","equatorial-guinea","40","","124","Africa"
"Gabon","gabon","40","","125","Africa"
"Iceland","iceland","40","","126","Europe"
"Dominican Republic","dominican-republic","38","","127","Central America"
"Micronesia, Federated States of","micronesia-federated-states-of","38","","128","Australia - Oceania"
"Tonga","tonga","36","","129","Australia - Oceania"
"Jordan","jordan","35","","130","Middle East"
"Senegal","senegal","34","","131","Africa"
"Yemen","yemen","33","","132","Middle East"
"British Virgin Islands","british-virgin-islands","31","","133","Central America"
"Mauritius","mauritius","30","","134","Africa"
"Madagascar","madagascar","29","","135","Africa"
"Mozambique","mozambique","29","","136","Africa"
"Liechtenstein","liechtenstein","28","","137","Europe"
"Switzerland","switzerland","28","","138","Europe"
"New Caledonia","new-caledonia","26","","139","Australia - Oceania"
"Seychelles","seychelles","26","","140","Africa"
"Syria","syria","26","","141","Middle East"
"Cote d'Ivoire","cote-divoire","25","","142","Africa"
"French Polynesia","french-polynesia","24","","143","Australia - Oceania"
"Kenya","kenya","24","","144","Africa"
"Solomon Islands","solomon-islands","24","","145","Australia - Oceania"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","21","","146","Africa"
"Djibouti","djibouti","18","","147","Africa"
