name,slug,value,date_of_information,ranking,region
"Oman","oman","8.80","2019","1","Middle East"
"Saudi Arabia","saudi-arabia","7.00","2020 est.","2","Middle East"
"Algeria","algeria","6.00","2019","3","Africa"
"United Arab Emirates","united-arab-emirates","5.20","2017","4","Middle East"
"Eritrea","eritrea","5.10","2017 est.","5","Africa"
"Israel","israel","5.00","2019","6","Middle East"
"Kuwait","kuwait","5.00","2020 est.","7","Middle East"
"Djibouti","djibouti","4.90","2017 est.","8","Africa"
"Jordan","jordan","4.70","2019","9","Middle East"
"Armenia","armenia","4.30","2019","10","Middle East"
"Yemen","yemen","4.30","2014","11","Middle East"
"Lebanon","lebanon","4.20","2019","12","Middle East"
"Azerbaijan","azerbaijan","4.00","2019","13","Middle East"
"Pakistan","pakistan","4.00","2019","14","South Asia"
"Russia","russia","4.00","2020 est.","15","Central Asia"
"Uzbekistan","uzbekistan","4.00","2018","16","Central Asia"
"Iraq","iraq","3.90","2019","17","Middle East"
"Iran","iran","3.80","2019 est.","18","Middle East"
"United States","united-states","3.73","2020 est.","19","North America"
"Bahrain","bahrain","3.70","2019","20","Middle East"
"South Sudan","south-sudan","3.50","2019 est.","21","Africa"
"Brunei","brunei","3.30","2019","22","East Asia/Southeast Asia"
"Singapore","singapore","3.30","2020 est.","23","East Asia/Southeast Asia"
"Colombia","colombia","3.20","2019","24","South America"
"Morocco","morocco","3.10","2019","25","Africa"
"Namibia","namibia","3.00","2019","26","Africa"
"Ukraine","ukraine","3.00","2020 est.","27","Europe"
"Cuba","cuba","2.90","2018","28","Central America"
"India","india","2.90","2020 est.","29","South Asia"
"Botswana","botswana","2.80","2019","30","Africa"
"Mauritania","mauritania","2.80","2019 est.","31","Africa"
"Burma","burma","2.70","2019 est.","32","East Asia/Southeast Asia"
"Congo, Republic of the","congo-republic-of-the","2.70","2019","33","Africa"
"Korea, South","korea-south","2.70","2020 est.","34","East Asia/Southeast Asia"
"Mali","mali","2.70","2019","35","Africa"
"Greece","greece","2.68","2020 est.","36","Europe"
"Qatar","qatar","2.50","2017","37","Middle East"
"Tunisia","tunisia","2.50","2019","38","Africa"
"Burkina Faso","burkina-faso","2.40","2019","39","Africa"
"Serbia","serbia","2.40","2020 est.","40","Europe"
"United Kingdom","united-kingdom","2.32","2020 est.","41","Europe"
"Cambodia","cambodia","2.30","2019 est.","42","East Asia/Southeast Asia"
"Ecuador","ecuador","2.30","2019","43","South America"
"Estonia","estonia","2.30","2021 est.","44","Europe"
"Georgia","georgia","2.30","2019","45","Middle East"
"Taiwan","taiwan","2.30","2020 est.","46","East Asia/Southeast Asia"
"Vietnam","vietnam","2.30","2018 est.","47","East Asia/Southeast Asia"
"Latvia","latvia","2.27","2020 est.","48","Europe"
"Chad","chad","2.20","2019 est.","49","Africa"
"Finland","finland","2.20","2021 est.","50","Europe"
"Poland","poland","2.20","2021 est.","51","Europe"
"Tajikistan","tajikistan","2.20","2017","52","Central Asia"
