name,slug,value,date_of_information,ranking,region
"United States","united-states","767,600,000,000","2017 est.","1","North America"
"Russia","russia","467,500,000,000","2017 est.","2","Central Asia"
"China","china","238,600,000,000","2017 est.","3","East Asia/Southeast Asia"
"Iran","iran","206,900,000,000","2017 est.","4","Middle East"
"Japan","japan","127,200,000,000","2017 est.","5","East Asia/Southeast Asia"
"Canada","canada","124,400,000,000","2017 est.","6","North America"
"Saudi Arabia","saudi-arabia","109,300,000,000","2017 est.","7","Middle East"
"Germany","germany","93,360,000,000","2017 est.","8","Europe"
"Mexico","mexico","81,610,000,000","2017 est.","9","North America"
"United Kingdom","united-kingdom","79,170,000,000","2017 est.","10","Europe"
"Italy","italy","75,150,000,000","2017 est.","11","Europe"
"United Arab Emirates","united-arab-emirates","74,480,000,000","2017 est.","12","Middle East"
"Egypt","egypt","57,710,000,000","2017 est.","13","Africa"
"India","india","55,430,000,000","2017 est.","14","South Asia"
"Turkey","turkey","53,600,000,000","2017 est.","15","Middle East"
"Thailand","thailand","52,640,000,000","2017 est.","16","East Asia/Southeast Asia"
"Argentina","argentina","49,040,000,000","2017 est.","17","South America"
"Korea, South","korea-south","45,280,000,000","2017 est.","18","East Asia/Southeast Asia"
"Australia","australia","45,250,000,000","2017 est.","19","Australia - Oceania"
"Pakistan","pakistan","45,050,000,000","2017 est.","20","South Asia"
"Netherlands","netherlands","43,380,000,000","2017 est.","21","Europe"
"Uzbekistan","uzbekistan","43,070,000,000","2017 est.","22","Central Asia"
"Indonesia","indonesia","42,320,000,000","2017 est.","23","East Asia/Southeast Asia"
"France","france","41,880,000,000","2017 est.","24","Europe"
"Algeria","algeria","41,280,000,000","2017 est.","25","Africa"
"Qatar","qatar","39,900,000,000","2017 est.","26","Middle East"
"Turkmenistan","turkmenistan","39,310,000,000","2017 est.","27","Central Asia"
"Brazil","brazil","34,350,000,000","2017 est.","28","South America"
"Spain","spain","31,270,000,000","2017 est.","29","Europe"
"Ukraine","ukraine","30,920,000,000","2017 est.","30","Europe"
"Malaysia","malaysia","30,440,000,000","2017 est.","31","East Asia/Southeast Asia"
"Bangladesh","bangladesh","29,530,000,000","2017 est.","32","South Asia"
"Venezuela","venezuela","24,210,000,000","2017 est.","33","South America"
"Taiwan","taiwan","22,450,000,000","2017 est.","34","East Asia/Southeast Asia"
