name,slug,value,date_of_information,ranking,region
"Russia","russia","210,200,000,000","2017 est.","1","Central Asia"
"Qatar","qatar","126,500,000,000","2017 est.","2","Middle East"
"Norway","norway","120,200,000,000","2017 est.","3","Europe"
"United States","united-states","89,700,000,000","2017 est.","4","North America"
"Canada","canada","83,960,000,000","2017 est.","5","North America"
"Australia","australia","67,960,000,000","2017 est.","6","Australia - Oceania"
"Algeria","algeria","53,880,000,000","2017 est.","7","Africa"
"Netherlands","netherlands","51,250,000,000","2017 est.","8","Europe"
"Malaysia","malaysia","38,230,000,000","2017 est.","9","East Asia/Southeast Asia"
"Turkmenistan","turkmenistan","38,140,000,000","2017 est.","10","Central Asia"
"Germany","germany","34,610,000,000","2017 est.","11","Europe"
"Indonesia","indonesia","29,780,000,000","2017 est.","12","East Asia/Southeast Asia"
"Nigeria","nigeria","27,210,000,000","2017 est.","13","Africa"
"Trinidad and Tobago","trinidad-and-tobago","15,490,000,000","2017 est.","14","Central America"
"Bolivia","bolivia","15,460,000,000","2017 est.","15","South America"
"Burma","burma","14,070,000,000","2017 est.","16","East Asia/Southeast Asia"
"Kazakhstan","kazakhstan","12,800,000,000","2017 est.","17","Central Asia"
"Iran","iran","11,640,000,000","2017 est.","18","Middle East"
"United Kingdom","united-kingdom","11,270,000,000","2017 est.","19","Europe"
"Oman","oman","11,160,000,000","2017 est.","20","Middle East"
"Papua New Guinea","papua-new-guinea","11,100,000,000","2017 est.","21","East Asia/Southeast Asia"
"Uzbekistan","uzbekistan","9,401,000,000","2017 est.","22","Central Asia"
"Brunei","brunei","8,268,000,000","2017 est.","23","East Asia/Southeast Asia"
"Azerbaijan","azerbaijan","8,042,000,000","2017 est.","24","Middle East"
"United Arab Emirates","united-arab-emirates","7,504,000,000","2017 est.","25","Middle East"
"France","france","6,031,000,000","2017 est.","26","Europe"
"Timor-Leste","timor-leste","5,776,000,000","2017 est.","27","East Asia/Southeast Asia"
"Peru","peru","5,505,000,000","2017 est.","28","South America"
"Austria","austria","5,437,000,000","2017 est.","29","Europe"
"Equatorial Guinea","equatorial-guinea","4,878,000,000","2017 est.","30","Africa"
"Libya","libya","4,644,000,000","2017 est.","31","Africa"
"Mozambique","mozambique","4,162,000,000","2017 est.","32","Africa"
"Angola","angola","3,993,000,000","2017 est.","33","Africa"
"Hungary","hungary","3,520,000,000","2017 est.","34","Europe"
"China","china","3,370,000,000","2017 est.","35","East Asia/Southeast Asia"
"Spain","spain","2,888,000,000","2017 est.","36","Europe"
"Denmark","denmark","2,237,000,000","2017 est.","37","Europe"
"Jordan","jordan","1,359,000,000","2017 est.","38","Middle East"
"Poland","poland","1,246,000,000","2017 est.","39","Europe"
"Belgium","belgium","736,200,000","2017 est.","40","Europe"
"Singapore","singapore","622,900,000","2017 est.","41","East Asia/Southeast Asia"
"Turkey","turkey","622,900,000","2017 est.","42","Middle East"
"Chile","chile","277,500,000","2017 est.","43","South America"
"Italy","italy","271,800,000","2017 est.","44","Europe"
"Egypt","egypt","212,400,000","2017 est.","45","Africa"
"Croatia","croatia","172,700,000","2017 est.","46","Europe"
"Japan","japan","169,900,000","2017 est.","47","East Asia/Southeast Asia"
"Brazil","brazil","134,500,000","2017 est.","48","South America"
"Argentina","argentina","76,450,000","2017 est.","49","South America"
"India","india","76,450,000","2017 est.","50","South Asia"
"Mexico","mexico","36,810,000","2017 est.","51","North America"
"Bulgaria","bulgaria","31,150,000","2017 est.","52","Europe"
"Romania","romania","22,650,000","2017 est.","53","Europe"
"Finland","finland","4,000,000","2017 est.","54","Europe"
"Slovenia","slovenia","2,832,000","2017 est.","55","Europe"
"Aruba","aruba","1","2017 est.","56","Central America"
"Afghanistan","afghanistan","0","2017 est.","57","South Asia"
"Albania","albania","0","2017 est.","58","Europe"
"American Samoa","american-samoa","0","2017 est.","59","Australia - Oceania"
"Andorra","andorra","0","2016","60","Europe"
"Antigua and Barbuda","antigua-and-barbuda","0","2017 est.","61","Central America"
"Armenia","armenia","0","2017 est.","62","Middle East"
"Bahamas, The","bahamas-the","0","2017 est.","63","Central America"
"Bahrain","bahrain","0","2017 est.","64","Middle East"
"Bangladesh","bangladesh","0","2017 est.","65","South Asia"
"Barbados","barbados","0","2017 est.","66","Central America"
"Belarus","belarus","0","2017 est.","67","Europe"
"Belize","belize","0","2017 est.","68","Central America"
"Benin","benin","0","2017 est.","69","Africa"
"Bermuda","bermuda","0","2017 est.","70","North America"
"Bhutan","bhutan","0","2017 est.","71","South Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","0","2017 est.","72","Europe"
"Botswana","botswana","0","2017 est.","73","Africa"
"British Virgin Islands","british-virgin-islands","0","2017 est.","74","Central America"
"Burkina Faso","burkina-faso","0","2017 est.","75","Africa"
"Burundi","burundi","0","2017 est.","76","Africa"
"Cabo Verde","cabo-verde","0","2017 est.","77","Africa"
"Cambodia","cambodia","0","2017 est.","78","East Asia/Southeast Asia"
"Cameroon","cameroon","0","2017 est.","79","Africa"
"Cayman Islands","cayman-islands","0","2017 est.","80","Central America"
"Central African Republic","central-african-republic","0","2017 est.","81","Africa"
"Chad","chad","0","2017 est.","82","Africa"
"Colombia","colombia","0","2017 est.","83","South America"
"Comoros","comoros","0","2017 est.","84","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","0","2017 est.","85","Africa"
"Congo, Republic of the","congo-republic-of-the","0","2017 est.","86","Africa"
"Cook Islands","cook-islands","0","2017 est.","87","Australia - Oceania"
"Costa Rica","costa-rica","0","2017 est.","88","Central America"
"Cote d'Ivoire","cote-divoire","0","2017 est.","89","Africa"
"Cuba","cuba","0","2017 est.","90","Central America"
"Curacao","curacao","0","2009 est.","91","Central America"
"Cyprus","cyprus","0","2017 est.","92","Europe"
"Czechia","czechia","0","2017 est.","93","Europe"
"Djibouti","djibouti","0","2017 est.","94","Africa"
"Dominica","dominica","0","2017 est.","95","Central America"
"Dominican Republic","dominican-republic","0","2017 est.","96","Central America"
"Ecuador","ecuador","0","2017 est.","97","South America"
"El Salvador","el-salvador","0","2017 est.","98","Central America"
"Eritrea","eritrea","0","2017 est.","99","Africa"
"Estonia","estonia","0","2017 est.","100","Europe"
"Eswatini","eswatini","0","2017 est.","101","Africa"
"Ethiopia","ethiopia","0","2017 est.","102","Africa"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","0","2017 est.","103","South America"
"Faroe Islands","faroe-islands","0","2017 est.","104","Europe"
"Fiji","fiji","0","2017 est.","105","Australia - Oceania"
"French Polynesia","french-polynesia","0","2017 est.","106","Australia - Oceania"
"Gabon","gabon","0","2017 est.","107","Africa"
"Gambia, The","gambia-the","0","2017 est.","108","Africa"
"Georgia","georgia","0","2017 est.","109","Middle East"
"Ghana","ghana","0","2017 est.","110","Africa"
"Gibraltar","gibraltar","0","2017 est.","111","Europe"
"Greece","greece","0","2017 est.","112","Europe"
"Greenland","greenland","0","2017 est.","113","North America"
"Grenada","grenada","0","2017 est.","114","Central America"
"Guam","guam","0","2017 est.","115","Australia - Oceania"
"Guatemala","guatemala","0","2017 est.","116","Central America"
"Guinea","guinea","0","2017 est.","117","Africa"
"Guinea-Bissau","guinea-bissau","0","2017 est.","118","Africa"
