name,slug,value,date_of_information,ranking,region
"Germany","germany","119,500,000,000","2017 est.","1","Europe"
"Japan","japan","116,600,000,000","2017 est.","2","East Asia/Southeast Asia"
"China","china","97,630,000,000","2017 est.","3","East Asia/Southeast Asia"
"United States","united-states","86,150,000,000","2017 est.","4","North America"
"Italy","italy","69,660,000,000","2017 est.","5","Europe"
"Turkey","turkey","55,130,000,000","2017 est.","6","Middle East"
"Netherlands","netherlands","51,000,000,000","2017 est.","7","Europe"
"Mexico","mexico","50,120,000,000","2017 est.","8","North America"
"Korea, South","korea-south","48,650,000,000","2017 est.","9","East Asia/Southeast Asia"
"France","france","48,590,000,000","2017 est.","10","Europe"
"United Kingdom","united-kingdom","47,000,000,000","2017 est.","11","Europe"
"Spain","spain","34,630,000,000","2017 est.","12","Europe"
"Canada","canada","26,360,000,000","2017 est.","13","North America"
"India","india","23,960,000,000","2017 est.","14","South Asia"
"Taiwan","taiwan","22,140,000,000","2017 est.","15","East Asia/Southeast Asia"
"United Arab Emirates","united-arab-emirates","20,220,000,000","2017 est.","16","Middle East"
"Belgium","belgium","18,090,000,000","2017 est.","17","Europe"
"Belarus","belarus","17,530,000,000","2017 est.","18","Europe"
"Russia","russia","15,770,000,000","2017 est.","19","Central Asia"
"Poland","poland","15,720,000,000","2017 est.","20","Europe"
"Thailand","thailand","14,410,000,000","2017 est.","21","East Asia/Southeast Asia"
"Austria","austria","14,020,000,000","2017 est.","22","Europe"
"Singapore","singapore","13,480,000,000","2017 est.","23","East Asia/Southeast Asia"
"Hungary","hungary","13,370,000,000","2017 est.","24","Europe"
"Ukraine","ukraine","12,970,000,000","2017 est.","25","Europe"
"Brazil","brazil","10,510,000,000","2017 est.","26","South America"
"Argentina","argentina","9,826,000,000","2017 est.","27","South America"
"Czechia","czechia","8,891,000,000","2017 est.","28","Europe"
"Egypt","egypt","7,079,000,000","2017 est.","29","Africa"
"Portugal","portugal","6,541,000,000","2017 est.","30","Europe"
"Jordan","jordan","6,456,000,000","2017 est.","31","Middle East"
"Pakistan","pakistan","6,003,000,000","2017 est.","32","South Asia"
"Australia","australia","5,776,000,000","2017 est.","33","Australia - Oceania"
"Kazakhstan","kazakhstan","5,748,000,000","2017 est.","34","Central Asia"
"Kuwait","kuwait","5,125,000,000","2017 est.","35","Middle East"
"Greece","greece","4,984,000,000","2017 est.","36","Europe"
"Slovakia","slovakia","4,984,000,000","2017 est.","37","Europe"
"Chile","chile","4,446,000,000","2017 est.","38","South America"
"South Africa","south-africa","4,162,000,000","2017 est.","39","Africa"
"Iran","iran","3,993,000,000","2017 est.","40","Middle East"
