name,slug,value,date_of_information,ranking,region
"United States","united-states","772,800,000,000","2017 est.","1","North America"
"Russia","russia","665,600,000,000","2017 est.","2","Central Asia"
"Iran","iran","214,500,000,000","2017 est.","3","Middle East"
"Qatar","qatar","166,400,000,000","2017 est.","4","Middle East"
"Canada","canada","159,100,000,000","2017 est.","5","North America"
"China","china","145,900,000,000","2017 est.","6","East Asia/Southeast Asia"
"Norway","norway","123,900,000,000","2017 est.","7","Europe"
"Saudi Arabia","saudi-arabia","109,300,000,000","2017 est.","8","Middle East"
"Australia","australia","105,200,000,000","2017 est.","9","Australia - Oceania"
"Algeria","algeria","93,500,000,000","2017 est.","10","Africa"
"Turkmenistan","turkmenistan","77,450,000,000","2017 est.","11","Central Asia"
"Indonesia","indonesia","72,090,000,000","2017 est.","12","East Asia/Southeast Asia"
"Malaysia","malaysia","69,490,000,000","2017 est.","13","East Asia/Southeast Asia"
"United Arab Emirates","united-arab-emirates","62,010,000,000","2017 est.","14","Middle East"
"Uzbekistan","uzbekistan","52,100,000,000","2017 est.","15","Central Asia"
"Egypt","egypt","50,860,000,000","2017 est.","16","Africa"
"Netherlands","netherlands","45,330,000,000","2017 est.","17","Europe"
"Nigeria","nigeria","44,480,000,000","2017 est.","18","Africa"
"United Kingdom","united-kingdom","42,110,000,000","2017 est.","19","Europe"
"Argentina","argentina","40,920,000,000","2017 est.","20","South America"
"Pakistan","pakistan","39,050,000,000","2017 est.","21","South Asia"
"Thailand","thailand","38,590,000,000","2017 est.","22","East Asia/Southeast Asia"
"Trinidad and Tobago","trinidad-and-tobago","36,730,000,000","2017 est.","23","Central America"
"Mexico","mexico","31,570,000,000","2017 est.","24","North America"
"India","india","31,540,000,000","2017 est.","25","South Asia"
"Oman","oman","31,230,000,000","2017 est.","26","Middle East"
"Bangladesh","bangladesh","29,530,000,000","2017 est.","27","South Asia"
"Venezuela","venezuela","27,070,000,000","2017 est.","28","South America"
"Brazil","brazil","23,960,000,000","2017 est.","29","South America"
"Kazakhstan","kazakhstan","22,410,000,000","2017 est.","30","Central Asia"
"Ukraine","ukraine","19,730,000,000","2017 est.","31","Europe"
"Bolivia","bolivia","18,690,000,000","2017 est.","32","South America"
"Burma","burma","18,410,000,000","2017 est.","33","East Asia/Southeast Asia"
"Kuwait","kuwait","17,100,000,000","2017 est.","34","Middle East"
"Azerbaijan","azerbaijan","16,960,000,000","2017 est.","35","Middle East"
"Bahrain","bahrain","15,890,000,000","2017 est.","36","Middle East"
"Peru","peru","12,990,000,000","2017 est.","37","South America"
"Brunei","brunei","12,740,000,000","2017 est.","38","East Asia/Southeast Asia"
"Papua New Guinea","papua-new-guinea","11,180,000,000","2017 est.","39","East Asia/Southeast Asia"
"Romania","romania","10,870,000,000","2017 est.","40","Europe"
"Colombia","colombia","10,020,000,000","2017 est.","41","South America"
"Israel","israel","9,826,000,000","2017 est.","42","Middle East"
"Libya","libya","9,089,000,000","2017 est.","43","Africa"
"Vietnam","vietnam","8,098,000,000","2017 est.","44","East Asia/Southeast Asia"
"Germany","germany","7,900,000,000","2017 est.","45","Europe"
"Equatorial Guinea","equatorial-guinea","6,069,000,000","2017 est.","46","Africa"
"Mozambique","mozambique","6,003,000,000","2017 est.","47","Africa"
"Timor-Leste","timor-leste","5,776,000,000","2017 est.","48","East Asia/Southeast Asia"
"Poland","poland","5,748,000,000","2017 est.","49","Europe"
"Italy","italy","5,550,000,000","2017 est.","50","Europe"
"New Zealand","new-zealand","5,097,000,000","2017 est.","51","Australia - Oceania"
"Denmark","denmark","4,842,000,000","2017 est.","52","Europe"
"Syria","syria","3,738,000,000","2017 est.","53","Middle East"
"Ireland","ireland","3,511,000,000","2017 est.","54","Europe"
"Angola","angola","3,115,000,000","2017 est.","55","Africa"
"Tanzania","tanzania","3,115,000,000","2017 est.","56","Africa"
"Japan","japan","3,058,000,000","2017 est.","57","East Asia/Southeast Asia"
"Philippines","philippines","3,058,000,000","2017 est.","58","East Asia/Southeast Asia"
"Cote d'Ivoire","cote-divoire","2,322,000,000","2017 est.","59","Africa"
"Hungary","hungary","1,812,000,000","2017 est.","60","Europe"
"Congo, Republic of the","congo-republic-of-the","1,387,000,000","2017 est.","61","Africa"
"Austria","austria","1,274,000,000","2017 est.","62","Europe"
"Iraq","iraq","1,274,000,000","2017 est.","63","Middle East"
"Tunisia","tunisia","1,274,000,000","2017 est.","64","Africa"
"Chile","chile","1,218,000,000","2017 est.","65","South America"
"Cuba","cuba","1,189,000,000","2017 est.","66","Central America"
"Croatia","croatia","1,048,000,000","2017 est.","67","Europe"
"Ghana","ghana","914,400,000","2017 est.","68","Africa"
"Cameroon","cameroon","910,400,000","2017 est.","69","Africa"
"South Africa","south-africa","906,100,000","2017 est.","70","Africa"
"Serbia","serbia","509,700,000","2017 est.","71","Europe"
"Yemen","yemen","481,400,000","2017 est.","72","Middle East"
"Ecuador","ecuador","477,800,000","2017 est.","73","South America"
"Gabon","gabon","401,000,000","2017 est.","74","Africa"
"Turkey","turkey","368,100,000","2017 est.","75","Middle East"
"Korea, South","korea-south","339,800,000","2017 est.","76","East Asia/Southeast Asia"
"Taiwan","taiwan","237,900,000","2017 est.","77","East Asia/Southeast Asia"
"Czechia","czechia","229,400,000","2017 est.","78","Europe"
"Afghanistan","afghanistan","164,200,000","2017 est.","79","South Asia"
"Jordan","jordan","121,800,000","2017 est.","80","Middle East"
"Slovakia","slovakia","104,800,000","2017 est.","81","Europe"
"Morocco","morocco","87,780,000","2017 est.","82","Africa"
"Bulgaria","bulgaria","79,280,000","2017 est.","83","Europe"
"Belarus","belarus","59,460,000","2017 est.","84","Europe"
"Senegal","senegal","59,460,000","2017 est.","85","Africa"
"Albania","albania","50,970,000","2017 est.","86","Europe"
"Spain","spain","36,810,000","2017 est.","87","Europe"
"Kyrgyzstan","kyrgyzstan","28,320,000","2017 est.","88","Central Asia"
"Tajikistan","tajikistan","19,820,000","2017 est.","89","Central Asia"
"France","france","16,990,000","2017 est.","90","Europe"
"Barbados","barbados","14,160,000","2017 est.","91","Central America"
"Moldova","moldova","11,330,000","2017 est.","92","Europe"
"Greece","greece","8,000,000","2017 est.","93","Europe"
"Slovenia","slovenia","8,000,000","2017 est.","94","Europe"
"Georgia","georgia","7,363,000","2017 est.","95","Middle East"
"Aruba","aruba","1","2017 est.","96","Central America"
"American Samoa","american-samoa","0","2017 est.","97","Australia - Oceania"
"Andorra","andorra","0","2016","98","Europe"
"Antigua and Barbuda","antigua-and-barbuda","0","2017 est.","99","Central America"
"Armenia","armenia","0","2017 est.","100","Middle East"
"Bahamas, The","bahamas-the","0","2017 est.","101","Central America"
"Belgium","belgium","0","2017 est.","102","Europe"
"Belize","belize","0","2017 est.","103","Central America"
"Benin","benin","0","2017 est.","104","Africa"
"Bermuda","bermuda","0","2017 est.","105","North America"
"Bhutan","bhutan","0","2017 est.","106","South Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","0","2017 est.","107","Europe"
"Botswana","botswana","0","2017 est.","108","Africa"
"British Virgin Islands","british-virgin-islands","0","2017 est.","109","Central America"
"Burkina Faso","burkina-faso","0","2017 est.","110","Africa"
"Burundi","burundi","0","2017 est.","111","Africa"
"Cabo Verde","cabo-verde","0","2017 est.","112","Africa"
"Cambodia","cambodia","0","2017 est.","113","East Asia/Southeast Asia"
"Cayman Islands","cayman-islands","0","2017 est.","114","Central America"
"Central African Republic","central-african-republic","0","2017 est.","115","Africa"
"Chad","chad","0","2017 est.","116","Africa"
"Comoros","comoros","0","2017 est.","117","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","0","2017 est.","118","Africa"
"Cook Islands","cook-islands","0","2017 est.","119","Australia - Oceania"
"Costa Rica","costa-rica","0","2017 est.","120","Central America"
"Curacao","curacao","0","2009 est.","121","Central America"
"Cyprus","cyprus","0","2017 est.","122","Europe"
"Djibouti","djibouti","0","2017 est.","123","Africa"
"Dominica","dominica","0","2017 est.","124","Central America"
"Dominican Republic","dominican-republic","0","2017 est.","125","Central America"
