name,slug,value,date_of_information,ranking,region
"Russia","russia","47,800,000,000,000","1 January 2018 est.","1","Central Asia"
"Iran","iran","33,720,000,000,000","1 January 2018 est.","2","Middle East"
"Qatar","qatar","24,070,000,000,000","1 January 2018 est.","3","Middle East"
"Saudi Arabia","saudi-arabia","8,619,000,000,000","1 January 2018 est.","4","Middle East"
"Turkmenistan","turkmenistan","7,504,000,000,000","1 January 2018 est.","5","Central Asia"
"United Arab Emirates","united-arab-emirates","6,091,000,000,000","1 January 2018 est.","6","Middle East"
"Venezuela","venezuela","5,739,000,000,000","1 January 2018 est.","7","South America"
"Nigeria","nigeria","5,475,000,000,000","1 January 2018 est.","8","Africa"
"China","china","5,440,000,000,000","1 January 2018 est.","9","East Asia/Southeast Asia"
"Algeria","algeria","4,504,000,000,000","1 January 2018 est.","10","Africa"
"Iraq","iraq","3,820,000,000,000","1 January 2018 est.","11","Middle East"
"Indonesia","indonesia","2,866,000,000,000","1 January 2018 est.","12","East Asia/Southeast Asia"
"Mozambique","mozambique","2,832,000,000,000","1 January 2018 est.","13","Africa"
"Kazakhstan","kazakhstan","2,407,000,000,000","1 January 2018 est.","14","Central Asia"
"Egypt","egypt","2,186,000,000,000","1 January 2018 est.","15","Africa"
"Canada","canada","2,056,000,000,000","1 January 2018 est.","16","North America"
"Australia","australia","1,989,000,000,000","1 January 2018 est.","17","Australia - Oceania"
"Uzbekistan","uzbekistan","1,841,000,000,000","1 January 2018 est.","18","Central Asia"
"Kuwait","kuwait","1,784,000,000,000","1 January 2018 est.","19","Middle East"
"Norway","norway","1,782,000,000,000","1 January 2018 est.","20","Europe"
"Libya","libya","1,505,000,000,000","1 January 2018 est.","21","Africa"
"India","india","1,290,000,000,000","1 January 2018 est.","22","South Asia"
"Malaysia","malaysia","1,183,000,000,000","1 January 2018 est.","23","East Asia/Southeast Asia"
"Ukraine","ukraine","1,104,000,000,000","1 January 2018 est.","24","Europe"
"Azerbaijan","azerbaijan","991,100,000,000","1 January 2018 est.","25","Middle East"
"Netherlands","netherlands","801,400,000,000","1 January 2018 est.","26","Europe"
"Vietnam","vietnam","699,400,000,000","1 January 2018 est.","27","East Asia/Southeast Asia"
"Oman","oman","651,300,000,000","1 January 2018 est.","28","Middle East"
"Burma","burma","637,100,000,000","1 January 2018 est.","29","East Asia/Southeast Asia"
"Pakistan","pakistan","588,800,000,000","1 January 2018 est.","30","South Asia"
"Yemen","yemen","478,500,000,000","1 January 2018 est.","31","Middle East"
"Peru","peru","455,900,000,000","1 January 2018 est.","32","South America"
"Trinidad and Tobago","trinidad-and-tobago","447,400,000,000","1 January 2018 est.","33","Central America"
"Brazil","brazil","377,400,000,000","1 January 2018 est.","34","South America"
"Argentina","argentina","336,600,000,000","1 January 2018 est.","35","South America"
"Angola","angola","308,100,000,000","1 January 2018 est.","36","Africa"
"Bolivia","bolivia","295,900,000,000","1 January 2018 est.","37","South America"
"Mexico","mexico","279,800,000,000","1 January 2018 est.","38","North America"
"Brunei","brunei","260,500,000,000","1 January 2018 est.","39","East Asia/Southeast Asia"
"Syria","syria","240,700,000,000","1 January 2018 est.","40","Middle East"
"Papua New Guinea","papua-new-guinea","210,500,000,000","1 January 2018 est.","41","East Asia/Southeast Asia"
"Timor-Leste","timor-leste","200,000,000,000","1 January 2006 est.","42","East Asia/Southeast Asia"
"Thailand","thailand","193,400,000,000","1 January 2018 est.","43","East Asia/Southeast Asia"
"Bangladesh","bangladesh","185,800,000,000","1 January 2018 est.","44","South Asia"
"Israel","israel","176,000,000,000","1 January 2018 est.","45","Middle East"
"United Kingdom","united-kingdom","176,000,000,000","1 January 2018 est.","46","Europe"
"Cyprus","cyprus","141,600,000,000","1 January 2014 est.","47","Europe"
"Cameroon","cameroon","135,100,000,000","1 January 2018 est.","48","Africa"
"Colombia","colombia","113,900,000,000","1 January 2018 est.","49","South America"
"Romania","romania","105,500,000,000","1 January 2018 est.","50","Europe"
"Philippines","philippines","98,540,000,000","1 January 2018 est.","51","East Asia/Southeast Asia"
"Chile","chile","97,970,000,000","1 January 2018 est.","52","South America"
"Bahrain","bahrain","92,030,000,000","1 January 2018 est.","53","Middle East"
"Congo, Republic of the","congo-republic-of-the","90,610,000,000","1 January 2018 est.","54","Africa"
"Sudan","sudan","84,950,000,000","1 January 2018 est.","55","Africa"
