name,slug,value,date_of_information,ranking,region
"Nauru","nauru","61.00","2016","1","Australia - Oceania"
"Cook Islands","cook-islands","55.90","2016","2","Australia - Oceania"
"Palau","palau","55.30","2016","3","Australia - Oceania"
"Marshall Islands","marshall-islands","52.90","2016","4","Australia - Oceania"
"Tuvalu","tuvalu","51.60","2016","5","Australia - Oceania"
"Niue","niue","50.00","2016","6","Australia - Oceania"
"Tonga","tonga","48.20","2016","7","Australia - Oceania"
"Samoa","samoa","47.30","2016","8","Australia - Oceania"
"Kiribati","kiribati","46.00","2016","9","Australia - Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","45.80","2016","10","Australia - Oceania"
"Kuwait","kuwait","37.90","2016","11","Middle East"
"United States","united-states","36.20","2016","12","North America"
"Jordan","jordan","35.50","2016","13","Middle East"
"Saudi Arabia","saudi-arabia","35.40","2016","14","Middle East"
"Qatar","qatar","35.10","2016","15","Middle East"
"Libya","libya","32.50","2016","16","Africa"
"Turkey","turkey","32.10","2016","17","Middle East"
"Egypt","egypt","32.00","2016","18","Africa"
"Lebanon","lebanon","32.00","2016","19","Middle East"
"United Arab Emirates","united-arab-emirates","31.70","2016","20","Middle East"
"Bahamas, The","bahamas-the","31.60","2016","21","Central America"
"New Zealand","new-zealand","30.80","2016","22","Australia - Oceania"
"Iraq","iraq","30.40","2016","23","Middle East"
"Fiji","fiji","30.20","2016","24","Australia - Oceania"
"Bahrain","bahrain","29.80","2016","25","Middle East"
"Canada","canada","29.40","2016","26","North America"
"Australia","australia","29.00","2016","27","Australia - Oceania"
"Malta","malta","28.90","2016","28","Europe"
"Mexico","mexico","28.90","2016","29","North America"
"Argentina","argentina","28.30","2016","30","South America"
"South Africa","south-africa","28.30","2016","31","Africa"
"Chile","chile","28.00","2016","32","South America"
"Dominica","dominica","27.90","2016","33","Central America"
"Uruguay","uruguay","27.90","2016","34","South America"
"Syria","syria","27.80","2016","35","Middle East"
"United Kingdom","united-kingdom","27.80","2016","36","Europe"
"Dominican Republic","dominican-republic","27.60","2016","37","Central America"
"Algeria","algeria","27.40","2016","38","Africa"
"Oman","oman","27.00","2016","39","Middle East"
"Tunisia","tunisia","26.90","2016","40","Africa"
"Hungary","hungary","26.40","2016","41","Europe"
"Suriname","suriname","26.40","2016","42","South America"
"Lithuania","lithuania","26.30","2016","43","Europe"
"Israel","israel","26.10","2016","44","Middle East"
"Morocco","morocco","26.10","2016","45","Africa"
"Czechia","czechia","26.00","2016","46","Europe"
"Iran","iran","25.80","2016","47","Middle East"
"Costa Rica","costa-rica","25.70","2016","48","Central America"
"Andorra","andorra","25.60","2016","49","Europe"
"Venezuela","venezuela","25.60","2016","50","South America"
"Ireland","ireland","25.30","2016","51","Europe"
"Vanuatu","vanuatu","25.20","2016","52","Australia - Oceania"
"Bulgaria","bulgaria","25.00","2016","53","Europe"
"Greece","greece","24.90","2016","54","Europe"
"Jamaica","jamaica","24.70","2016","55","Central America"
"Cuba","cuba","24.60","2016","56","Central America"
"El Salvador","el-salvador","24.60","2016","57","Central America"
"Belarus","belarus","24.50","2016","58","Europe"
"Croatia","croatia","24.40","2016","59","Europe"
"Belize","belize","24.10","2016","60","Central America"
"Ukraine","ukraine","24.10","2016","61","Europe"
"Spain","spain","23.80","2016","62","Europe"
"Nicaragua","nicaragua","23.70","2016","63","Central America"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","23.70","2016","64","Central America"
"Latvia","latvia","23.60","2016","65","Europe"
"Montenegro","montenegro","23.30","2016","66","Europe"
"Barbados","barbados","23.10","2016","67","Central America"
"Norway","norway","23.10","2016","68","Europe"
"Poland","poland","23.10","2016","69","Europe"
"Russia","russia","23.10","2016","70","Central Asia"
"Saint Kitts and Nevis","saint-kitts-and-nevis","22.90","2016","71","Central America"
"Haiti","haiti","22.70","2016","72","Central America"
"Panama","panama","22.70","2016","73","Central America"
"Luxembourg","luxembourg","22.60","2016","74","Europe"
"Romania","romania","22.50","2016","75","Europe"
"Solomon Islands","solomon-islands","22.50","2016","76","Australia - Oceania"
"Colombia","colombia","22.30","2016","78","South America"
