name,slug,value,date_of_information,ranking,region
"Saudi Arabia","saudi-arabia","7,341,000","2015 est.","1","Middle East"
"Russia","russia","4,921,000","2015 est.","2","Central Asia"
"Iraq","iraq","3,092,000","2015 est.","3","Middle East"
"Canada","canada","2,818,000","2017 est.","4","North America"
"United Arab Emirates","united-arab-emirates","2,552,000","2015 est.","5","Middle East"
"Nigeria","nigeria","2,096,000","2015 est.","6","Africa"
"Angola","angola","1,782,000","2015 est.","7","Africa"
"Venezuela","venezuela","1,656,000","2015 est.","8","South America"
"Kazakhstan","kazakhstan","1,409,000","2015 est.","9","Central Asia"
"Norway","norway","1,383,000","2017 est.","10","Europe"
"Mexico","mexico","1,214,000","2017 est.","11","North America"
"United States","united-states","1,158,000","2017 est.","12","North America"
"Qatar","qatar","1,150,000","2015 est.","13","Middle East"
"Oman","oman","844,100","2015 est.","14","Middle East"
"Algeria","algeria","756,400","2015 est.","15","Africa"
"Iran","iran","750,200","2015 est.","16","Middle East"
"Brazil","brazil","736,600","2015 est.","17","South America"
"Colombia","colombia","726,700","2015 est.","18","South America"
"Azerbaijan","azerbaijan","718,800","2015 est.","19","Middle East"
"United Kingdom","united-kingdom","710,600","2017 est.","20","Europe"
"Kuwait","kuwait","479,700","2015 est.","21","Middle East"
"Ecuador","ecuador","383,500","2017 est.","22","South America"
"Libya","libya","337,800","2015 est.","23","Africa"
"Malaysia","malaysia","326,200","2015 est.","24","East Asia/Southeast Asia"
"Vietnam","vietnam","324,600","2015 est.","25","East Asia/Southeast Asia"
"Equatorial Guinea","equatorial-guinea","308,700","2017 est.","26","Africa"
"Indonesia","indonesia","302,300","2015 est.","27","East Asia/Southeast Asia"
"Congo, Republic of the","congo-republic-of-the","254,100","2015 est.","28","Africa"
"Egypt","egypt","246,500","2017 est.","29","Africa"
"Gabon","gabon","214,200","2017 est.","30","Africa"
"Australia","australia","192,500","2017 est.","31","Australia - Oceania"
"South Sudan","south-sudan","147,300","2015 est.","32","Africa"
"Brunei","brunei","127,400","2015 est.","33","East Asia/Southeast Asia"
"Ghana","ghana","104,000","2017 est.","34","Africa"
"Cameroon","cameroon","96,370","2015 est.","35","Africa"
"Denmark","denmark","82,980","2017 est.","36","Europe"
"Chad","chad","70,440","2015 est.","37","Africa"
"Turkmenistan","turkmenistan","67,790","2015 est.","38","Central Asia"
"Timor-Leste","timor-leste","62,060","2015 est.","39","East Asia/Southeast Asia"
"China","china","57,310","2015 est.","40","East Asia/Southeast Asia"
"Papua New Guinea","papua-new-guinea","55,600","2015 est.","41","East Asia/Southeast Asia"
"Tunisia","tunisia","39,980","2015 est.","42","Africa"
"Argentina","argentina","36,630","2015 est.","43","South America"
"Belarus","belarus","31,730","2015 est.","44","Europe"
"Trinidad and Tobago","trinidad-and-tobago","31,030","2015 est.","45","Central America"
"Uzbekistan","uzbekistan","27,000","2015 est.","46","Central Asia"
"Cote d'Ivoire","cote-divoire","26,700","2015 est.","47","Africa"
"New Zealand","new-zealand","26,440","2017 est.","48","Australia - Oceania"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","20,000","2015 est.","49","Africa"
"Sudan","sudan","19,540","2015 est.","50","Africa"
"Albania","albania","17,290","2015 est.","51","Europe"
"Philippines","philippines","16,450","2015 est.","52","East Asia/Southeast Asia"
"Svalbard","svalbard","16,070","2012 est.","53","Europe"
"Singapore","singapore","14,780","2015 est.","54","East Asia/Southeast Asia"
"Sweden","sweden","14,570","2017 est.","55","Europe"
"Mongolia","mongolia","14,360","2015 est.","56","East Asia/Southeast Asia"
"Italy","italy","13,790","2017 est.","57","Europe"
"Pakistan","pakistan","13,150","2015 est.","58","South Asia"
"Guatemala","guatemala","9,383","2017 est.","59","Central America"
"Yemen","yemen","8,990","2015 est.","60","Middle East"
"Peru","peru","7,995","2015 est.","61","South America"
"Netherlands","netherlands","7,984","2017 est.","62","Europe"
"Germany","germany","6,569","2017 est.","63","Europe"
"Ireland","ireland","5,900","2017 est.","64","Europe"
"Mauritania","mauritania","5,333","2015 est.","65","Africa"
"Poland","poland","4,451","2017 est.","66","Europe"
"Greece","greece","3,229","2017 est.","67","Europe"
"Georgia","georgia","3,006","2017 est.","68","Middle East"
"Hungary","hungary","2,713","2017 est.","69","Europe"
"Romania","romania","2,076","2015 est.","70","Europe"
"Burma","burma","1,824","2015 est.","71","East Asia/Southeast Asia"
"Bolivia","bolivia","1,274","2015 est.","72","South America"
"Belize","belize","1,220","2015 est.","73","Central America"
"Slovakia","slovakia","1,022","2017 est.","74","Europe"
"Lithuania","lithuania","1,002","2015 est.","75","Europe"
"Thailand","thailand","790","2015 est.","76","East Asia/Southeast Asia"
"Barbados","barbados","674","2015 est.","77","Central America"
"Czechia","czechia","446","2017 est.","78","Europe"
"Ukraine","ukraine","413","2015 est.","79","Europe"
"Serbia","serbia","123","2015 est.","81","Europe"
"Afghanistan","afghanistan","0","2015 est.","82","South Asia"
"American Samoa","american-samoa","0","2015 est.","83","Australia - Oceania"
"Andorra","andorra","0","2016","84","Europe"
"Antigua and Barbuda","antigua-and-barbuda","0","2015 est.","85","Central America"
"Armenia","armenia","0","2015 est.","86","Middle East"
"Aruba","aruba","0","2015 est.","87","Central America"
"Austria","austria","0","2017 est.","88","Europe"
"Bahamas, The","bahamas-the","0","2015 est.","89","Central America"
"Bahrain","bahrain","0","2015 est.","90","Middle East"
"Bangladesh","bangladesh","0","2015 est.","91","South Asia"
"Belgium","belgium","0","2017 est.","92","Europe"
"Benin","benin","0","2015 est.","93","Africa"
"Bermuda","bermuda","0","2015 est.","94","North America"
"Bhutan","bhutan","0","2015 est.","95","South Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","0","2015 est.","96","Europe"
"Botswana","botswana","0","2015 est.","97","Africa"
"British Virgin Islands","british-virgin-islands","0","2015 est.","98","Central America"
"Bulgaria","bulgaria","0","2015 est.","99","Europe"
"Burkina Faso","burkina-faso","0","2015 est.","100","Africa"
"Burundi","burundi","0","2015 est.","101","Africa"
"Cabo Verde","cabo-verde","0","2015 est.","102","Africa"
"Cambodia","cambodia","0","2015 est.","103","East Asia/Southeast Asia"
"Cayman Islands","cayman-islands","0","2015 est.","104","Central America"
"Central African Republic","central-african-republic","0","2015 est.","105","Africa"
"Chile","chile","0","2017 est.","106","South America"
"Comoros","comoros","0","2015 est.","107","Africa"
"Cook Islands","cook-islands","0","2015 est.","108","Australia - Oceania"
"Costa Rica","costa-rica","0","2015 est.","109","Central America"
"Croatia","croatia","0","2015 est.","110","Europe"
"Cuba","cuba","0","2015 est.","111","Central America"
"Curacao","curacao","0","2015 est.","112","Central America"
"Cyprus","cyprus","0","2015 est.","113","Europe"
"Djibouti","djibouti","0","2015 est.","114","Africa"
"Dominica","dominica","0","2015 est.","115","Central America"
"Dominican Republic","dominican-republic","0","2015 est.","116","Central America"
"El Salvador","el-salvador","0","2015 est.","117","Central America"
"Eritrea","eritrea","0","2015 est.","118","Africa"
"Estonia","estonia","0","2015 est.","119","Europe"
"Eswatini","eswatini","0","2015 est.","120","Africa"
"Ethiopia","ethiopia","0","2015 est.","121","Africa"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","0","2015 est.","122","South America"
"Faroe Islands","faroe-islands","0","2015 est.","123","Europe"
"Fiji","fiji","0","2015 est.","124","Australia - Oceania"
"Finland","finland","0","2015 est.","125","Europe"
"France","france","0","2015 est.","126","Europe"
"French Polynesia","french-polynesia","0","2015 est.","127","Australia - Oceania"
"Gambia, The","gambia-the","0","2015 est.","128","Africa"
"Gibraltar","gibraltar","0","2015 est.","129","Europe"
"Greenland","greenland","0","2015 est.","130","North America"
"Grenada","grenada","0","2015 est.","131","Central America"
"Guam","guam","0","2015 est.","132","Australia - Oceania"
"Guinea","guinea","0","2015 est.","133","Africa"
"Guinea-Bissau","guinea-bissau","0","2015 est.","134","Africa"
"Guyana","guyana","0","2015 est.","135","South America"
"Haiti","haiti","0","2015 est.","136","Central America"
"Honduras","honduras","0","2015 est.","137","Central America"
"Hong Kong","hong-kong","0","2015 est.","138","East Asia/Southeast Asia"
"Iceland","iceland","0","2017 est.","139","Europe"
"India","india","0","2015 est.","140","South Asia"
"Israel","israel","0","2017 est.","141","Middle East"
"Jamaica","jamaica","0","2015 est.","142","Central America"
"Japan","japan","0","2017 est.","143","East Asia/Southeast Asia"
"Jordan","jordan","0","2015 est.","144","Middle East"
"Kenya","kenya","0","2015 est.","145","Africa"
"Kiribati","kiribati","0","2015 est.","146","Australia - Oceania"
"Korea, North","korea-north","0","2015 est.","147","East Asia/Southeast Asia"
"Korea, South","korea-south","0","2017 est.","148","East Asia/Southeast Asia"
"Kosovo","kosovo","0","2015 est.","149","Europe"
"Kyrgyzstan","kyrgyzstan","0","2015 est.","150","Central Asia"
"Laos","laos","0","2015 est.","151","East Asia/Southeast Asia"
"Latvia","latvia","0","2017 est.","152","Europe"
"Lebanon","lebanon","0","2015 est.","153","Middle East"
"Lesotho","lesotho","0","2015 est.","154","Africa"
"Liberia","liberia","0","2015 est.","155","Africa"
"Luxembourg","luxembourg","0","2017 est.","156","Europe"
"Macau","macau","0","2015 est.","157","East Asia/Southeast Asia"
"Madagascar","madagascar","0","2015 est.","158","Africa"
"Malawi","malawi","0","2015 est.","159","Africa"
"Maldives","maldives","0","2015 est.","160","South Asia"
"Mali","mali","0","2015 est.","161","Africa"
"Malta","malta","0","2015 est.","162","Europe"
"Marshall Islands","marshall-islands","0","2015 est.","163","Australia - Oceania"
"Mauritius","mauritius","0","2015 est.","164","Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","0","2014","165","Australia - Oceania"
"Moldova","moldova","0","2015 est.","166","Europe"
"Montenegro","montenegro","0","2015 est.","167","Europe"
"Montserrat","montserrat","0","2015 est.","168","Central America"
"Morocco","morocco","0","2015 est.","169","Africa"
"Mozambique","mozambique","0","2015 est.","170","Africa"
"Namibia","namibia","0","2015 est.","171","Africa"
"Nauru","nauru","0","2015 est.","172","Australia - Oceania"
"Nepal","nepal","0","2015 est.","173","South Asia"
"New Caledonia","new-caledonia","0","2015 est.","174","Australia - Oceania"
"Nicaragua","nicaragua","0","2015 est.","175","Central America"
"Niger","niger","0","2015 est.","176","Africa"
"Niue","niue","0","2015 est.","177","Australia - Oceania"
"Panama","panama","0","2015 est.","178","Central America"
"Paraguay","paraguay","0","2015 est.","179","South America"
"Portugal","portugal","0","2017 est.","180","Europe"
"Puerto Rico","puerto-rico","0","2015 est.","181","Central America"
"Rwanda","rwanda","0","2015 est.","182","Africa"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","0","2015 est.","183","Africa"
"Saint Kitts and Nevis","saint-kitts-and-nevis","0","2015 est.","184","Central America"
"Saint Lucia","saint-lucia","0","2015 est.","185","Central America"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","0","2015 est.","186","North America"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","0","2015 est.","187","Central America"
"Samoa","samoa","0","2015 est.","188","Australia - Oceania"
"Sao Tome and Principe","sao-tome-and-principe","0","2015 est.","189","Africa"
"Senegal","senegal","0","2015 est.","190","Africa"
"Seychelles","seychelles","0","2015 est.","191","Africa"
