name,slug,value,date_of_information,ranking,region
"United States","united-states","7,969,000","2017 est.","1","North America"
"China","china","6,710,000","2015 est.","2","East Asia/Southeast Asia"
"India","india","4,057,000","2015 est.","3","South Asia"
"Japan","japan","3,208,000","2017 est.","4","East Asia/Southeast Asia"
"Korea, South","korea-south","3,057,000","2017 est.","5","East Asia/Southeast Asia"
"Germany","germany","1,836,000","2017 est.","6","Europe"
"Italy","italy","1,341,000","2017 est.","7","Europe"
"Spain","spain","1,325,000","2017 est.","8","Europe"
"France","france","1,147,000","2017 est.","9","Europe"
"Netherlands","netherlands","1,094,000","2017 est.","10","Europe"
"United Kingdom","united-kingdom","907,100","2017 est.","11","Europe"
"Thailand","thailand","875,400","2015 est.","12","East Asia/Southeast Asia"
"Taiwan","taiwan","846,400","2015 est.","13","East Asia/Southeast Asia"
"Canada","canada","806,700","2017 est.","14","North America"
"Singapore","singapore","783,300","2015 est.","15","East Asia/Southeast Asia"
"Belgium","belgium","687,600","2017 est.","16","Europe"
"Turkey","turkey","521,500","2017 est.","17","Middle East"
"Indonesia","indonesia","498,500","2015 est.","18","East Asia/Southeast Asia"
"Poland","poland","493,100","2017 est.","19","Europe"
"Greece","greece","484,300","2017 est.","20","Europe"
"Belarus","belarus","468,400","2015 est.","21","Europe"
"South Africa","south-africa","404,000","2015 est.","22","Africa"
"Sweden","sweden","400,200","2017 est.","23","Europe"
"Australia","australia","341,700","2017 est.","24","Australia - Oceania"
"Brazil","brazil","297,700","2015 est.","25","South America"
"Portugal","portugal","285,200","2017 est.","26","Europe"
"Finland","finland","236,700","2017 est.","27","Europe"
"Israel","israel","231,600","2017 est.","28","Middle East"
"Bahrain","bahrain","226,200","2015 est.","29","Middle East"
"Philippines","philippines","211,400","2015 est.","30","East Asia/Southeast Asia"
"Curacao","curacao","191,300","2015 est.","31","Central America"
"Lithuania","lithuania","182,900","2015 est.","32","Europe"
"Chile","chile","169,600","2017 est.","33","South America"
"Pakistan","pakistan","168,200","2015 est.","34","South Asia"
"Malaysia","malaysia","166,000","2015 est.","35","East Asia/Southeast Asia"
"Czechia","czechia","155,900","2017 est.","36","Europe"
"Austria","austria","146,600","2017 est.","37","Europe"
"Romania","romania","145,300","2015 est.","38","Europe"
"Bulgaria","bulgaria","133,900","2015 est.","39","Europe"
"Hungary","hungary","121,000","2017 est.","40","Europe"
"Cuba","cuba","112,400","2015 est.","41","Central America"
"Slovakia","slovakia","111,200","2017 est.","42","Europe"
"New Zealand","new-zealand","108,900","2017 est.","43","Australia - Oceania"
"Denmark","denmark","98,240","2017 est.","44","Europe"
"Syria","syria","87,660","2015 est.","45","Middle East"
"Peru","peru","86,060","2015 est.","46","South America"
"Trinidad and Tobago","trinidad-and-tobago","80,860","2015 est.","47","Central America"
"Russia","russia","76,220","2015 est.","48","Central Asia"
"Jordan","jordan","67,980","2015 est.","49","Middle East"
"Ireland","ireland","66,210","2017 est.","50","Europe"
"Egypt","egypt","64,760","2015 est.","51","Africa"
"Cote d'Ivoire","cote-divoire","62,350","2015 est.","52","Africa"
"Morocco","morocco","61,160","2015 est.","53","Africa"
"Switzerland","switzerland","57,400","2017 est.","54","Europe"
"Croatia","croatia","55,400","2015 est.","55","Europe"
"Serbia","serbia","40,980","2015 est.","56","Europe"
"Uruguay","uruguay","40,200","2015 est.","57","South America"
"Norway","norway","36,550","2017 est.","58","Europe"
"Cameroon","cameroon","36,480","2015 est.","59","Africa"
"Sri Lanka","sri-lanka","33,540","2015 est.","60","South Asia"
"Jamaica","jamaica","24,360","2015 est.","61","Central America"
"Papua New Guinea","papua-new-guinea","22,220","2015 est.","62","East Asia/Southeast Asia"
"Bangladesh","bangladesh","21,860","2015 est.","63","South Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","18,480","2015 est.","64","Europe"
"Senegal","senegal","17,880","2015 est.","65","Africa"
"Tunisia","tunisia","17,580","2015 est.","66","Africa"
"Dominican Republic","dominican-republic","16,980","2015 est.","67","Central America"
"Argentina","argentina","16,740","2015 est.","68","South America"
"Nicaragua","nicaragua","16,180","2015 est.","69","Central America"
"Zambia","zambia","12,860","2015 est.","70","Africa"
"Kenya","kenya","12,550","2015 est.","71","Africa"
"Korea, North","korea-north","10,640","2015 est.","72","East Asia/Southeast Asia"
"Sudan","sudan","9,440","2015 est.","73","Africa"
"Ghana","ghana","6,220","2015 est.","74","Africa"
