name,slug,value,date_of_information,ranking,region
"Venezuela","venezuela","302,300,000,000","1 January 2018 est.","1","South America"
"Saudi Arabia","saudi-arabia","266,200,000,000","1 January 2018 est.","2","Middle East"
"Canada","canada","170,500,000,000","1 January 2018 est.","3","North America"
"Iran","iran","157,200,000,000","1 January 2018 est.","4","Middle East"
"Iraq","iraq","148,800,000,000","1 January 2018 est.","5","Middle East"
"Kuwait","kuwait","101,500,000,000","1 January 2018 est.","6","Middle East"
"United Arab Emirates","united-arab-emirates","97,800,000,000","1 January 2018 est.","7","Middle East"
"Russia","russia","80,000,000,000","1 January 2018 est.","8","Central Asia"
"Libya","libya","48,360,000,000","1 January 2018 est.","9","Africa"
"Nigeria","nigeria","37,450,000,000","1 January 2018 est.","10","Africa"
"Kazakhstan","kazakhstan","30,000,000,000","1 January 2018 est.","11","Central Asia"
"China","china","25,630,000,000","1 January 2018 est.","12","East Asia/Southeast Asia"
"Qatar","qatar","25,240,000,000","1 January 2018 est.","13","Middle East"
"Brazil","brazil","12,630,000,000","1 January 2018 est.","14","South America"
"Algeria","algeria","12,200,000,000","1 January 2018 est.","15","Africa"
"Angola","angola","9,523,000,000","1 January 2018 est.","16","Africa"
"Ecuador","ecuador","8,273,000,000","1 January 2018 est.","17","South America"
"Azerbaijan","azerbaijan","7,000,000,000","1 January 2018 est.","18","Middle East"
"Mexico","mexico","6,630,000,000","1 January 2018 est.","19","North America"
"Norway","norway","6,376,000,000","1 January 2018","20","Europe"
"Oman","oman","5,373,000,000","1 January 2018 est.","21","Middle East"
"Sudan","sudan","5,000,000,000","1 January 2018 est.","22","Africa"
"India","india","4,495,000,000","1 January 2018 est.","23","South Asia"
"Egypt","egypt","4,400,000,000","1 January 2018 est.","24","Africa"
"Vietnam","vietnam","4,400,000,000","1 January 2018 est.","25","East Asia/Southeast Asia"
"South Sudan","south-sudan","3,750,000,000","1 January 2017 est.","26","Africa"
"Malaysia","malaysia","3,600,000,000","1 January 2018 est.","27","East Asia/Southeast Asia"
"Indonesia","indonesia","3,310,000,000","1 January 2018 est.","28","East Asia/Southeast Asia"
"Yemen","yemen","3,000,000,000","1 January 2018 est.","29","Middle East"
"Syria","syria","2,500,000,000","1 January 2018 est.","30","Middle East"
"Uganda","uganda","2,500,000,000","1 January 2018 est.","31","Africa"
"Argentina","argentina","2,162,000,000","1 January 2018 est.","32","South America"
"United Kingdom","united-kingdom","2,069,000,000","1 January 2018 est.","33","Europe"
"Gabon","gabon","2,000,000,000","1 January 2018 est.","34","Africa"
"Australia","australia","1,821,000,000","1 January 2018 est.","35","Australia - Oceania"
"Colombia","colombia","1,665,000,000","1 January 2018 est.","36","South America"
"Congo, Republic of the","congo-republic-of-the","1,600,000,000","1 January 2018 est.","37","Africa"
"Chad","chad","1,500,000,000","1 January 2018 est.","38","Africa"
"Brunei","brunei","1,100,000,000","1 January 2018 est.","39","East Asia/Southeast Asia"
"Equatorial Guinea","equatorial-guinea","1,100,000,000","1 January 2018 est.","40","Africa"
"Ghana","ghana","660,000,000","1 January 2018 est.","41","Africa"
"Romania","romania","600,000,000","1 January 2018 est.","42","Europe"
"Turkmenistan","turkmenistan","600,000,000","1 January 2018 est.","43","Central Asia"
"Uzbekistan","uzbekistan","594,000,000","1 January 2018 est.","44","Central Asia"
"Italy","italy","487,800,000","1 January 2018 est.","45","Europe"
"Denmark","denmark","439,000,000","1 January 2018 est.","46","Europe"
"Peru","peru","434,900,000","1 January 2018 est.","47","South America"
"Tunisia","tunisia","425,000,000","1 January 2018 est.","48","Africa"
"Ukraine","ukraine","395,000,000","1 January 2018 est.","49","Europe"
"Thailand","thailand","349,400,000","1 January 2018 est.","50","East Asia/Southeast Asia"
"Turkey","turkey","341,600,000","1 January 2018 est.","51","Middle East"
"Pakistan","pakistan","332,200,000","1 January 2018 est.","52","South Asia"
"Trinidad and Tobago","trinidad-and-tobago","243,000,000","1 January 2018 est.","53","Central America"
"Bolivia","bolivia","211,500,000","1 January 2018 est.","54","South America"
"Cameroon","cameroon","200,000,000","1 January 2018 est.","55","Africa"
"Belarus","belarus","198,000,000","1 January 2018 est.","56","Europe"
"Papua New Guinea","papua-new-guinea","183,800,000","1 January 2018 est.","57","East Asia/Southeast Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","180,000,000","1 January 2018 est.","58","Africa"
"Albania","albania","168,300,000","1 January 2018 est.","59","Europe"
"Chile","chile","150,000,000","1 January 2018 est.","60","South America"
"Niger","niger","150,000,000","1 January 2018 est.","61","Africa"
"Spain","spain","150,000,000","1 January 2018 est.","62","Europe"
"Burma","burma","139,000,000","1 January 2018 est.","63","East Asia/Southeast Asia"
"Philippines","philippines","138,500,000","1 January 2018 est.","64","East Asia/Southeast Asia"
"Germany","germany","129,600,000","1 January 2018 est.","65","Europe"
"Poland","poland","126,000,000","1 January 2018","66","Europe"
"Bahrain","bahrain","124,600,000","1 January 2018 est.","67","Middle East"
"Cuba","cuba","124,000,000","1 January 2018 est.","68","Central America"
"Cote d'Ivoire","cote-divoire","100,000,000","1 January 2018 est.","69","Africa"
"Suriname","suriname","84,200,000","1 January 2018 est.","70","South America"
"Guatemala","guatemala","83,070,000","1 January 2018 est.","71","Central America"
"Netherlands","netherlands","81,130,000","1 January 2018 est.","72","Europe"
"Serbia","serbia","77,500,000","1 January 2018 est.","73","Europe"
"Croatia","croatia","71,000,000","1 January 2018 est.","74","Europe"
"France","france","65,970,000","1 January 2018 est.","75","Europe"
