name,slug,value,date_of_information,ranking,region
"Singapore","singapore","2,335,000","2015 est.","1","East Asia/Southeast Asia"
"United States","united-states","2,175,000","2017 est.","2","North America"
"Netherlands","netherlands","2,148,000","2017 est.","3","Europe"
"China","china","1,160,000","2015 est.","4","East Asia/Southeast Asia"
"Japan","japan","1,100,000","2017 est.","5","East Asia/Southeast Asia"
"Korea, South","korea-south","908,800","2017 est.","6","East Asia/Southeast Asia"
"United Kingdom","united-kingdom","907,500","2017 est.","7","Europe"
"France","france","886,800","2017 est.","8","Europe"
"Germany","germany","883,800","2017 est.","9","Europe"
"Mexico","mexico","867,500","2017 est.","10","North America"
"India","india","653,300","2015 est.","11","South Asia"
"Australia","australia","619,600","2017 est.","12","Australia - Oceania"
"Saudi Arabia","saudi-arabia","609,600","2015 est.","13","Middle East"
"Belgium","belgium","601,400","2017 est.","14","Europe"
"Indonesia","indonesia","591,500","2015 est.","15","East Asia/Southeast Asia"
"Turkey","turkey","560,000","2017 est.","16","Middle East"
"Brazil","brazil","490,400","2015 est.","17","South America"
"Spain","spain","464,800","2017 est.","18","Europe"
"Italy","italy","422,500","2017 est.","19","Europe"
"Taiwan","taiwan","418,300","2015 est.","20","East Asia/Southeast Asia"
"Canada","canada","405,700","2017 est.","21","North America"
"Hong Kong","hong-kong","402,100","2015 est.","22","East Asia/Southeast Asia"
"United Arab Emirates","united-arab-emirates","392,000","2015 est.","23","Middle East"
"Malaysia","malaysia","304,600","2015 est.","24","East Asia/Southeast Asia"
"Vietnam","vietnam","282,800","2015 est.","25","East Asia/Southeast Asia"
"Egypt","egypt","280,200","2015 est.","26","Africa"
"Pakistan","pakistan","264,500","2015 est.","27","South Asia"
"Iraq","iraq","255,100","2015 est.","28","Middle East"
"Sweden","sweden","229,600","2017 est.","29","Europe"
"Morocco","morocco","229,300","2015 est.","30","Africa"
"Nigeria","nigeria","223,400","2015 est.","31","Africa"
"Poland","poland","222,300","2017 est.","32","Europe"
"Philippines","philippines","211,400","2015 est.","33","East Asia/Southeast Asia"
"South Africa","south-africa","195,200","2015 est.","34","Africa"
"Greece","greece","192,200","2017 est.","35","Europe"
"Libya","libya","168,200","2015 est.","36","Africa"
"Ukraine","ukraine","167,000","2015 est.","37","Europe"
"Chile","chile","166,400","2017 est.","38","South America"
"Switzerland","switzerland","165,100","2017 est.","39","Europe"
"Ecuador","ecuador","153,900","2015 est.","40","South America"
"Lebanon","lebanon","151,100","2015 est.","41","Middle East"
"Austria","austria","135,500","2017 est.","42","Europe"
"Norway","norway","135,300","2017 est.","43","Europe"
"Thailand","thailand","134,200","2015 est.","44","East Asia/Southeast Asia"
"Panama","panama","129,200","2015 est.","45","Central America"
"Puerto Rico","puerto-rico","127,100","2015 est.","46","Central America"
"Ireland","ireland","126,600","2017 est.","47","Europe"
"Finland","finland","122,200","2017 est.","48","Europe"
"Argentina","argentina","121,400","2015 est.","49","South America"
"Angola","angola","111,600","2015 est.","50","Africa"
"Denmark","denmark","109,700","2017 est.","51","Europe"
"Dominican Republic","dominican-republic","108,500","2015 est.","52","Central America"
"Burma","burma","102,600","2015 est.","53","East Asia/Southeast Asia"
"Israel","israel","98,860","2017 est.","54","Middle East"
"Guatemala","guatemala","97,900","2015 est.","55","Central America"
"Slovenia","slovenia","93,060","2017 est.","56","Europe"
"Kenya","kenya","90,620","2015 est.","57","Africa"
"Tunisia","tunisia","85,340","2015 est.","58","Africa"
"Ghana","ghana","85,110","2015 est.","59","Africa"
"Czechia","czechia","83,860","2017 est.","60","Europe"
"Algeria","algeria","82,930","2015 est.","61","Africa"
"Hungary","hungary","82,110","2017 est.","62","Europe"
"Bangladesh","bangladesh","81,570","2015 est.","63","South Asia"
"Portugal","portugal","78,700","2017 est.","64","Europe"
"Yemen","yemen","75,940","2015 est.","65","Middle East"
"Gibraltar","gibraltar","74,200","2015 est.","66","Europe"
