name,slug,value,date_of_information,ranking,region
"United States","united-states","19,960,000","2017 est.","1","North America"
"China","china","12,470,000","2016 est.","2","East Asia/Southeast Asia"
"India","india","4,521,000","2016 est.","3","South Asia"
"Japan","japan","3,894,000","2017 est.","4","East Asia/Southeast Asia"
"Russia","russia","3,650,000","2016 est.","5","Central Asia"
"Saudi Arabia","saudi-arabia","3,287,000","2016 est.","6","Middle East"
"Brazil","brazil","2,956,000","2016 est.","7","South America"
"Korea, South","korea-south","2,584,000","2017 est.","8","East Asia/Southeast Asia"
"Germany","germany","2,460,000","2017 est.","9","Europe"
"Canada","canada","2,445,000","2017 est.","10","North America"
"Mexico","mexico","1,984,000","2017 est.","11","North America"
"Iran","iran","1,804,000","2016 est.","12","Middle East"
"France","france","1,705,000","2017 est.","13","Europe"
"Indonesia","indonesia","1,601,000","2016 est.","14","East Asia/Southeast Asia"
"United Kingdom","united-kingdom","1,584,000","2017 est.","15","Europe"
"Thailand","thailand","1,326,000","2016 est.","16","East Asia/Southeast Asia"
"Singapore","singapore","1,322,000","2016 est.","17","East Asia/Southeast Asia"
"Spain","spain","1,296,000","2017 est.","18","Europe"
"Italy","italy","1,236,000","2017 est.","19","Europe"
"Australia","australia","1,175,000","2017 est.","20","Australia - Oceania"
"Turkey","turkey","989,900","2017 est.","21","Middle East"
"Taiwan","taiwan","962,400","2016 est.","22","East Asia/Southeast Asia"
"Netherlands","netherlands","954,500","2017 est.","23","Europe"
"United Arab Emirates","united-arab-emirates","896,000","2016 est.","24","Middle East"
"Egypt","egypt","878,000","2016 est.","25","Africa"
"Iraq","iraq","826,000","2016 est.","26","Middle East"
"Argentina","argentina","806,000","2016 est.","27","South America"
"Malaysia","malaysia","704,000","2016 est.","28","East Asia/Southeast Asia"
"Venezuela","venezuela","659,000","2016 est.","29","South America"
"Poland","poland","649,600","2017 est.","30","Europe"
"Belgium","belgium","648,600","2017 est.","31","Europe"
"South Africa","south-africa","621,000","2016 est.","32","Africa"
"Pakistan","pakistan","557,000","2016 est.","33","South Asia"
"Kuwait","kuwait","446,000","2016 est.","34","Middle East"
"Vietnam","vietnam","438,000","2016 est.","35","East Asia/Southeast Asia"
"Philippines","philippines","424,000","2016 est.","36","East Asia/Southeast Asia"
"Algeria","algeria","405,000","2016 est.","37","Africa"
"Hong Kong","hong-kong","403,100","2016 est.","38","East Asia/Southeast Asia"
"Chile","chile","354,500","2017 est.","39","South America"
"Colombia","colombia","333,000","2016 est.","40","South America"
"Nigeria","nigeria","325,000","2016 est.","41","Africa"
"Sweden","sweden","323,100","2017 est.","42","Europe"
"Greece","greece","304,100","2017 est.","43","Europe"
"Morocco","morocco","278,000","2016 est.","44","Africa"
"Qatar","qatar","277,000","2016 est.","45","Middle East"
"Kazakhstan","kazakhstan","274,000","2016 est.","46","Central Asia"
"Austria","austria","268,000","2017 est.","47","Europe"
"Ecuador","ecuador","265,000","2016 est.","48","South America"
