name,slug,value,date_of_information,ranking,region
"United States","united-states","5,218,000","2017 est.","1","North America"
"Russia","russia","2,671,000","2015 est.","2","Central Asia"
"Netherlands","netherlands","2,406,000","2017 est.","3","Europe"
"Singapore","singapore","1,820,000","2015 est.","4","East Asia/Southeast Asia"
"Saudi Arabia","saudi-arabia","1,784,000","2015 est.","5","Middle East"
"Korea, South","korea-south","1,396,000","2017 est.","6","East Asia/Southeast Asia"
"India","india","1,305,000","2015 est.","7","South Asia"
"Canada","canada","1,115,000","2017 est.","8","North America"
"China","china","848,400","2015 est.","9","East Asia/Southeast Asia"
"United Arab Emirates","united-arab-emirates","817,700","2015 est.","10","Middle East"
"Kuwait","kuwait","705,500","2015 est.","11","Middle East"
"Belgium","belgium","680,800","2017 est.","12","Europe"
"Italy","italy","615,900","2017 est.","13","Europe"
"United Kingdom","united-kingdom","613,800","2017 est.","14","Europe"
"Algeria","algeria","578,800","2015 est.","15","Africa"
"Spain","spain","562,400","2017 est.","16","Europe"
"Germany","germany","494,000","2017 est.","17","Europe"
"Qatar","qatar","485,000","2015 est.","18","Middle East"
"France","france","440,600","2017 est.","19","Europe"
"Norway","norway","432,800","2017 est.","20","Europe"
"Iran","iran","397,200","2015 est.","21","Middle East"
"Greece","greece","371,900","2017 est.","22","Europe"
"Sweden","sweden","371,100","2017 est.","23","Europe"
"Japan","japan","370,900","2017 est.","24","East Asia/Southeast Asia"
"Belarus","belarus","351,200","2015 est.","25","Europe"
"Taiwan","taiwan","349,600","2015 est.","26","East Asia/Southeast Asia"
"Venezuela","venezuela","325,800","2015 est.","27","South America"
"Brazil","brazil","279,000","2015 est.","28","South America"
"Thailand","thailand","278,300","2015 est.","29","East Asia/Southeast Asia"
"Bahrain","bahrain","245,300","2015 est.","30","Middle East"
"Malaysia","malaysia","208,400","2015 est.","31","East Asia/Southeast Asia"
"Lithuania","lithuania","174,800","2015 est.","32","Europe"
"Curacao","curacao","167,500","2015 est.","33","Central America"
"Finland","finland","166,200","2017 est.","34","Europe"
"Mexico","mexico","155,800","2017 est.","35","North America"
"Portugal","portugal","143,500","2017 est.","36","Europe"
"Turkey","turkey","141,600","2017 est.","37","Middle East"
"Denmark","denmark","133,700","2017 est.","38","Europe"
"Israel","israel","111,700","2017 est.","39","Middle East"
"Trinidad and Tobago","trinidad-and-tobago","106,100","2015 est.","40","Central America"
"Kazakhstan","kazakhstan","105,900","2015 est.","41","Central Asia"
"South Africa","south-africa","105,600","2015 est.","42","Africa"
"Poland","poland","104,800","2017 est.","43","Europe"
"Romania","romania","103,000","2015 est.","44","Europe"
"Bulgaria","bulgaria","92,720","2015 est.","45","Europe"
"Slovakia","slovakia","81,100","2017 est.","46","Europe"
"Indonesia","indonesia","79,930","2015 est.","47","East Asia/Southeast Asia"
"Australia","australia","64,120","2017 est.","48","Australia - Oceania"
"Peru","peru","62,640","2015 est.","49","South America"
"Hungary","hungary","58,720","2017 est.","50","Europe"
"Argentina","argentina","58,360","2015 est.","51","South America"
"Colombia","colombia","56,900","2015 est.","52","South America"
"Turkmenistan","turkmenistan","53,780","2015 est.","53","Central Asia"
"Czechia","czechia","52,200","2017 est.","54","Europe"
"Austria","austria","49,960","2017 est.","55","Europe"
"Egypt","egypt","47,360","2015 est.","56","Africa"
"Azerbaijan","azerbaijan","46,480","2015 est.","57","Middle East"
"Croatia","croatia","40,530","2015 est.","58","Europe"
"Ireland","ireland","37,040","2017 est.","59","Europe"
"Oman","oman","33,700","2015 est.","60","Middle East"
"Cote d'Ivoire","cote-divoire","31,450","2015 est.","61","Africa"
"Angola","angola","30,340","2015 est.","62","Africa"
"Slovenia","slovenia","29,350","2017 est.","63","Europe"
"Estonia","estonia","27,150","2017 est.","64","Europe"
"Philippines","philippines","26,710","2015 est.","65","East Asia/Southeast Asia"
"Ecuador","ecuador","25,870","2015 est.","66","South America"
"Vietnam","vietnam","25,620","2015 est.","67","East Asia/Southeast Asia"
"Pakistan","pakistan","25,510","2015 est.","68","South Asia"
"Cuba","cuba","24,190","2015 est.","69","Central America"
