name,slug,value,date_of_information,ranking,region
"Syria","syria","5.32","2021 est.","1","Middle East"
"South Sudan","south-sudan","5.05","2021 est.","2","Africa"
"Burundi","burundi","3.68","2021 est.","3","Africa"
"Niger","niger","3.65","2021 est.","4","Africa"
"Angola","angola","3.38","2021 est.","5","Africa"
"Benin","benin","3.36","2021 est.","6","Africa"
"Uganda","uganda","3.31","2021 est.","7","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","3.16","2021 est.","8","Africa"
"Chad","chad","3.12","2021 est.","9","Africa"
"Mali","mali","2.97","2021 est.","10","Africa"
"Zambia","zambia","2.93","2021 est.","11","Africa"
"Tanzania","tanzania","2.81","2021 est.","12","Africa"
"Cameroon","cameroon","2.77","2021 est.","13","Africa"
"Guinea","guinea","2.76","2021 est.","14","Africa"
"Liberia","liberia","2.74","2021 est.","15","Africa"
"Mozambique","mozambique","2.58","2021 est.","16","Africa"
"Burkina Faso","burkina-faso","2.58","2021 est.","17","Africa"
"Sudan","sudan","2.55","2021 est.","18","Africa"
"Nigeria","nigeria","2.53","2021 est.","19","Africa"
"Guinea-Bissau","guinea-bissau","2.52","2021 est.","20","Africa"
"Togo","togo","2.51","2021 est.","21","Africa"
"Ethiopia","ethiopia","2.50","2021 est.","22","Africa"
"Venezuela","venezuela","2.46","2021 est.","23","South America"
"Sierra Leone","sierra-leone","2.44","2021 est.","24","Africa"
"Gabon","gabon","2.41","2021 est.","25","Africa"
"Malawi","malawi","2.39","2021 est.","26","Africa"
"Congo, Republic of the","congo-republic-of-the","2.36","2021 est.","27","Africa"
"Somalia","somalia","2.35","2021 est.","28","Africa"
"Afghanistan","afghanistan","2.34","2021 est.","29","South Asia"
"Madagascar","madagascar","2.31","2021 est.","30","Africa"
"Equatorial Guinea","equatorial-guinea","2.29","2021 est.","31","Africa"
"Ghana","ghana","2.26","2021 est.","32","Africa"
"Senegal","senegal","2.25","2021 est.","33","Africa"
"Cote d'Ivoire","cote-divoire","2.21","2021 est.","34","Africa"
"Timor-Leste","timor-leste","2.19","2021 est.","35","East Asia/Southeast Asia"
"Egypt","egypt","2.17","2021 est.","36","Africa"
"Kenya","kenya","2.15","2021 est.","37","Africa"
"Iraq","iraq","2.06","2021 est.","38","Middle East"
"Gaza Strip","gaza-strip","2.05","2021 est.","39","Middle East"
"Mauritania","mauritania","2.02","2021 est.","40","Africa"
"Djibouti","djibouti","2.01","2021 est.","41","Africa"
"Pakistan","pakistan","1.99","2021 est.","42","South Asia"
"British Virgin Islands","british-virgin-islands","1.96","2021 est.","43","Central America"
"Zimbabwe","zimbabwe","1.94","2021 est.","44","Africa"
"Yemen","yemen","1.93","2021 est.","45","Middle East"
"Turks and Caicos Islands","turks-and-caicos-islands","1.91","2021 est.","46","Central America"
"Oman","oman","1.89","2021 est.","47","Middle East"
"Cayman Islands","cayman-islands","1.87","2021 est.","48","Central America"
"Anguilla","anguilla","1.84","2021 est.","49","Central America"
"Namibia","namibia","1.83","2021 est.","50","Africa"
"Gambia, The","gambia-the","1.82","2021 est.","51","Africa"
"Rwanda","rwanda","1.80","2021 est.","52","Africa"
"Central African Republic","central-african-republic","1.79","2021 est.","53","Africa"
"Libya","libya","1.76","2021 est.","54","Africa"
"Solomon Islands","solomon-islands","1.75","2021 est.","55","Australia - Oceania"
"West Bank","west-bank","1.72","2021 est.","56","Middle East"
"Luxembourg","luxembourg","1.70","2021 est.","57","Europe"
"Vanuatu","vanuatu","1.67","2021 est.","58","Australia - Oceania"
"Belize","belize","1.67","2021 est.","59","Central America"
"Saudi Arabia","saudi-arabia","1.62","2021 est.","60","Middle East"
"Guatemala","guatemala","1.62","2021 est.","61","Central America"
"Papua New Guinea","papua-new-guinea","1.61","2021 est.","62","East Asia/Southeast Asia"
"Sao Tome and Principe","sao-tome-and-principe","1.50","2021 est.","63","Africa"
"Philippines","philippines","1.49","2021 est.","64","East Asia/Southeast Asia"
"Brunei","brunei","1.48","2021 est.","65","East Asia/Southeast Asia"
"Laos","laos","1.46","2021 est.","66","East Asia/Southeast Asia"
"Israel","israel","1.45","2021 est.","67","Middle East"
"Tajikistan","tajikistan","1.44","2021 est.","68","Central Asia"
"Botswana","botswana","1.43","2021 est.","69","Africa"
"Comoros","comoros","1.41","2021 est.","70","Africa"
"Algeria","algeria","1.41","2021 est.","71","Africa"
"Bolivia","bolivia","1.39","2021 est.","72","South America"
"Marshall Islands","marshall-islands","1.37","2021 est.","73","Australia - Oceania"
"Cambodia","cambodia","1.34","2021 est.","74","East Asia/Southeast Asia"
"Australia","australia","1.31","2021 est.","75","Australia - Oceania"
"New Zealand","new-zealand","1.28","2021 est.","76","Australia - Oceania"
"Sint Maarten","sint-maarten","1.28","2021 est.","77","Central America"
"Cabo Verde","cabo-verde","1.24","2021 est.","78","Africa"
"Qatar","qatar","1.23","2021 est.","79","Middle East"
