name,slug,value,date_of_information,ranking,region
"Japan","japan","237.60","2017 est.","1","East Asia/Southeast Asia"
"Greece","greece","181.80","2017 est.","2","Europe"
"Barbados","barbados","157.30","2017 est.","3","Central America"
"Lebanon","lebanon","146.80","2017 est.","4","Middle East"
"Italy","italy","131.80","2017 est.","5","Europe"
"Eritrea","eritrea","131.20","2017 est.","6","Africa"
"Congo, Republic of the","congo-republic-of-the","130.80","2017 est.","7","Africa"
"Cabo Verde","cabo-verde","125.80","2017 est.","8","Africa"
"Portugal","portugal","125.70","2017 est.","9","Europe"
"Sudan","sudan","121.60","2017 est.","10","Africa"
"Singapore","singapore","111.10","2017 est.","11","East Asia/Southeast Asia"
"Bhutan","bhutan","106.30","2017 est.","12","South Asia"
"Belgium","belgium","103.40","2017 est.","13","Europe"
"Egypt","egypt","103.00","2017 est.","14","Africa"
"Mozambique","mozambique","102.10","2017 est.","15","Africa"
"Jamaica","jamaica","101.00","2017 est.","16","Central America"
"Belize","belize","99.00","2017 est.","17","Central America"
"Spain","spain","98.40","2017 est.","18","Europe"
"Cyprus","cyprus","97.50","2017 est.","19","Europe"
"France","france","96.80","2017 est.","20","Europe"
"Mauritania","mauritania","96.60","2017 est.","21","Africa"
"Jordan","jordan","95.90","2017 est.","22","Middle East"
"Syria","syria","94.80","2017 est.","23","Middle East"
"Mongolia","mongolia","91.40","2017 est.","24","East Asia/Southeast Asia"
"Canada","canada","89.70","2017 est.","25","North America"
"Bahrain","bahrain","88.50","2017 est.","26","Middle East"
"Sao Tome and Principe","sao-tome-and-principe","88.40","2017 est.","27","Africa"
"Gambia, The","gambia-the","88.00","2017 est.","28","Africa"
"United Kingdom","united-kingdom","87.50","2017 est.","29","Europe"
"Antigua and Barbuda","antigua-and-barbuda","86.80","2017 est.","30","Central America"
"Aruba","aruba","86.00","2017 est.","31","Central America"
"Brazil","brazil","84.00","2017 est.","32","South America"
"Dominica","dominica","82.70","2017 est.","33","Central America"
"Zimbabwe","zimbabwe","82.30","2017 est.","34","Africa"
"Sri Lanka","sri-lanka","79.10","2017 est.","35","South Asia"
"United States","united-states","78.80","2017 est.","36","North America"
"Austria","austria","78.60","2017 est.","37","Europe"
"Croatia","croatia","77.80","2017 est.","38","Europe"
"Somalia","somalia","76.70","2017 est.","39","Africa"
"Togo","togo","75.70","2017 est.","40","Africa"
"Yemen","yemen","74.50","2017 est.","41","Middle East"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","73.80","2017 est.","42","Central America"
"Hungary","hungary","73.60","2017 est.","43","Europe"
"Slovenia","slovenia","73.60","2017 est.","44","Europe"
"Albania","albania","71.80","2017 est.","45","Europe"
"Ghana","ghana","71.80","2017 est.","46","Africa"
"India","india","71.20","2017 est.","47","South Asia"
"Ukraine","ukraine","71.00","2017 est.","48","Europe"
"Saint Lucia","saint-lucia","70.70","2017 est.","49","Central America"
"Grenada","grenada","70.40","2017 est.","50","Central America"
"Tunisia","tunisia","70.30","2017 est.","51","Africa"
"Suriname","suriname","69.30","2017 est.","52","South America"
"Ireland","ireland","68.60","2017 est.","53","Europe"
"El Salvador","el-salvador","67.90","2017 est.","54","Central America"
"Montenegro","montenegro","67.20","2017 est.","55","Europe"
"Pakistan","pakistan","67.00","2017 est.","56","South Asia"
"Uruguay","uruguay","65.70","2017 est.","57","South America"
"Morocco","morocco","65.10","2017 est.","58","Africa"
"Angola","angola","65.00","2017 est.","59","Africa"
"Mauritius","mauritius","64.00","2017 est.","60","Africa"
"Germany","germany","63.90","2017 est.","61","Europe"
"Maldives","maldives","63.90","2017 est.","62","South Asia"
"Sierra Leone","sierra-leone","63.90","2017 est.","63","Africa"
"Laos","laos","63.60","2017 est.","64","East Asia/Southeast Asia"
"Seychelles","seychelles","63.60","2017 est.","65","Africa"
"Zambia","zambia","63.10","2017 est.","66","Africa"
"Saint Kitts and Nevis","saint-kitts-and-nevis","62.90","2017 est.","67","Central America"
"Gabon","gabon","62.70","2017 est.","68","Africa"
"South Sudan","south-sudan","62.70","2017 est.","69","Africa"
"Serbia","serbia","62.50","2017 est.","70","Europe"
"Nauru","nauru","62.00","2017 est.","71","Australia - Oceania"
"Finland","finland","61.30","2017 est.","72","Europe"
"Israel","israel","60.90","2017 est.","73","Middle East"
"Iraq","iraq","59.70","2017 est.","74","Middle East"
"Malawi","malawi","59.20","2017 est.","75","Africa"
"Vietnam","vietnam","58.50","2017 est.","76","East Asia/Southeast Asia"
"Argentina","argentina","57.60","2017 est.","77","South America"
"Netherlands","netherlands","56.50","2017 est.","78","Europe"
"Kyrgyzstan","kyrgyzstan","56.00","2017 est.","79","Central Asia"
"Bahamas, The","bahamas-the","54.60","2017 est.","80","Central America"
"Benin","benin","54.60","2017 est.","81","Africa"
"Mexico","mexico","54.30","2017 est.","82","North America"
"Ethiopia","ethiopia","54.20","2017 est.","83","Africa"
"Kenya","kenya","54.20","2017 est.","84","Africa"
"Azerbaijan","azerbaijan","54.10","2017 est.","85","Middle East"
"Malaysia","malaysia","54.10","2017 est.","86","East Asia/Southeast Asia"
"Guinea-Bissau","guinea-bissau","53.90","2017 est.","87","Africa"
"Qatar","qatar","53.80","2017 est.","88","Middle East"
"Armenia","armenia","53.50","2017 est.","89","Middle East"
"Belarus","belarus","53.40","2017 est.","90","Europe"
"Virgin Islands","virgin-islands","53.30","2016 est.","91","Central America"
"South Africa","south-africa","53.00","2017 est.","92","Africa"
"Central African Republic","central-african-republic","52.90","2017 est.","93","Africa"
"Chad","chad","52.50","2017 est.","94","Africa"
"Guyana","guyana","52.20","2017 est.","95","South America"
"Burundi","burundi","51.70","2017 est.","96","Africa"
"Puerto Rico","puerto-rico","51.60","2017 est.","97","Central America"
"Slovakia","slovakia","50.90","2017 est.","98","Europe"
"Malta","malta","50.70","2017 est.","99","Europe"
"Poland","poland","50.60","2017 est.","100","Europe"
"Tajikistan","tajikistan","50.40","2017 est.","101","Central Asia"
"Colombia","colombia","49.40","2017 est.","102","South America"
"Samoa","samoa","49.10","2017 est.","103","Australia - Oceania"
"Bolivia","bolivia","49.00","2017 est.","104","South America"
"Costa Rica","costa-rica","48.90","2017 est.","105","Central America"
"Fiji","fiji","48.90","2017 est.","106","Australia - Oceania"
"Vanuatu","vanuatu","48.40","2017 est.","107","Australia - Oceania"
"Senegal","senegal","48.30","2017 est.","108","Africa"
"Tonga","tonga","48.00","FY2017 est.","109","Australia - Oceania"
"Cuba","cuba","47.70","2017 est.","110","Central America"
"China","china","47.00","2017 est.","111","East Asia/Southeast Asia"
"Cote d'Ivoire","cote-divoire","47.00","2017 est.","112","Africa"
"Oman","oman","46.90","2017 est.","113","Middle East"
"Ecuador","ecuador","45.40","2017 est.","114","South America"
"Niger","niger","45.30","2017 est.","115","Africa"
"Georgia","georgia","44.90","2017 est.","116","Middle East"
"Bermuda","bermuda","43.00","FY14/15","117","North America"
"Thailand","thailand","41.90","2017 est.","118","East Asia/Southeast Asia"
"Switzerland","switzerland","41.80","2017 est.","119","Europe"
"Trinidad and Tobago","trinidad-and-tobago","41.80","2017 est.","120","Central America"
"Namibia","namibia","41.30","2017 est.","121","Africa"
"Andorra","andorra","41.00","2014 est.","122","Europe"
"Australia","australia","40.80","2017 est.","123","Australia - Oceania"
"Sweden","sweden","40.80","2017 est.","124","Europe"
"Rwanda","rwanda","40.50","2017 est.","125","Africa"
"Iceland","iceland","40.00","2017 est.","126","Europe"
"Uganda","uganda","40.00","2017 est.","127","Africa"
"Philippines","philippines","39.90","2017 est.","128","East Asia/Southeast Asia"
"Lithuania","lithuania","39.70","2017 est.","129","Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","39.50","2017 est.","130","Europe"
"Honduras","honduras","39.50","2017 est.","131","Central America"
"Iran","iran","39.50","2017 est.","132","Middle East"
"Korea, South","korea-south","39.50","2017 est.","133","East Asia/Southeast Asia"
"Venezuela","venezuela","38.90","2017 est.","135","South America"
"Burkina Faso","burkina-faso","38.10","2017 est.","136","Africa"
"Guinea","guinea","37.90","2017 est.","137","Africa"
"Panama","panama","37.80","2017 est.","138","Central America"
