name,slug,value,date_of_information,ranking,region
"United States","united-states","293,564","2014","1","North America"
"China","china","131,000","2018","2","East Asia/Southeast Asia"
"Russia","russia","87,157","2014","3","Central Asia"
"Canada","canada","77,932","2014","4","North America"
"India","india","68,525","2014","5","South Asia"
"Argentina","argentina","36,917","2014","6","South America"
"Germany","germany","33,590","2017","7","Europe"
"Australia","australia","33,343","2015","8","Australia - Oceania"
"Brazil","brazil","29,850","2014","9","South America"
"France","france","29,640","2014","10","Europe"
"Japan","japan","27,311","2015","11","East Asia/Southeast Asia"
"Ukraine","ukraine","21,733","2014","12","Europe"
"South Africa","south-africa","20,986","2014","13","Africa"
"Mexico","mexico","20,825","2017","14","North America"
"Italy","italy","20,182","2014","15","Europe"
"Poland","poland","19,231","2016","16","Europe"
"United Kingdom","united-kingdom","16,837","2015","17","Europe"
"Kazakhstan","kazakhstan","16,614","2017","18","Central Asia"
"Spain","spain","15,333","2017","19","Europe"
"Sweden","sweden","14,127","2016","20","Europe"
"Turkey","turkey","12,710","2018","21","Middle East"
"Pakistan","pakistan","11,881","2019","22","South Asia"
"Romania","romania","11,268","2014","23","Europe"
"Czechia","czechia","9,408","2017","24","Europe"
"Iran","iran","8,484","2014","25","Middle East"
"Cuba","cuba","8,367","2017","26","Central America"
"Indonesia","indonesia","8,159","2014","27","East Asia/Southeast Asia"
"Hungary","hungary","8,049","2014","28","Europe"
"Korea, North","korea-north","7,435","2014","29","East Asia/Southeast Asia"
"Chile","chile","7,282","2014","30","South America"
"Sudan","sudan","7,251","2014","31","Africa"
"Finland","finland","5,926","2016","32","Europe"
"Austria","austria","5,800","","33","Europe"
"Switzerland","switzerland","5,690","2015","34","Europe"
"Belarus","belarus","5,528","2014","35","Europe"
"Saudi Arabia","saudi-arabia","5,410","2016","36","Middle East"
"Bulgaria","bulgaria","5,114","2014","37","Europe"
"Turkmenistan","turkmenistan","5,113","2017","38","Central Asia"
"Egypt","egypt","5,085","2014","39","Africa"
"Burma","burma","5,031","2008","40","East Asia/Southeast Asia"
"Mozambique","mozambique","4,787","2014","41","Africa"
"Uzbekistan","uzbekistan","4,642","2018","42","Central Asia"
"Tanzania","tanzania","4,567","2014","43","Africa"
"Ireland","ireland","4,301","2018","44","Europe"
"Norway","norway","4,200","2019","45","Europe"
"New Zealand","new-zealand","4,128","2018","46","Australia - Oceania"
"Thailand","thailand","4,127","2017","47","East Asia/Southeast Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","4,007","2014","48","Africa"
"Korea, South","korea-south","3,979","2016","49","East Asia/Southeast Asia"
"Algeria","algeria","3,973","2014","50","Africa"
"Bolivia","bolivia","3,960","2019","51","South America"
"Kenya","kenya","3,819","2018","52","Africa"
"Serbia","serbia","3,809","2015","53","Europe"
"Nigeria","nigeria","3,798","2014","54","Africa"
"Belgium","belgium","3,592","2014","55","Europe"
"Slovakia","slovakia","3,580","2016","56","Europe"
"Denmark","denmark","3,476","2017","57","Europe"
"Zimbabwe","zimbabwe","3,427","2014","58","Africa"
"Zambia","zambia","3,126","2014","59","Africa"
"Portugal","portugal","3,075","2014","60","Europe"
"Netherlands","netherlands","3,058","2016","61","Europe"
"Azerbaijan","azerbaijan","2,944","2017","62","Middle East"
"Angola","angola","2,852","2014","63","Africa"
"Croatia","croatia","2,722","2014","64","Europe"
"Namibia","namibia","2,628","2014","65","Africa"
"Vietnam","vietnam","2,600","2014","66","East Asia/Southeast Asia"
"Greece","greece","2,548","2014","67","Europe"
"Bangladesh","bangladesh","2,460","2014","68","South Asia"
"Iraq","iraq","2,272","2014","69","Middle East"
"Tunisia","tunisia","2,173","2014","70","Africa"
"Estonia","estonia","2,146","2016","71","Europe"
"Colombia","colombia","2,141","2015","72","South America"
"Morocco","morocco","2,067","2014","73","Africa"
"Syria","syria","2,052","2014","74","Middle East"
"Latvia","latvia","1,860","2018","75","Europe"
"Peru","peru","1,854","2014","76","South America"
"Malaysia","malaysia","1,851","2014","77","East Asia/Southeast Asia"
"Mongolia","mongolia","1,815","2017","78","East Asia/Southeast Asia"
"Lithuania","lithuania","1,768","2014","79","Europe"
"Uruguay","uruguay","1,673","2016","80","South America"
"Taiwan","taiwan","1,613","2018","81","East Asia/Southeast Asia"
"Sri Lanka","sri-lanka","1,562","2016","82","South Asia"
"Israel","israel","1,384","2014","83","Middle East"
"Georgia","georgia","1,363","2014","84","Middle East"
"Uganda","uganda","1,244","2014","85","Africa"
"Slovenia","slovenia","1,229","2014","86","Europe"
"Moldova","moldova","1,171","2014","87","Europe"
"Guinea","guinea","1,086","2017","88","Africa"
"Cameroon","cameroon","987","2014","89","Africa"
"Bosnia and Herzegovina","bosnia-and-herzegovina","965","2014","90","Europe"
"Ecuador","ecuador","965","2017","91","South America"
"Ghana","ghana","947","2014","92","Africa"
"Senegal","senegal","906","2017","94","Africa"
"Botswana","botswana","888","2014","95","Africa"
"Madagascar","madagascar","836","2018","96","Africa"
"Guatemala","guatemala","800","2018","97","Central America"
"Armenia","armenia","780","2014","98","Middle East"
"Malawi","malawi","767","2014","99","Africa"
"Mauritania","mauritania","728","2014","100","Africa"
"Honduras","honduras","699","2014","101","Central America"
"Tajikistan","tajikistan","680","2014","102","Central Asia"
"Albania","albania","677","2015","103","Europe"
"Cote d'Ivoire","cote-divoire","660","2008","104","Africa"
"Ethiopia","ethiopia","659","2017","105","Africa"
"Gabon","gabon","649","2014","106","Africa"
"Cambodia","cambodia","642","2014","107","East Asia/Southeast Asia"
"Burkina Faso","burkina-faso","622","2014","108","Africa"
"Fiji","fiji","597","2008","109","Australia - Oceania"
"Mali","mali","593","2014","110","Africa"
"Togo","togo","568","2014","111","Africa"
"Congo, Republic of the","congo-republic-of-the","510","2014","112","Africa"
"Jordan","jordan","509","2014","113","Middle East"
"Dominican Republic","dominican-republic","496","2014","114","Central America"
"Venezuela","venezuela","447","2014","115","South America"
"Benin","benin","438","2014","116","Africa"
"Liberia","liberia","429","2008","117","Africa"
"Kyrgyzstan","kyrgyzstan","424","2018","118","Central Asia"
"Lebanon","lebanon","401","2017","119","Middle East"
"Kosovo","kosovo","333","2015","120","Europe"
"Eritrea","eritrea","306","2018","121","Africa"
"Eswatini","eswatini","301","2014","122","Africa"
"Costa Rica","costa-rica","278","2014","123","Central America"
"Luxembourg","luxembourg","275","2014","124","Europe"
"Montenegro","montenegro","250","2017","125","Europe"
"South Sudan","south-sudan","248","2018","126","Africa"
"Djibouti","djibouti","97","2017","127","Africa"
"Panama","panama","77","2014","128","Central America"
"Philippines","philippines","77","2017","129","East Asia/Southeast Asia"
"Isle of Man","isle-of-man","63","2008","130","Europe"
"Nepal","nepal","59","2018","131","South Asia"
"Saint Kitts and Nevis","saint-kitts-and-nevis","50","2008","132","Central America"
"Paraguay","paraguay","30","2014","133","South America"
"Christmas Island","christmas-island","18","2017","134","Australia - Oceania"
"El Salvador","el-salvador","13","2014","135","Central America"
"Liechtenstein","liechtenstein","9","2018","136","Europe"
