name,slug,value,date_of_information,ranking,region
"China","china","$22,526,502,000,000","2019 est.","1","East Asia/Southeast Asia"
"United States","united-states","$20,524,945,000,000","2019 est.","2","North America"
"India","india","$9,155,083,000,000","2019 est.","3","South Asia"
"Japan","japan","$5,231,066,000,000","2019 est.","4","East Asia/Southeast Asia"
"Germany","germany","$4,482,448,000,000","2019 est.","5","Europe"
"Russia","russia","$3,968,180,000,000","2019 est.","6","Central Asia"
"Indonesia","indonesia","$3,196,682,000,000","2019 est.","7","East Asia/Southeast Asia"
"United Kingdom","united-kingdom","$3,118,396,000,000","2019 est.","8","Europe"
"France","france","$3,097,061,000,000","2019 est.","9","Europe"
"Brazil","brazil","$3,092,216,000,000","2019 est.","10","South America"
"Italy","italy","$2,562,135,000,000","2019 est.","11","Europe"
"Mexico","mexico","$2,525,481,000,000","2019 est.","12","North America"
"Turkey","turkey","$2,371,374,000,000","2019 est.","13","Middle East"
"Korea, South","korea-south","$2,211,315,000,000","2019 est.","14","East Asia/Southeast Asia"
"Spain","spain","$1,925,576,000,000","2019 est.","15","Europe"
"Canada","canada","$1,843,053,000,000","2019 est.","16","North America"
"Saudi Arabia","saudi-arabia","$1,609,323,000,000","2019 est.","17","Middle East"
"Thailand","thailand","$1,285,287,000,000","2019 est.","18","East Asia/Southeast Asia"
"Australia","australia","$1,264,514,000,000","2019 est.","19","Australia - Oceania"
"Poland","poland","$1,261,433,000,000","2019 est.","20","Europe"
"Egypt","egypt","$1,180,890,000,000","2019 est.","21","Africa"
"Taiwan","taiwan","$1,143,277,000,000","2019 est.","22","East Asia/Southeast Asia"
"Nigeria","nigeria","$1,032,048,000,000","2019 est.","23","Africa"
"Iran","iran","$1,027,238,000,000","2019 est.","24","Middle East"
"Pakistan","pakistan","$1,015,796,000,000","2019 est.","25","South Asia"
"Argentina","argentina","$991,523,000,000","2019 est.","26","South America"
"Netherlands","netherlands","$986,847,000,000","2019 est.","27","Europe"
"Philippines","philippines","$963,121,000,000","2019 est.","28","East Asia/Southeast Asia"
"Malaysia","malaysia","$906,239,000,000","2019 est.","29","East Asia/Southeast Asia"
"Vietnam","vietnam","$775,669,000,000","2019 est.","30","East Asia/Southeast Asia"
"Bangladesh","bangladesh","$775,076,000,000","2019 est.","31","South Asia"
"Colombia","colombia","$741,099,000,000","2019 est.","32","South America"
"South Africa","south-africa","$730,913,000,000","2019 est.","33","Africa"
"United Arab Emirates","united-arab-emirates","$655,789,000,000","2019 est.","34","Middle East"
"Belgium","belgium","$596,414,000,000","2019 est.","35","Europe"
"Switzerland","switzerland","$588,472,000,000","2019 est.","36","Europe"
"Romania","romania","$579,549,000,000","2019 est.","37","Europe"
"Singapore","singapore","$555,193,000,000","2019 est.","38","East Asia/Southeast Asia"
"Sweden","sweden","$547,595,000,000","2019 est.","39","Europe"
"Ukraine","ukraine","$538,388,000,000","2019 est.","40","Europe"
"Austria","austria","$498,780,000,000","2019 est.","41","Europe"
"Algeria","algeria","$495,564,000,000","2019 est.","42","Africa"
"Kazakhstan","kazakhstan","$487,868,000,000","2019 est.","43","Central Asia"
"Chile","chile","$459,134,000,000","2019 est.","44","South America"
"Hong Kong","hong-kong","$449,299,000,000","2019 est.","45","East Asia/Southeast Asia"
"Czechia","czechia","$435,987,000,000","2019 est.","46","Europe"
"Ireland","ireland","$428,825,000,000","2019 est.","47","Europe"
"Iraq","iraq","$427,736,000,000","2019 est.","48","Middle East"
"Peru","peru","$417,690,000,000","2019 est.","49","South America"
"Israel","israel","$363,448,000,000","2019 est.","50","Middle East"
"Portugal","portugal","$358,344,000,000","2019 est.","51","Europe"
"Norway","norway","$340,303,000,000","2019 est.","52","Europe"
"Denmark","denmark","$336,335,000,000","2019 est.","53","Europe"
"Hungary","hungary","$321,869,000,000","2019 est.","54","Europe"
"Greece","greece","$319,334,000,000","2019 est.","55","Europe"
"Sri Lanka","sri-lanka","$285,141,000,000","2019 est.","56","South Asia"
"Morocco","morocco","$279,295,000,000","2019 est.","57","Africa"
"Burma","burma","$277,909,000,000","2019 est.","58","East Asia/Southeast Asia"
"Venezuela","venezuela","$269,068,000,000","2018 est.","59","South America"
"Finland","finland","$268,662,000,000","2019 est.","60","Europe"
"Qatar","qatar","$255,010,000,000","2019 est.","61","Middle East"
"Ethiopia","ethiopia","$248,972,000,000","2019 est.","62","Africa"
"Uzbekistan","uzbekistan","$235,021,000,000","2019 est.","63","Central Asia"
"Kenya","kenya","$227,638,000,000","2019 est.","64","Africa"
"Angola","angola","$212,285,000,000","2019 est.","65","Africa"
"New Zealand","new-zealand","$210,877,000,000","2019 est.","66","Australia - Oceania"
"Kuwait","kuwait","$209,738,000,000","2019 est.","67","Middle East"
"Dominican Republic","dominican-republic","$197,735,000,000","2019 est.","68","Central America"
"Ecuador","ecuador","$197,631,000,000","2019 est.","69","South America"
"Belarus","belarus","$181,286,000,000","2019 est.","70","Europe"
"Slovakia","slovakia","$178,513,000,000","2019 est.","71","Europe"
"Sudan","sudan","$168,280,000,000","2019 est.","72","Africa"
"Montserrat","montserrat","$167,400,000,000","2011 est.","73","Central America"
"Ghana","ghana","$164,640,000,000","2019 est.","74","Africa"
"Bulgaria","bulgaria","$161,654,000,000","2019 est.","75","Europe"
"Tanzania","tanzania","$149,785,000,000","2019 est.","76","Africa"
"Azerbaijan","azerbaijan","$144,374,000,000","2019 est.","77","Middle East"
"Guatemala","guatemala","$143,416,000,000","2019 est.","78","Central America"
"Cuba","cuba","$137,000,000,000","2017 est.","79","Central America"
"Oman","oman","$135,814,000,000","2019 est.","80","Middle East"
"Cote d'Ivoire","cote-divoire","$134,048,000,000","2019 est.","81","Africa"
"Panama","panama","$133,587,000,000","2019 est.","82","Central America"
"Serbia","serbia","$126,625,000,000","2019 est.","83","Europe"
"Tunisia","tunisia","$125,783,000,000","2019 est.","84","Africa"
"Croatia","croatia","$116,339,000,000","2019 est.","85","Europe"
"Puerto Rico","puerto-rico","$110,238,000,000","2019 est.","86","Central America"
"Lithuania","lithuania","$103,756,000,000","2019 est.","87","Europe"
"Libya","libya","$102,842,000,000","2019 est.","88","Africa"
"Jordan","jordan","$101,738,000,000","2019 est.","89","Middle East"
"Bolivia","bolivia","$100,445,000,000","2019 est.","90","South America"
"Lebanon","lebanon","$99,761,000,000","2019 est.","91","Middle East"
"Costa Rica","costa-rica","$99,146,000,000","2019 est.","92","Central America"
"Nepal","nepal","$97,749,000,000","2019 est.","93","South Asia"
"Uganda","uganda","$96,838,000,000","2019 est.","94","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","$95,291,000,000","2019 est.","95","Africa"
"Cameroon","cameroon","$94,248,000,000","2019 est.","96","Africa"
"Paraguay","paraguay","$89,362,000,000","2019 est.","97","South America"
"Turkmenistan","turkmenistan","$86,858,000,000","2018 est.","98","Central Asia"
"Slovenia","slovenia","$81,614,000,000","2019 est.","99","Europe"
"Macau","macau","$79,392,000,000","2019 est.","100","East Asia/Southeast Asia"
"Afghanistan","afghanistan","$78,557,000,000","2019 est.","101","South Asia"
"Uruguay","uruguay","$74,638,000,000","2019 est.","102","South America"
"Bahrain","bahrain","$73,870,000,000","2019 est.","103","Middle East"
"Yemen","yemen","$73,630,000,000","2017 est.","104","Middle East"
"Cambodia","cambodia","$72,356,000,000","2019 est.","105","East Asia/Southeast Asia"
"Luxembourg","luxembourg","$70,966,000,000","2019 est.","106","Europe"
"Zambia","zambia","$61,985,000,000","2019 est.","107","Africa"
"Latvia","latvia","$59,102,000,000","2019 est.","108","Europe"
"El Salvador","el-salvador","$56,636,000,000","2019 est.","109","Central America"
"Laos","laos","$56,110,000,000","2019 est.","110","East Asia/Southeast Asia"
"Honduras","honduras","$55,825,000,000","2019 est.","111","Central America"
"Georgia","georgia","$55,776,000,000","2019 est.","112","Middle East"
"Senegal","senegal","$55,324,000,000","2019 est.","113","Africa"
"Syria","syria","$50,280,000,000","2015 est.","114","Middle East"
"Bosnia and Herzegovina","bosnia-and-herzegovina","$49,224,000,000","2019 est.","115","Europe"
"Estonia","estonia","$48,987,000,000","2019 est.","116","Europe"
"Mali","mali","$45,637,000,000","2019 est.","117","Africa"
"Madagascar","madagascar","$44,419,000,000","2019 est.","118","Africa"
"Burkina Faso","burkina-faso","$44,266,000,000","2019 est.","119","Africa"
"Zimbabwe","zimbabwe","$41,533,000,000","2019 est.","120","Africa"
"Botswana","botswana","$40,928,000,000","2019 est.","121","Africa"
"Armenia","armenia","$40,384,000,000","2019 est.","122","Middle East"
"Korea, North","korea-north","$40,000,000,000","2015 est.","123","East Asia/Southeast Asia"
"Albania","albania","$39,859,000,000","2019 est.","124","Europe"
"Mongolia","mongolia","$39,723,000,000","2019 est.","125","East Asia/Southeast Asia"
"Mozambique","mozambique","$38,910,000,000","2019 est.","126","Africa"
"Benin","benin","$38,794,000,000","2019 est.","127","Africa"
"Papua New Guinea","papua-new-guinea","$38,218,000,000","2019 est.","128","East Asia/Southeast Asia"
"Trinidad and Tobago","trinidad-and-tobago","$36,514,000,000","2019 est.","129","Central America"
"Nicaragua","nicaragua","$35,392,000,000","2019 est.","130","Central America"
"Cyprus","cyprus","$35,353,000,000","2019 est.","131","Europe"
"Moldova","moldova","$34,680,000,000","2019 est.","132","Europe"
"North Macedonia","north-macedonia","$34,333,000,000","2019 est.","133","Europe"
"Kyrgyzstan","kyrgyzstan","$33,918,000,000","2019 est.","134","Central Asia"
"Haiti","haiti","$32,724,000,000","2019 est.","135","Central America"
"Guinea","guinea","$32,720,000,000","2019 est.","136","Africa"
"Gabon","gabon","$32,480,000,000","2019 est.","137","Africa"
"Tajikistan","tajikistan","$31,502,000,000","2019 est.","138","Central Asia"
"Mauritius","mauritius","$28,947,000,000","2019 est.","139","Africa"
"Jamaica","jamaica","$28,779,000,000","2019 est.","140","Central America"
"Niger","niger","$28,544,000,000","2019 est.","141","Africa"
"Rwanda","rwanda","$28,118,000,000","2019 est.","142","Africa"
"Brunei","brunei","$26,906,000,000","2019 est.","143","East Asia/Southeast Asia"
"Chad","chad","$25,190,000,000","2019 est.","144","Africa"
"Equatorial Guinea","equatorial-guinea","$25,164,000,000","2019 est.","145","Africa"
"Namibia","namibia","$24,040,000,000","2019 est.","146","Africa"
"Mauritania","mauritania","$23,520,000,000","2019 est.","147","Africa"
"Malta","malta","$22,133,000,000","2019 est.","148","Europe"
"West Bank","west-bank","$21,220,000,000","2014 est.","149","Middle East"
"Somalia","somalia","$20,440,000,000","2017 est.","150","Africa"
"Kosovo","kosovo","$20,396,000,000","2019 est.","151","Europe"
"Iceland","iceland","$20,187,000,000","2019 est.","152","Europe"
"South Sudan","south-sudan","$20,010,000,000","2017 est.","153","Africa"
"Congo, Republic of the","congo-republic-of-the","$19,763,000,000","2019 est.","154","Africa"
"Malawi","malawi","$19,741,000,000","2019 est.","155","Africa"
"Bahamas, The","bahamas-the","$14,450,000,000","2019 est.","156","Central America"
"Sierra Leone","sierra-leone","$13,425,000,000","2019 est.","157","Africa"
"Montenegro","montenegro","$13,357,000,000","2019 est.","158","Europe"
"Togo","togo","$12,904,000,000","2019 est.","159","Africa"
"Fiji","fiji","$12,178,000,000","2019 est.","160","Australia - Oceania"
