name,slug,value,date_of_information,ranking,region
"Libya","libya","64.00","2017 est.","1","Africa"
"Northern Mariana Islands","northern-mariana-islands","28.60","2016 est.","2","Australia - Oceania"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","25.50","2015 est.","3","South America"
"Ethiopia","ethiopia","10.90","2017 est.","4","Africa"
"Macau","macau","9.10","2017 est.","5","East Asia/Southeast Asia"
"Ghana","ghana","8.40","2017 est.","6","Africa"
"Guinea","guinea","8.20","2017 est.","7","Africa"
"Nepal","nepal","7.90","2017 est.","8","South Asia"
"Cote d'Ivoire","cote-divoire","7.80","2017 est.","9","Africa"
"Greenland","greenland","7.70","2016 est.","10","North America"
"Armenia","armenia","7.50","2017 est.","11","Middle East"
"Bangladesh","bangladesh","7.40","2017 est.","12","South Asia"
"Bhutan","bhutan","7.40","2017 est.","13","South Asia"
"Montserrat","montserrat","7.40","2011 est.","14","Central America"
"Senegal","senegal","7.20","2017 est.","15","Africa"
"Tajikistan","tajikistan","7.10","2017 est.","16","Central Asia"
"Tanzania","tanzania","6.98","2019 est.","17","Africa"
"Cambodia","cambodia","6.90","2017 est.","18","East Asia/Southeast Asia"
"Laos","laos","6.90","2017 est.","19","East Asia/Southeast Asia"
"Burma","burma","6.80","2017 est.","20","East Asia/Southeast Asia"
"Vietnam","vietnam","6.80","2017 est.","21","East Asia/Southeast Asia"
"Djibouti","djibouti","6.70","2017 est.","22","Africa"
"Turkmenistan","turkmenistan","6.50","2017 est.","23","Central Asia"
"Burkina Faso","burkina-faso","6.40","2017 est.","24","Africa"
"Niue","niue","6.20","2003 est.","25","Australia - Oceania"
"China","china","6.14","2019 est.","26","East Asia/Southeast Asia"
"Kazakhstan","kazakhstan","6.13","2019 est.","27","Central Asia"
"Rwanda","rwanda","6.10","2017 est.","28","Africa"
"Philippines","philippines","6.04","2019 est.","29","East Asia/Southeast Asia"
"Faroe Islands","faroe-islands","5.90","2017 est.","30","Europe"
"Guinea-Bissau","guinea-bissau","5.90","2017 est.","31","Africa"
"Ireland","ireland","5.86","2019 est.","32","Europe"
"Benin","benin","5.60","2017 est.","33","Africa"
"Mali","mali","5.40","2017 est.","34","Africa"
"Monaco","monaco","5.40","2015 est.","35","Europe"
"Pakistan","pakistan","5.40","2017 est.","36","South Asia"
"Panama","panama","5.40","2017 est.","37","Central America"
"Kenya","kenya","5.39","2019 est.","38","Africa"
"Seychelles","seychelles","5.30","2017 est.","39","Africa"
"Turks and Caicos Islands","turks-and-caicos-islands","5.30","2018 est.","40","Central America"
"Uzbekistan","uzbekistan","5.30","2017 est.","41","Central Asia"
"West Bank","west-bank","5.30","2014 est.","42","Middle East"
"Grenada","grenada","5.10","2017 est.","43","Central America"
"Mongolia","mongolia","5.10","2017 est.","44","East Asia/Southeast Asia"
"Indonesia","indonesia","5.03","2019 est.","45","East Asia/Southeast Asia"
"Eritrea","eritrea","5.00","2017 est.","46","Africa"
"Georgia","georgia","5.00","2017 est.","47","Middle East"
"Estonia","estonia","5.00","2019 est.","48","Europe"
"Malta","malta","4.94","2019 est.","49","Europe"
"Nicaragua","nicaragua","4.90","2017 est.","50","Central America"
"Niger","niger","4.90","2017 est.","51","Africa"
"India","india","4.86","2019 est.","52","South Asia"
"Honduras","honduras","4.80","2017 est.","53","Central America"
"Maldives","maldives","4.80","2017 est.","54","South Asia"
"Paraguay","paraguay","4.80","2017 est.","55","South America"
"Uganda","uganda","4.80","2017 est.","56","Africa"
"Dominican Republic","dominican-republic","4.60","2017 est.","57","Central America"
"Gambia, The","gambia-the","4.60","2017 est.","58","Africa"
"Kyrgyzstan","kyrgyzstan","4.60","2017 est.","59","Central Asia"
"Hungary","hungary","4.58","2019 est.","60","Europe"
"Poland","poland","4.55","2019 est.","61","Europe"
"Moldova","moldova","4.50","2017 est.","62","Europe"
"Togo","togo","4.40","2017 est.","63","Africa"
"Lithuania","lithuania","4.33","2019 est.","64","Europe"
"Malaysia","malaysia","4.31","2019 est.","65","East Asia/Southeast Asia"
"Central African Republic","central-african-republic","4.30","2017 est.","66","Africa"
"Montenegro","montenegro","4.30","2017 est.","67","Europe"
"Egypt","egypt","4.20","2017 est.","68","Africa"
"Madagascar","madagascar","4.20","2017 est.","69","Africa"
"Vanuatu","vanuatu","4.20","2017 est.","70","Australia - Oceania"
"Romania","romania","4.20","2019 est.","71","Europe"
"Serbia","serbia","4.18","2019 est.","72","Europe"
"Cabo Verde","cabo-verde","4.00","2017 est.","73","Africa"
"Malawi","malawi","4.00","2017 est.","74","Africa"
"Nauru","nauru","4.00","2017 est.","75","Australia - Oceania"
"Sao Tome and Principe","sao-tome-and-principe","3.90","2017 est.","76","Africa"
"Mauritius","mauritius","3.80","2017 est.","77","Africa"
"Iran","iran","3.70","2017 est.","78","Middle East"
"Kosovo","kosovo","3.70","2017 est.","79","Europe"
"Sierra Leone","sierra-leone","3.70","2017 est.","80","Africa"
"Zimbabwe","zimbabwe","3.70","2017 est.","81","Africa"
"Curacao","curacao","3.60","2012 est.","82","Central America"
"Sint Maarten","sint-maarten","3.60","2014 est.","83","Central America"
"Cameroon","cameroon","3.50","2017 est.","84","Africa"
"Mauritania","mauritania","3.50","2017 est.","85","Africa"
"Solomon Islands","solomon-islands","3.50","2017 est.","86","Australia - Oceania"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","3.40","2017 est.","87","Africa"
"Zambia","zambia","3.40","2017 est.","88","Africa"
"Bulgaria","bulgaria","3.39","2019 est.","89","Europe"
"Costa Rica","costa-rica","3.30","2017 est.","90","Central America"
"Israel","israel","3.28","2019 est.","91","Middle East"
"Colombia","colombia","3.26","2019 est.","92","South America"
"Ukraine","ukraine","3.24","2019 est.","93","Europe"
"Tuvalu","tuvalu","3.20","2017 est.","94","Australia - Oceania"
"Mozambique","mozambique","3.11","2018 est.","95","Africa"
"Kiribati","kiribati","3.10","2017 est.","96","Australia - Oceania"
"Cyprus","cyprus","3.08","2019 est.","97","Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","3.00","2017 est.","98","Europe"
"Fiji","fiji","3.00","2017 est.","99","Australia - Oceania"
"Saint Lucia","saint-lucia","3.00","2017 est.","100","Central America"
"Croatia","croatia","2.94","2019 est.","101","Europe"
"Denmark","denmark","2.85","2019 est.","102","Europe"
"Antigua and Barbuda","antigua-and-barbuda","2.80","2017 est.","103","Central America"
"Guatemala","guatemala","2.80","2017 est.","104","Central America"
"Taiwan","taiwan","2.71","2019 est.","105","East Asia/Southeast Asia"
"Afghanistan","afghanistan","2.70","2017 est.","106","South Asia"
"Comoros","comoros","2.70","2017 est.","107","Africa"
"Uruguay","uruguay","2.70","2017 est.","108","South America"
"Thailand","thailand","2.62","2019 est.","109","East Asia/Southeast Asia"
"Morocco","morocco","2.50","2019 est.","110","Africa"
"Liberia","liberia","2.50","2017 est.","111","Africa"
"Marshall Islands","marshall-islands","2.50","2017 est.","112","Australia - Oceania"
"Papua New Guinea","papua-new-guinea","2.50","2017 est.","113","East Asia/Southeast Asia"
"Samoa","samoa","2.50","2017 est.","114","Australia - Oceania"
"Tonga","tonga","2.50","2017 est.","115","Australia - Oceania"
"Bahrain","bahrain","2.49","2019 est.","116","Middle East"
"Slovakia","slovakia","2.40","2019 est.","117","Europe"
"Slovenia","slovenia","2.40","2019 est.","118","Europe"
"Botswana","botswana","2.40","2017 est.","119","Africa"
"Luxembourg","luxembourg","2.31","2019 est.","120","Europe"
"El Salvador","el-salvador","2.30","2017 est.","121","Central America"
"Somalia","somalia","2.30","2017 est.","122","Africa"
"Sri Lanka","sri-lanka","2.29","2019 est.","123","South Asia"
"Czechia","czechia","2.27","2019 est.","124","Europe"
"Albania","albania","2.24","2019 est.","125","Europe"
"Portugal","portugal","2.24","2019 est.","126","Europe"
"New Zealand","new-zealand","2.22","2019 est.","127","Australia - Oceania"
"Bolivia","bolivia","2.22","2019 est.","128","South America"
"Peru","peru","2.18","2019 est.","129","South America"
"United States","united-states","2.16","2019 est.","130","North America"
"Guyana","guyana","2.10","2017 est.","131","South America"
"Saint Kitts and Nevis","saint-kitts-and-nevis","2.10","2017 est.","132","Central America"
"Latvia","latvia","2.08","2019 est.","133","Europe"
"Korea, South","korea-south","2.04","2019 est.","134","East Asia/Southeast Asia"
"British Virgin Islands","british-virgin-islands","2.00","2017 est.","135","Central America"
"French Polynesia","french-polynesia","2.00","2015 est.","136","Australia - Oceania"
"Jordan","jordan","2.00","2019 est.","137","Middle East"
"Micronesia, Federated States of","micronesia-federated-states-of","2.00","2017 est.","138","Australia - Oceania"
"New Caledonia","new-caledonia","2.00","2017 est.","139","Australia - Oceania"
"Tunisia","tunisia","2.00","2017 est.","140","Africa"
"Spain","spain","1.95","2019 est.","141","Europe"
"Iceland","iceland","1.94","2019 est.","142","Europe"
"San Marino","san-marino","1.90","2017 est.","143","Europe"
"Suriname","suriname","1.90","2017 est.","144","South America"
"Greece","greece","1.87","2019 est.","145","Europe"
"Australia","australia","1.84","2019 est.","146","Australia - Oceania"
"Liechtenstein","liechtenstein","1.80","2012 est.","147","Europe"
"Cayman Islands","cayman-islands","1.70","2014 est.","148","Central America"
"Canada","canada","1.66","2019 est.","149","North America"
"Netherlands","netherlands","1.63","2019 est.","150","Europe"
"Cuba","cuba","1.60","2017 est.","151","Central America"
"Eswatini","eswatini","1.60","2017 est.","152","Africa"
"Qatar","qatar","1.60","2017 est.","153","Middle East"
"Lebanon","lebanon","1.50","2017 est.","154","Middle East"
"France","france","1.49","2019 est.","155","Europe"
"Austria","austria","1.42","2019 est.","156","Europe"
"Belgium","belgium","1.41","2019 est.","157","Europe"
"Algeria","algeria","1.40","2017 est.","158","Africa"
"Bahamas, The","bahamas-the","1.40","2017 est.","159","Central America"
"Sudan","sudan","1.40","2017 est.","160","Africa"
"Russia","russia","1.34","2019 est.","161","Central Asia"
"Brunei","brunei","1.30","2017 est.","162","East Asia/Southeast Asia"
"Sweden","sweden","1.29","2019 est.","163","Europe"
"United Kingdom","united-kingdom","1.26","2019 est.","164","Europe"
"Belarus","belarus","1.22","2019 est.","165","Europe"
"Aruba","aruba","1.20","2017 est.","166","Central America"
"Haiti","haiti","1.20","2017 est.","167","Central America"
"Finland","finland","1.15","2019 est.","168","Europe"
"Brazil","brazil","1.13","2019 est.","169","South America"
"Switzerland","switzerland","1.11","2019 est.","170","Europe"
"Chile","chile","1.03","2019 est.","171","South America"
"Cocos (Keeling) Islands","cocos-keeling-islands","1.00","2003","172","Australia - Oceania"
"Jersey","jersey","1.00","2016 est.","173","Europe"
"Turkey","turkey","0.98","2019 est.","174","Middle East"
"Virgin Islands","virgin-islands","0.90","2016 est.","175","Central America"
"Norway","norway","0.86","2019 est.","176","Europe"
"Belize","belize","0.80","2017 est.","177","Central America"
"Nigeria","nigeria","0.80","2017 est.","178","Africa"
"United Arab Emirates","united-arab-emirates","0.80","2017 est.","179","Middle East"
"Singapore","singapore","0.73","2019 est.","180","East Asia/Southeast Asia"
"Jamaica","jamaica","0.70","2017 est.","181","Central America"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","0.70","2017 est.","182","Central America"
"Japan","japan","0.70","2019 est.","183","East Asia/Southeast Asia"
"Germany","germany","0.59","2019 est.","184","Europe"
"Gabon","gabon","0.50","2017 est.","185","Africa"
"Guam","guam","0.40","2016 est.","186","Australia - Oceania"
"Guernsey","guernsey","0.40","2015 est.","187","Europe"
"Italy","italy","0.34","2019 est.","188","Europe"
"Azerbaijan","azerbaijan","0.10","2017 est.","189","Middle East"
"Cook Islands","cook-islands","0.10","2005 est.","190","Australia - Oceania"
"South Africa","south-africa","0.06","2019 est.","191","Africa"
"Ecuador","ecuador","0.06","2019 est.","192","South America"
"Burundi","burundi","0.00","2017 est.","193","Africa"
"Bermuda","bermuda","-0.10","2016 est.","195","North America"
"Barbados","barbados","-0.20","2017 est.","196","Central America"
"Mexico","mexico","-0.30","2019 est.","197","North America"
"Oman","oman","-0.90","2017 est.","198","Middle East"
"Saudi Arabia","saudi-arabia","-0.90","2017 est.","199","Middle East"
"Andorra","andorra","-1.10","2015 est.","200","Europe"
"Korea, North","korea-north","-1.10","2015 est.","201","East Asia/Southeast Asia"
"Hong Kong","hong-kong","-1.25","2019 est.","202","East Asia/Southeast Asia"
"Namibia","namibia","-1.56","2019 est.","203","Africa"
"Lesotho","lesotho","-1.60","2017 est.","204","Africa"
"Argentina","argentina","-2.03","2019 est.","205","South America"
"Iraq","iraq","-2.10","2017 est.","206","Middle East"
"Puerto Rico","puerto-rico","-2.40","2017 est.","207","Central America"
"American Samoa","american-samoa","-2.50","2016 est.","208","Australia - Oceania"
"Angola","angola","-2.50","2017 est.","209","Africa"
