name,slug,value,date_of_information,ranking,region
"China","china","$3,236,000,000,000","31 December 2017 est.","1","East Asia/Southeast Asia"
"Japan","japan","$1,264,000,000,000","31 December 2017 est.","2","East Asia/Southeast Asia"
"Switzerland","switzerland","$811,200,000,000","31 December 2017 est.","3","Europe"
"Saudi Arabia","saudi-arabia","$496,400,000,000","31 December 2017 est.","4","Middle East"
"Taiwan","taiwan","$456,700,000,000","31 December 2017 est.","5","East Asia/Southeast Asia"
"Russia","russia","$432,700,000,000","31 December 2017 est.","6","Central Asia"
"Hong Kong","hong-kong","$431,400,000,000","31 December 2017 est.","7","East Asia/Southeast Asia"
"India","india","$409,800,000,000","31 December 2017 est.","8","South Asia"
"Korea, South","korea-south","$389,200,000,000","31 December 2017 est.","9","East Asia/Southeast Asia"
"Brazil","brazil","$374,000,000,000","31 December 2017 est.","10","South America"
"Singapore","singapore","$279,900,000,000","31 December 2017 est.","11","East Asia/Southeast Asia"
"Thailand","thailand","$202,600,000,000","31 December 2017 est.","12","East Asia/Southeast Asia"
"Germany","germany","$200,100,000,000","31 December 2017 est.","13","Europe"
"Mexico","mexico","$175,300,000,000","31 December 2017 est.","14","North America"
"France","france","$156,400,000,000","31 December 2017 est.","15","Europe"
"Italy","italy","$151,200,000,000","31 December 2017 est.","16","Europe"
"United Kingdom","united-kingdom","$150,800,000,000","31 December 2017 est.","17","Europe"
"Czechia","czechia","$148,000,000,000","31 December 2017 est.","18","Europe"
"Indonesia","indonesia","$130,200,000,000","31 December 2017 est.","19","East Asia/Southeast Asia"
"United States","united-states","$123,300,000,000","31 December 2017 est.","20","North America"
"Iran","iran","$120,600,000,000","31 December 2017 est.","21","Middle East"
"Poland","poland","$113,300,000,000","31 December 2017 est.","22","Europe"
"Israel","israel","$113,000,000,000","31 December 2017 est.","23","Middle East"
"Turkey","turkey","$107,700,000,000","31 December 2017 est.","24","Middle East"
"Malaysia","malaysia","$102,400,000,000","31 December 2017 est.","25","East Asia/Southeast Asia"
"Algeria","algeria","$97,890,000,000","31 December 2017 est.","26","Africa"
"United Arab Emirates","united-arab-emirates","$95,370,000,000","31 December 2017 est.","27","Middle East"
"Canada","canada","$86,680,000,000","31 December 2017 est.","28","North America"
"Philippines","philippines","$81,570,000,000","31 December 2017 est.","29","East Asia/Southeast Asia"
"Denmark","denmark","$75,250,000,000","31 December 2017 est.","30","Europe"
"Libya","libya","$74,710,000,000","31 December 2017 est.","31","Africa"
