name,slug,value,date_of_information,ranking,region
"United States","united-states","6,586,610","2012","1","North America"
"China","china","4,960,600","2017","2","East Asia/Southeast Asia"
"India","india","4,699,024","2015","3","South Asia"
"Brazil","brazil","2,000,000","2018","4","South America"
"Russia","russia","1,283,387","2012","5","Central Asia"
"Japan","japan","1,218,772","2015","6","East Asia/Southeast Asia"
"France","france","1,053,215","2011","7","Europe"
"Canada","canada","1,042,300","2011","8","North America"
"Australia","australia","873,573","2015","9","Australia - Oceania"
"South Africa","south-africa","750,000","2016","10","Africa"
"Spain","spain","683,175","2011","11","Europe"
"Germany","germany","625,000","2017","12","Europe"
"Sweden","sweden","573,134","2016","13","Europe"
"Indonesia","indonesia","496,607","2011","14","East Asia/Southeast Asia"
"Italy","italy","487,700","2007","15","Europe"
"Finland","finland","454,000","2012","16","Europe"
"Poland","poland","420,000","2016","17","Europe"
"Mexico","mexico","398,148","2017","18","North America"
"United Kingdom","united-kingdom","394,428","2009","19","Europe"
"Bangladesh","bangladesh","369,105","2018","20","South Asia"
"Argentina","argentina","281,290","2017","21","South America"
"Pakistan","pakistan","263,775","2019","22","South Asia"
"Iran","iran","223,485","2018","23","Middle East"
"Saudi Arabia","saudi-arabia","221,372","2006","24","Middle East"
"Philippines","philippines","216,387","2014","25","East Asia/Southeast Asia"
"Colombia","colombia","206,500","2016","26","South America"
"Hungary","hungary","203,601","2014","27","Europe"
"Vietnam","vietnam","195,468","2013","28","East Asia/Southeast Asia"
"Nigeria","nigeria","195,000","2017","29","Africa"
"Thailand","thailand","180,053","2006","30","East Asia/Southeast Asia"
"Kenya","kenya","177,800","2018","31","Africa"
"Ukraine","ukraine","169,694","2012","32","Europe"
"Burma","burma","157,000","2013","33","East Asia/Southeast Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","152,373","2015","34","Africa"
"Malaysia","malaysia","144,403","2010","35","East Asia/Southeast Asia"
"Peru","peru","140,672","2012","36","South America"
"Netherlands","netherlands","139,124","2016","37","Europe"
"Mali","mali","139,107","2018","38","Africa"
"Austria","austria","137,039","2018","39","Europe"
"Ethiopia","ethiopia","120,171","2018","40","Africa"
"Belgium","belgium","118,414","2015","41","Europe"
"Greece","greece","117,000","2018","42","Europe"
"Sri Lanka","sri-lanka","114,093","2010","43","South Asia"
"Mongolia","mongolia","113,200","2017","44","East Asia/Southeast Asia"
"Ghana","ghana","109,515","2009","45","Africa"
"Algeria","algeria","104,000","2015","46","Africa"
"Korea, South","korea-south","100,428","2016","47","East Asia/Southeast Asia"
"Ireland","ireland","99,830","2018","48","Europe"
"Zimbabwe","zimbabwe","97,267","2019","49","Africa"
"Venezuela","venezuela","96,189","2014","50","South America"
"Kazakhstan","kazakhstan","95,409","2017","51","Central Asia"
"Norway","norway","94,902","2018","52","Europe"
"New Zealand","new-zealand","94,000","2017","53","Australia - Oceania"
"Bolivia","bolivia","90,568","2017","54","South America"
"South Sudan","south-sudan","90,200","2019","55","Africa"
"Tanzania","tanzania","87,581","2015","56","Africa"
"Belarus","belarus","86,600","2017","57","Europe"
"Uzbekistan","uzbekistan","86,496","2000","58","Central Asia"
"Romania","romania","84,185","2012","59","Europe"
"Lithuania","lithuania","84,166","2012","60","Europe"
"Portugal","portugal","82,900","2008","61","Europe"
"Cote d'Ivoire","cote-divoire","81,996","2007","62","Africa"
"Chile","chile","77,801","2016","63","South America"
"Uruguay","uruguay","77,732","2010","64","South America"
"Cameroon","cameroon","77,589","2016","65","Africa"
"Paraguay","paraguay","74,676","2017","66","South America"
"Denmark","denmark","74,558","2017","67","Europe"
"Switzerland","switzerland","71,557","2017","68","Europe"
"Yemen","yemen","71,300","2005","69","Middle East"
"Latvia","latvia","70,244","2018","70","Europe"
"Syria","syria","69,873","2010","71","Middle East"
"Zambia","zambia","67,671","2018","72","Africa"
"Turkey","turkey","67,333","2018","73","Middle East"
"Egypt","egypt","65,050","2017","74","Africa"
"Oman","oman","60,230","2012","75","Middle East"
"Cuba","cuba","60,000","2015","76","Central America"
"Iraq","iraq","59,623","2012","77","Middle East"
"Turkmenistan","turkmenistan","58,592","2002","78","Central Asia"
"Estonia","estonia","58,412","2011","79","Europe"
"Morocco","morocco","57,300","2018","80","Africa"
"Slovakia","slovakia","56,926","2016","81","Europe"
"Czechia","czechia","55,744","2019","82","Europe"
"Namibia","namibia","48,875","2018","83","Africa"
"Cambodia","cambodia","47,263","2013","84","East Asia/Southeast Asia"
"Guinea","guinea","44,301","2018","85","Africa"
"Serbia","serbia","44,248","2016","86","Europe"
"Ecuador","ecuador","43,216","2015","87","South America"
"Taiwan","taiwan","43,206","2017","88","East Asia/Southeast Asia"
"Chad","chad","40,000","2018","89","Africa"
"Laos","laos","39,586","2009","90","East Asia/Southeast Asia"
"Slovenia","slovenia","38,985","2012","91","Europe"
"Libya","libya","37,000","2010","92","Africa"
"Afghanistan","afghanistan","34,903","2017","93","South Asia"
"Kyrgyzstan","kyrgyzstan","34,000","2018","94","Central Asia"
"Botswana","botswana","31,747","2017","95","Africa"
"Madagascar","madagascar","31,640","2018","96","Africa"
"Mozambique","mozambique","31,083","2015","97","Africa"
"Sudan","sudan","31,000","2019","98","Africa"
"Tajikistan","tajikistan","30,000","2018","99","Central Asia"
"Nepal","nepal","27,990","2016","100","South Asia"
"Croatia","croatia","26,958","2015","101","Europe"
"Puerto Rico","puerto-rico","26,862","2012","102","Central America"
"Angola","angola","26,000","2018","103","Africa"
"Korea, North","korea-north","25,554","2006","104","East Asia/Southeast Asia"
"Azerbaijan","azerbaijan","24,981","2013","105","Middle East"
"Central African Republic","central-african-republic","24,000","2018","106","Africa"
"Nicaragua","nicaragua","23,897","2014","107","Central America"
"Congo, Republic of the","congo-republic-of-the","23,324","2017","108","Africa"
"Bosnia and Herzegovina","bosnia-and-herzegovina","22,926","2010","109","Europe"
"Jamaica","jamaica","22,121","2011","110","Central America"
"Lebanon","lebanon","21,705","2017","111","Middle East"
"Uganda","uganda","20,544","2017","112","Africa"
"Georgia","georgia","20,295","2018","113","Middle East"
"Cyprus","cyprus","19,901","2016","114","Europe"
"Dominican Republic","dominican-republic","19,705","2002","115","Central America"
"Israel","israel","19,555","2017","116","Middle East"
"Bulgaria","bulgaria","19,512","2011","117","Europe"
"Niger","niger","18,949","2010","118","Africa"
"Guatemala","guatemala","17,621","2016","119","Central America"
"Senegal","senegal","16,665","2017","120","Africa"
"Benin","benin","16,000","2006","121","Africa"
"Eritrea","eritrea","16,000","2018","122","Africa"
"Malawi","malawi","15,452","2015","123","Africa"
"Burkina Faso","burkina-faso","15,304","2014","124","Africa"
"Somalia","somalia","15,000","2018","125","Africa"
"Honduras","honduras","14,742","2012","126","Central America"
"Gabon","gabon","14,300","2001","127","Africa"
"Iceland","iceland","12,898","2012","129","Europe"
"Burundi","burundi","12,322","2016","130","Africa"
"Mauritania","mauritania","12,253","2018","131","Africa"
"Bhutan","bhutan","12,205","2017","132","South Asia"
"Togo","togo","11,734","2081","133","Africa"
"Sierra Leone","sierra-leone","11,700","2015","134","Africa"
"Liberia","liberia","10,600","2018","135","Africa"
"Moldova","moldova","9,352","2012","136","Europe"
"Papua New Guinea","papua-new-guinea","9,349","2011","137","East Asia/Southeast Asia"
"El Salvador","el-salvador","9,012","2017","138","Central America"
"Montenegro","montenegro","7,762","2010","139","Europe"
"Armenia","armenia","7,700","2019","140","Middle East"
"Jordan","jordan","7,203","2011","141","Middle East"
"Qatar","qatar","7,039","2016","142","Middle East"
"Timor-Leste","timor-leste","6,040","2008","143","East Asia/Southeast Asia"
"Lesotho","lesotho","5,940","2011","144","Africa"
"Kuwait","kuwait","5,749","2018","145","Middle East"
"New Caledonia","new-caledonia","5,622","2006","146","Australia - Oceania"
"Costa Rica","costa-rica","5,035","2017","147","Central America"
"Rwanda","rwanda","4,700","2012","148","Africa"
"West Bank","west-bank","4,686","2010","149","Middle East"
"Guinea-Bissau","guinea-bissau","4,400","2018","150","Africa"
"Suriname","suriname","4,304","2003","151","South America"
"Haiti","haiti","4,266","2009","152","Central America"
"Bahrain","bahrain","4,122","2010","153","Middle East"
"United Arab Emirates","united-arab-emirates","4,080","2008","154","Middle East"
"Guyana","guyana","3,995","2019","155","South America"
"Albania","albania","3,945","2018","156","Europe"
"Eswatini","eswatini","3,769","2019","157","Africa"
"Singapore","singapore","3,500","2017","158","East Asia/Southeast Asia"
"Fiji","fiji","3,440","2011","159","Australia - Oceania"
"Belize","belize","3,281","2017","160","Central America"
"Gambia, The","gambia-the","2,977","2011","161","Africa"
"Brunei","brunei","2,976","2014","162","East Asia/Southeast Asia"
"Djibouti","djibouti","2,893","2013","163","Africa"
"Equatorial Guinea","equatorial-guinea","2,880","2017","164","Africa"
"Luxembourg","luxembourg","2,875","2019","165","Europe"
"Bahamas, The","bahamas-the","2,700","2011","166","Central America"
"French Polynesia","french-polynesia","2,590","1999","167","Australia - Oceania"
"Mauritius","mauritius","2,428","2015","168","Africa"
"Malta","malta","2,254","2001","169","Europe"
"Hong Kong","hong-kong","2,107","2017","170","East Asia/Southeast Asia"
"Marshall Islands","marshall-islands","2,028","2007","171","Australia - Oceania"
"Kosovo","kosovo","2,012","2015","172","Europe"
"Barbados","barbados","1,700","2015","173","Central America"
"Dominica","dominica","1,512","2018","174","Central America"
"Solomon Islands","solomon-islands","1,390","2011","175","Australia - Oceania"
"Cabo Verde","cabo-verde","1,350","2013","176","Africa"
"Sao Tome and Principe","sao-tome-and-principe","1,300","2018","177","Africa"
"Virgin Islands","virgin-islands","1,260","2008","178","Central America"
"Saint Lucia","saint-lucia","1,210","2011","179","Central America"
"Antigua and Barbuda","antigua-and-barbuda","1,170","2011","180","Central America"
"Samoa","samoa","1,150","2018","181","Australia - Oceania"
"Grenada","grenada","1,127","2017","182","Central America"
"Vanuatu","vanuatu","1,070","2000","183","Australia - Oceania"
"Guam","guam","1,045","2008","184","Australia - Oceania"
"Aruba","aruba","1,000","2010","185","Central America"
"Faroe Islands","faroe-islands","960","2017","186","Europe"
"Comoros","comoros","880","2002","187","Africa"
"Cayman Islands","cayman-islands","785","2007","188","Central America"
"Tonga","tonga","680","2011","189","Australia - Oceania"
"Kiribati","kiribati","670","2017","190","Australia - Oceania"
"Liechtenstein","liechtenstein","630","2019","191","Europe"
"Jersey","jersey","576","2010","192","Europe"
"Curacao","curacao","550","","193","Central America"
"Northern Mariana Islands","northern-mariana-islands","536","2008","194","Australia - Oceania"
"Seychelles","seychelles","526","2015","195","Africa"
"Isle of Man","isle-of-man","500","2008","196","Europe"
"Bermuda","bermuda","447","2010","197","North America"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","440","2008","198","South America"
"Macau","macau","428","2017","199","East Asia/Southeast Asia"
"Saint Kitts and Nevis","saint-kitts-and-nevis","383","2002","200","Central America"
"Andorra","andorra","320","2019","201","Europe"
"Cook Islands","cook-islands","295","2018","202","Australia - Oceania"
"San Marino","san-marino","292","2006","203","Europe"
"Guernsey","guernsey","260","2017","204","Europe"
"American Samoa","american-samoa","241","2016","205","Australia - Oceania"
"Niue","niue","234","2017","206","Australia - Oceania"
"British Virgin Islands","british-virgin-islands","200","2007","207","Central America"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","198","2002","208","Africa"
"Anguilla","anguilla","175","2004","209","Central America"
"Christmas Island","christmas-island","142","2011","210","Australia - Oceania"
"Palau","palau","125","2018","211","Australia - Oceania"
"Turks and Caicos Islands","turks-and-caicos-islands","121","2003","212","Central America"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","117","2009","213","North America"
"Maldives","maldives","93","2018","214","South Asia"
"Norfolk Island","norfolk-island","80","2008","215","Australia - Oceania"
"Sint Maarten","sint-maarten","53","","216","Central America"
"Saint Barthelemy","saint-barthelemy","40","","217","Central America"
"Svalbard","svalbard","40","2020","218","Europe"
"Nauru","nauru","30","2002","219","Australia - Oceania"
"Gibraltar","gibraltar","29","2007","220","Europe"
"Cocos (Keeling) Islands","cocos-keeling-islands","22","2007","221","Australia - Oceania"
"Tokelau","tokelau","10","2019","222","Australia - Oceania"
"Tuvalu","tuvalu","8","2011","223","Australia - Oceania"
"Pitcairn Islands","pitcairn-islands","0","","224","Australia - Oceania"
