name,slug,value,date_of_information,ranking,region
"Tuvalu","tuvalu","106.7","2013 est.","1","Australia - Oceania"
"Nauru","nauru","90.3","2017 est.","2","Australia - Oceania"
"Greenland","greenland","77.4","2016 est.","3","North America"
"Kiribati","kiribati","76.8","2017 est.","4","Australia - Oceania"
"Andorra","andorra","69.0","2016","5","Europe"
"Palau","palau","66.1","2016 est.","6","Australia - Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","65.2","FY12/13 est.","7","Australia - Oceania"
"Cuba","cuba","58.1","2017 est.","8","Central America"
"Norway","norway","54.4","2017 est.","9","Europe"
"France","france","53.8","2017 est.","10","Europe"
"Finland","finland","53.1","2017 est.","11","Europe"
"Denmark","denmark","53.0","2017 est.","12","Europe"
"Marshall Islands","marshall-islands","52.6","2013 est.","13","Australia - Oceania"
"Libya","libya","51.6","2017 est.","14","Africa"
"Belgium","belgium","51.3","2017 est.","15","Europe"
"Sweden","sweden","50.6","2017 est.","16","Europe"
"Greece","greece","48.8","2017 est.","17","Europe"
"Austria","austria","48.3","2017 est.","18","Europe"
"Anguilla","anguilla","46.7","2017 est.","19","Central America"
"Italy","italy","46.6","2017 est.","20","Europe"
"Croatia","croatia","46.1","2017 est.","21","Europe"
"Germany","germany","45.0","2017 est.","22","Europe"
"Hungary","hungary","44.5","2017 est.","23","Europe"
"Luxembourg","luxembourg","44.4","2017 est.","24","Europe"
"Venezuela","venezuela","44.2","2017 est.","25","South America"
"Bosnia and Herzegovina","bosnia-and-herzegovina","44.0","2017 est.","26","Europe"
"Netherlands","netherlands","43.4","2017 est.","27","Europe"
"Slovenia","slovenia","43.1","2017 est.","28","Europe"
"Portugal","portugal","42.9","2017 est.","29","Europe"
"Serbia","serbia","42.7","2017 est.","30","Europe"
"Iceland","iceland","42.4","2017 est.","31","Europe"
"Kuwait","kuwait","41.8","2017 est.","32","Middle East"
"Solomon Islands","solomon-islands","41.0","2017 est.","33","Australia - Oceania"
"Dominica","dominica","40.9","2017 est.","34","Central America"
"Belarus","belarus","40.7","2017 est.","35","Europe"
"San Marino","san-marino","40.6","2011 est.","36","Europe"
"Czechia","czechia","40.5","2017 est.","37","Europe"
"Malta","malta","40.4","2017 est.","38","Europe"
"Bolivia","bolivia","39.9","2017 est.","39","South America"
"Cyprus","cyprus","39.9","2017 est.","40","Europe"
"Estonia","estonia","39.9","2017 est.","41","Europe"
"Tonga","tonga","39.8","2017 est.","42","Australia - Oceania"
"Lesotho","lesotho","39.7","2017 est.","43","Africa"
"Seychelles","seychelles","39.6","2017 est.","44","Africa"
"Poland","poland","39.5","2017 est.","45","Europe"
"French Polynesia","french-polynesia","39.4","2012","46","Australia - Oceania"
"Slovakia","slovakia","39.4","2017 est.","47","Europe"
"Canada","canada","39.3","2017 est.","48","North America"
"United Kingdom","united-kingdom","39.1","2017 est.","49","Europe"
"British Virgin Islands","british-virgin-islands","38.9","2017 est.","50","Central America"
"Cayman Islands","cayman-islands","38.9","2017 est.","51","Central America"
"Spain","spain","37.9","2017 est.","52","Europe"
"American Samoa","american-samoa","37.8","2016 est.","53","Australia - Oceania"
"Latvia","latvia","37.5","2017 est.","54","Europe"
"Montenegro","montenegro","37.2","2017 est.","55","Europe"
"New Zealand","new-zealand","36.8","2017 est.","56","Australia - Oceania"
"Brazil","brazil","35.7","2017 est.","57","South America"
"Bulgaria","bulgaria","35.7","2017 est.","58","Europe"
"Iraq","iraq","35.7","2017 est.","59","Middle East"
"Switzerland","switzerland","35.7","2017 est.","60","Europe"
"Australia","australia","35.5","2017 est.","61","Australia - Oceania"
"Djibouti","djibouti","35.3","2017 est.","62","Africa"
"Japan","japan","35.2","2017 est.","63","East Asia/Southeast Asia"
"Eritrea","eritrea","34.9","2017 est.","64","Africa"
"Lithuania","lithuania","33.7","2017 est.","65","Europe"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","32.5","FY09/10","66","South America"
"Algeria","algeria","32.3","2017 est.","67","Africa"
"Namibia","namibia","32.2","2017 est.","68","Africa"
"Ecuador","ecuador","32.0","2017 est.","69","South America"
"Saint Kitts and Nevis","saint-kitts-and-nevis","31.9","2017 est.","70","Central America"
"Tajikistan","tajikistan","31.8","2017 est.","71","Central Asia"
"Northern Mariana Islands","northern-mariana-islands","31.4","2016 est.","72","Australia - Oceania"
"Oman","oman","31.3","2017 est.","73","Middle East"
"Uzbekistan","uzbekistan","31.2","2017 est.","74","Central Asia"
"Botswana","botswana","30.5","2017 est.","75","Africa"
"Faroe Islands","faroe-islands","30.2","2014 est.","76","Europe"
"Moldova","moldova","30.2","2017 est.","77","Europe"
"Belize","belize","29.9","2017 est.","78","Central America"
"Uruguay","uruguay","29.8","2017 est.","79","South America"
"Fiji","fiji","29.7","2017 est.","80","Australia - Oceania"
"Jamaica","jamaica","29.7","2017 est.","81","Central America"
"Barbados","barbados","29.4","2017 est.","82","Central America"
"Angola","angola","29.3","2017 est.","83","Africa"
"Romania","romania","29.3","2017 est.","84","Europe"
"Macau","macau","29.2","2017 est.","85","East Asia/Southeast Asia"
"Cook Islands","cook-islands","29.0","2010 est.","86","Australia - Oceania"
"Kosovo","kosovo","29.0","2017 est.","87","Europe"
"Virgin Islands","virgin-islands","28.9","2016 est.","89","Central America"
"United Arab Emirates","united-arab-emirates","28.8","2017 est.","90","Middle East"
"Georgia","georgia","28.7","2017 est.","91","Middle East"
"Kyrgyzstan","kyrgyzstan","28.7","2017 est.","92","Central Asia"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","28.7","2017 est.","93","Central America"
"Eswatini","eswatini","28.6","2017 est.","94","Africa"
"Samoa","samoa","28.2","2017 est.","95","Australia - Oceania"
"Guyana","guyana","28.1","2017 est.","96","South America"
"Nicaragua","nicaragua","28.0","2017 est.","97","Central America"
"Cabo Verde","cabo-verde","27.8","2017 est.","98","Africa"
"Albania","albania","27.6","2017 est.","99","Europe"
"Mauritania","mauritania","27.4","2017 est.","100","Africa"
"Bhutan","bhutan","27.2","2017 est.","101","South Asia"
"Vanuatu","vanuatu","27.2","2017 est.","102","Australia - Oceania"
"Peru","peru","27.1","2017 est.","103","South America"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","26.8","1996 est.","104","North America"
"Mozambique","mozambique","26.7","2017 est.","105","Africa"
"Mongolia","mongolia","26.6","2017 est.","106","East Asia/Southeast Asia"
"South Africa","south-africa","26.6","2017 est.","107","Africa"
"Ukraine","ukraine","26.6","2017 est.","108","Europe"
"Colombia","colombia","26.5","2017 est.","109","South America"
"Israel","israel","26.5","2017 est.","110","Middle East"
"Maldives","maldives","26.4","2016 est.","111","South Asia"
"Qatar","qatar","26.4","2017 est.","112","Middle East"
"Saudi Arabia","saudi-arabia","26.4","2017 est.","113","Middle East"
"Sao Tome and Principe","sao-tome-and-principe","26.2","2017 est.","114","Africa"
"Ireland","ireland","26.0","2017 est.","115","Europe"
"Grenada","grenada","25.8","2017 est.","116","Central America"
"Comoros","comoros","25.3","2017 est.","117","Africa"
"Aruba","aruba","25.2","2017 est.","118","Central America"
"Vietnam","vietnam","24.8","2017 est.","119","East Asia/Southeast Asia"
"Tunisia","tunisia","24.7","2017 est.","120","Africa"
"Trinidad and Tobago","trinidad-and-tobago","24.5","2017 est.","121","Central America"
"Nepal","nepal","23.8","2017 est.","122","South Asia"
"El Salvador","el-salvador","23.7","2017 est.","123","Central America"
"Jordan","jordan","23.6","2017 est.","124","Middle East"
"Saint Lucia","saint-lucia","23.6","2017 est.","125","Central America"
"Azerbaijan","azerbaijan","23.5","2017 est.","126","Middle East"
"Gibraltar","gibraltar","23.3","2008 est.","127","Europe"
"Hong Kong","hong-kong","23.2","2017 est.","128","East Asia/Southeast Asia"
"Korea, South","korea-south","23.2","2017 est.","129","East Asia/Southeast Asia"
"Armenia","armenia","22.9","2017 est.","130","Middle East"
"Mexico","mexico","22.7","2017 est.","131","North America"
"Congo, Republic of the","congo-republic-of-the","22.5","2017 est.","132","Africa"
"Mauritius","mauritius","22.5","2017 est.","133","Africa"
"Kazakhstan","kazakhstan","22.3","2017 est.","134","Central Asia"
"Malawi","malawi","21.7","2017 est.","135","Africa"
"Lebanon","lebanon","21.5","2017 est.","136","Middle East"
"Togo","togo","21.5","2017 est.","137","Africa"
"Zimbabwe","zimbabwe","21.5","2017 est.","138","Africa"
"Guam","guam","21.4","2016 est.","139","Australia - Oceania"
"Niger","niger","21.4","2017 est.","140","Africa"
"China","china","21.3","2017 est.","141","East Asia/Southeast Asia"
"Rwanda","rwanda","21.3","2017 est.","142","Africa"
