name,slug,value,date_of_information,ranking,region
"China","china","191,033,000","","1","East Asia/Southeast Asia"
"United States","united-states","107,568,000","","2","North America"
"Japan","japan","62,743,196","","3","East Asia/Southeast Asia"
"Germany","germany","40,400,000","","4","Europe"
"France","france","37,797,000","","5","Europe"
"Brazil","brazil","33,712,877","","6","South America"
"United Kingdom","united-kingdom","32,288,000","","7","Europe"
"Iran","iran","28,954,855","","8","Middle East"
"Russia","russia","27,674,128","","9","Central Asia"
"Korea, South","korea-south","24,727,415","","10","East Asia/Southeast Asia"
"Mexico","mexico","22,717,180","","11","North America"
"India","india","21,004,534","","12","South Asia"
"Spain","spain","19,639,778","","13","Europe"
"Italy","italy","19,519,434","","14","Europe"
"Canada","canada","13,267,000","","15","North America"
"Taiwan","taiwan","12,971,902","","16","East Asia/Southeast Asia"
"Turkey","turkey","11,532,903","","17","Middle East"
"Indonesia","indonesia","9,662,135","","18","East Asia/Southeast Asia"
"Egypt","egypt","8,760,436","","19","Africa"
"Australia","australia","7,820,000","","20","Australia - Oceania"
"Argentina","argentina","7,757,243","","21","South America"
"Malaysia","malaysia","7,446,300","","22","East Asia/Southeast Asia"
"Colombia","colombia","7,012,306","","23","South America"
"Poland","poland","6,824,896","","24","Europe"
"Netherlands","netherlands","5,560,000","","25","Europe"
"Thailand","thailand","5,415,000","","26","East Asia/Southeast Asia"
"Saudi Arabia","saudi-arabia","5,377,978","","27","Middle East"
"Venezuela","venezuela","5,351,312","","28","South America"
"Portugal","portugal","5,087,977","","29","Europe"
"Greece","greece","4,820,898","","30","Europe"
"Algeria","algeria","4,635,217","","31","Africa"
"Belarus","belarus","4,451,144","","32","Europe"
"Philippines","philippines","4,255,808","","33","East Asia/Southeast Asia"
"Ukraine","ukraine","4,182,994","","34","Europe"
"Hong Kong","hong-kong","4,029,603","","35","East Asia/Southeast Asia"
"Belgium","belgium","3,930,410","","36","Europe"
"Austria","austria","3,722,128","","37","Europe"
"Vietnam","vietnam","3,658,005","","38","East Asia/Southeast Asia"
"Uzbekistan","uzbekistan","3,553,310","","39","Central Asia"
"Romania","romania","3,380,000","","40","Europe"
"Israel","israel","3,140,000","","41","Middle East"
"Switzerland","switzerland","3,102,504","","42","Europe"
"Peru","peru","3,099,172","","43","South America"
"Kazakhstan","kazakhstan","3,072,500","","44","Central Asia"
"Hungary","hungary","3,048,754","","45","Europe"
"Iraq","iraq","2,859,094","","46","Middle East"
"Syria","syria","2,843,103","","47","Middle East"
"Chile","chile","2,750,272","","48","South America"
"Serbia","serbia","2,565,392","","49","Europe"
"Pakistan","pakistan","2,461,916","","50","South Asia"
"United Arab Emirates","united-arab-emirates","2,362,602","","51","Middle East"
"Sri Lanka","sri-lanka","2,291,464","","52","South Asia"
"Ecuador","ecuador","2,195,840","","53","South America"
"Morocco","morocco","2,054,545","","54","Africa"
"South Africa","south-africa","2,024,730","","55","Africa"
"Guatemala","guatemala","1,974,006","","56","Central America"
"Singapore","singapore","1,911,200","","57","East Asia/Southeast Asia"
"New Zealand","new-zealand","1,801,645","","58","Australia - Oceania"
"Ireland","ireland","1,766,937","","59","Europe"
"Sweden","sweden","1,750,989","","60","Europe"
"Azerbaijan","azerbaijan","1,673,211","","61","Middle East"
"Libya","libya","1,618,511","","62","Africa"
"Czechia","czechia","1,494,175","","63","Europe"
"Laos","laos","1,490,831","","64","East Asia/Southeast Asia"
"Tunisia","tunisia","1,454,183","","65","Africa"
"Bangladesh","bangladesh","1,449,646","","66","South Asia"
"Cuba","cuba","1,447,134","","67","Central America"
"Croatia","croatia","1,333,661","","68","Europe"
"Yemen","yemen","1,253,287","","69","Middle East"
