name,slug,value,date_of_information,ranking,region
"China","china","1,746,238,000","","1","East Asia/Southeast Asia"
"India","india","1,151,480,361","","2","South Asia"
"United States","united-states","442,457,000","","3","North America"
"Indonesia","indonesia","341,277,549","","4","East Asia/Southeast Asia"
"Russia","russia","239,795,946","","5","Central Asia"
"Brazil","brazil","202,009,290","","6","South America"
"Japan","japan","186,514,109","","7","East Asia/Southeast Asia"
"Nigeria","nigeria","184,592,255","","8","Africa"
"Philippines","philippines","167,322,432","","9","East Asia/Southeast Asia"
"Bangladesh","bangladesh","165,572,000","","10","South Asia"
"Pakistan","pakistan","165,405,847","","11","South Asia"
"Vietnam","vietnam","136,230,406","","12","East Asia/Southeast Asia"
"Thailand","thailand","129,614,000","","13","East Asia/Southeast Asia"
"Mexico","mexico","122,040,789","","14","North America"
"Iran","iran","118,061,419","","15","Middle East"
"Germany","germany","107,200,000","","16","Europe"
"South Africa","south-africa","96,972,459","","17","Africa"
"Egypt","egypt","95,340,262","","18","Africa"
"United Kingdom","united-kingdom","80,967,000","","19","Europe"
"Turkey","turkey","80,790,877","","20","Middle East"
"Italy","italy","79,480,756","","21","Europe"
"France","france","72,040,000","","22","Europe"
"Korea, South","korea-south","68,892,541","","23","East Asia/Southeast Asia"
"Colombia","colombia","66,283,175","","24","South America"
"Burma","burma","63,877,526","","25","East Asia/Southeast Asia"
"Argentina","argentina","56,352,947","","26","South America"
"Spain","spain","55,354,944","","27","Europe"
"Ukraine","ukraine","54,842,940","","28","Europe"
"Kenya","kenya","54,555,497","","29","Africa"
"Poland","poland","48,392,944","","30","Europe"
"Tanzania","tanzania","47,685,232","","31","Africa"
"Algeria","algeria","47,081,131","","32","Africa"
"Morocco","morocco","46,666,722","","33","Africa"
"Malaysia","malaysia","44,600,700","","34","East Asia/Southeast Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","42,166,976","","35","Africa"
"Nepal","nepal","41,880,311","","36","South Asia"
"Saudi Arabia","saudi-arabia","41,298,629","","37","Middle East"
"Ghana","ghana","40,857,077","","38","Africa"
"Peru","peru","39,138,119","","39","South America"
"Ethiopia","ethiopia","38,147,361","","40","Africa"
"Cote d'Ivoire","cote-divoire","37,376,603","","41","Africa"
"Iraq","iraq","37,224,759","","42","Middle East"
"Canada","canada","34,366,950","","43","North America"
"Uzbekistan","uzbekistan","33,380,000","","44","Central Asia"
"Sudan","sudan","33,014,160","","45","Africa"
"Sri Lanka","sri-lanka","30,778,582","","46","South Asia"
"Taiwan","taiwan","29,049,784","","47","East Asia/Southeast Asia"
"Australia","australia","27,880,000","","48","Australia - Oceania"
"Kazakhstan","kazakhstan","25,717,700","","49","Central Asia"
"Uganda","uganda","25,395,503","","50","Africa"
"Chile","chile","25,051,668","","51","South America"
"Mali","mali","22,925,482","","52","Africa"
"Romania","romania","22,671,000","","53","Europe"
"Afghanistan","afghanistan","22,580,071","","54","South Asia"
"Netherlands","netherlands","21,762,000","","55","Europe"
"Hong Kong","hong-kong","21,455,736","","56","East Asia/Southeast Asia"
"Cambodia","cambodia","21,418,681","","57","East Asia/Southeast Asia"
"Cameroon","cameroon","21,400,736","","58","Africa"
"Syria","syria","21,115,000","","59","Middle East"
"Guatemala","guatemala","20,874,130","","60","Central America"
"Burkina Faso","burkina-faso","20,364,508","","61","Africa"
"United Arab Emirates","united-arab-emirates","19,602,815","","62","Middle East"
"Senegal","senegal","17,880,594","","63","Africa"
"Zambia","zambia","17,220,607","","64","Africa"
"Yemen","yemen","16,158,028","","65","Middle East"
"Ecuador","ecuador","15,853,100","","66","South America"
"Angola","angola","14,830,154","","67","Africa"
"Mozambique","mozambique","14,773,364","","68","Africa"
"Tunisia","tunisia","14,771,048","","69","Africa"
"Venezuela","venezuela","13,476,287","","70","South America"
"Czechia","czechia","13,213,279","","71","Europe"
"Zimbabwe","zimbabwe","13,195,902","","72","Africa"
"Sweden","sweden","12,895,854","","73","Europe"
"Guinea","guinea","12,873,000","","74","Africa"
"Portugal","portugal","11,909,751","","75","Europe"
"Greece","greece","11,882,081","","76","Europe"
"Israel","israel","11,700,000","","77","Middle East"
"Bolivia","bolivia","11,688,830","","78","South America"
"Belarus","belarus","11,627,249","","79","Europe"
"Belgium","belgium","11,509,573","","80","Europe"
"Switzerland","switzerland","10,829,031","","81","Europe"
"Azerbaijan","azerbaijan","10,750,300","","82","Middle East"
"Austria","austria","10,726,000","","83","Europe"
"Madagascar","madagascar","10,677,153","","84","Africa"
"Benin","benin","10,349,847","","85","Africa"
"Hungary","hungary","10,272,694","","86","Europe"
"Tajikistan","tajikistan","9,747,803","","87","Central Asia"
"Rwanda","rwanda","9,658,548","","88","Africa"
"El Salvador","el-salvador","9,442,667","","89","Central America"
"Singapore","singapore","9,034,300","","90","East Asia/Southeast Asia"
"Dominican Republic","dominican-republic","8,948,107","","91","Central America"
"Niger","niger","8,921,769","","92","Africa"
"Turkmenistan","turkmenistan","8,908,821","","93","Central Asia"
"Malawi","malawi","8,901,027","","94","Africa"
"Kyrgyzstan","kyrgyzstan","8,622,565","","95","Central Asia"
"Costa Rica","costa-rica","8,550,243","","96","Central America"
"Serbia","serbia","8,453,887","","97","Europe"
"Bulgaria","bulgaria","8,134,581","","98","Europe"
"Jordan","jordan","7,778,770","","99","Middle East"
"Paraguay","paraguay","7,761,848","","100","South America"
"Chad","chad","7,664,839","","101","Africa"
"Honduras","honduras","7,559,829","","102","Central America"
