name,slug,value,date_of_information,ranking,region
"China","china","110,000","2011","1","East Asia/Southeast Asia"
"Russia","russia","102,000","2009","2","Central Asia"
"Brazil","brazil","50,000","2012","3","South America"
"Vietnam","vietnam","47,130","2011","4","East Asia/Southeast Asia"
"United States","united-states","41,009","2012","5","North America"
"Colombia","colombia","24,725","2012","6","South America"
"Indonesia","indonesia","21,579","2011","7","East Asia/Southeast Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","15,000","2011","8","Africa"
"India","india","14,500","2012","9","South Asia"
"Burma","burma","12,800","2011","10","East Asia/Southeast Asia"
"Argentina","argentina","11,000","2012","11","South America"
"Papua New Guinea","papua-new-guinea","11,000","2011","12","East Asia/Southeast Asia"
"Bolivia","bolivia","10,000","2012","13","South America"
"Peru","peru","8,808","2011","14","South America"
"Nigeria","nigeria","8,600","2011","15","Africa"
"Bangladesh","bangladesh","8,370","2011","16","South Asia"
"Finland","finland","8,000","2013","17","Europe"
"Germany","germany","7,467","2012","18","Europe"
"Malaysia","malaysia","7,200","2011","19","East Asia/Southeast Asia"
"Venezuela","venezuela","7,100","2011","20","South America"
"Netherlands","netherlands","6,237","2012","21","Europe"
"Iraq","iraq","5,279","2012","22","Middle East"
"Laos","laos","4,600","2012","23","East Asia/Southeast Asia"
"Sudan","sudan","4,068","2011","24","Africa"
"Kazakhstan","kazakhstan","4,000","2010","25","Central Asia"
"Thailand","thailand","4,000","2011","26","East Asia/Southeast Asia"
"Poland","poland","3,997","2009","27","Europe"
"Cambodia","cambodia","3,700","2012","28","East Asia/Southeast Asia"
"Egypt","egypt","3,500","2011","29","Africa"
"Philippines","philippines","3,219","2011","30","East Asia/Southeast Asia"
"United Kingdom","united-kingdom","3,200","2009","31","Europe"
"Paraguay","paraguay","3,100","2012","32","South America"
"Mexico","mexico","2,900","2012","33","North America"
"Central African Republic","central-african-republic","2,800","2011","34","Africa"
"Belarus","belarus","2,500","2011","35","Europe"
"Italy","italy","2,400","2012","36","Europe"
"Korea, North","korea-north","2,250","2011","37","East Asia/Southeast Asia"
"Zambia","zambia","2,250","2010","38","Africa"
"Nicaragua","nicaragua","2,220","2011","39","Central America"
"Sweden","sweden","2,052","2010","40","Europe"
"Belgium","belgium","2,043","2012","41","Europe"
"Australia","australia","2,000","2011","42","Australia - Oceania"
"Mali","mali","1,800","2011","43","Africa"
"Japan","japan","1,770","2010","44","East Asia/Southeast Asia"
"Romania","romania","1,731","2010","45","Europe"
"Ukraine","ukraine","1,672","2012","46","Europe"
"Hungary","hungary","1,622","2011","47","Europe"
"Gabon","gabon","1,600","2010","48","Africa"
"Korea, South","korea-south","1,600","2011","49","East Asia/Southeast Asia"
"Uruguay","uruguay","1,600","2011","50","South America"
"Norway","norway","1,577","2010","51","Europe"
"Ecuador","ecuador","1,500","2012","52","South America"
"Angola","angola","1,300","2011","53","Africa"
"Guinea","guinea","1,300","2011","54","Africa"
"Turkmenistan","turkmenistan","1,300","2011","55","Central Asia"
"Ghana","ghana","1,293","2011","56","Africa"
"Switzerland","switzerland","1,292","2010","57","Europe"
"Afghanistan","afghanistan","1,200","2011","58","South Asia"
"Suriname","suriname","1,200","2011","59","South America"
"Turkey","turkey","1,200","2010","60","Middle East"
"Congo, Republic of the","congo-republic-of-the","1,120","2011","61","Africa"
"Uzbekistan","uzbekistan","1,100","2012","62","Central Asia"
"Senegal","senegal","1,000","2012","63","Africa"
"Spain","spain","1,000","2012","64","Europe"
"Guatemala","guatemala","990","2012","65","Central America"
"Cote d'Ivoire","cote-divoire","980","2011","66","Africa"
"Ireland","ireland","956","2010","67","Europe"
"Syria","syria","900","2011","68","Middle East"
"Iran","iran","850","2012","69","Middle East"
"Belize","belize","825","2011","70","Central America"
"Panama","panama","800","2011","71","Central America"
"Sierra Leone","sierra-leone","800","2011","72","Africa"
"Croatia","croatia","785","2009","73","Europe"
"Costa Rica","costa-rica","730","2011","74","Central America"
"Malawi","malawi","700","2010","75","Africa"
"Czechia","czechia","664","2010","76","Europe"
"Canada","canada","636","2011","77","North America"
"Kyrgyzstan","kyrgyzstan","600","2010","78","Central Asia"
"Madagascar","madagascar","600","2011","79","Africa"
"Serbia","serbia","587","2009","80","Europe"
"Mongolia","mongolia","580","2010","81","East Asia/Southeast Asia"
"Moldova","moldova","558","2011","82","Europe"
"Bulgaria","bulgaria","470","2009","83","Europe"
"Honduras","honduras","465","2012","84","Central America"
"Mozambique","mozambique","460","2010","85","Africa"
"Lithuania","lithuania","441","2007","86","Europe"
"Denmark","denmark","400","2010","87","Europe"
"Gambia, The","gambia-the","390","2010","88","Africa"
"Austria","austria","358","2011","89","Europe"
"Estonia","estonia","335","2011","90","Europe"
"Guyana","guyana","330","2012","91","South America"
"Latvia","latvia","300","2010","92","Europe"
"Niger","niger","300","2012","93","Africa"
"Cuba","cuba","240","2011","94","Central America"
"Portugal","portugal","210","2011","95","Europe"
"Brunei","brunei","209","2012","96","East Asia/Southeast Asia"
"Fiji","fiji","203","2012","97","Australia - Oceania"
"Tajikistan","tajikistan","200","2011","98","Central Asia"
"Slovakia","slovakia","172","2012","99","Europe"
"Sri Lanka","sri-lanka","160","2012","100","South Asia"
"Benin","benin","150","2011","101","Africa"
"Togo","togo","50","2011","102","Africa"
"Albania","albania","41","2011","103","Europe"
"Luxembourg","luxembourg","37","2010","104","Europe"
"Liechtenstein","liechtenstein","28","2010","105","Europe"
"Greece","greece","6","2012","106","Europe"
"Kiribati","kiribati","5","2012","107","Australia - Oceania"
